scope,ticker,classification_type,classification,trade_count,avg_pnl_pct,median_pnl_pct,win_rate_pct,pnl_variance_sample,pnl_std_sample,min_pnl_pct,max_pnl_pct,avg_ratio,avg_active_component_count
all_rerun,ANET,exact_active_combo,MA+RSI+NewsTopics,17,2.6199201317612735,1.275987051562438,70.58823529411765,98.84273884095761,9.941968559644392,-10.383467884760437,26.80603138893447,1.4459811255549815,3.0
all_rerun,ANET,exact_active_combo,MA+RSI,14,-0.6189399179916639,1.0103791447316721,57.142857142857146,27.486608840012888,5.242767288370988,-12.98790292096988,6.303273957766567,1.1833157753773762,2.0
all_rerun,ANET,exact_active_combo,RSI+BB,10,3.8912574658135513,1.275987051562443,80.0,96.83878893559222,9.840670146671528,-11.01954969783697,24.422695292179796,1.5146641441958013,2.0
all_rerun,ANET,exact_active_combo,RSI+BB+NewsTopics,7,4.441783286201878,1.275987051562445,71.42857142857143,157.8883549567576,12.565363303810901,-8.069571526870925,31.258920513384737,1.5526462845609477,3.0
all_rerun,ANET,exact_active_combo,MA+NewsTopics,6,-3.4832976074906568,0.04798056845023446,50.0,51.04717428219605,7.144730525512915,-13.00013917412842,2.827527846333239,1.3891282660167539,2.0
all_rerun,ANET,exact_active_combo,RSI+NewsTopics,6,4.879694783106531,1.2759870515624452,100.0,39.76695521634004,6.306104599222886,1.2759870515624303,16.72361017119268,1.4064920382946056,2.0
all_rerun,ANET,exact_active_combo,MACD+RSI,5,9.890462928405682,12.650053229615793,100.0,47.12671099888549,6.864889729550322,1.2759870515624412,16.94174596325384,1.3489309419150233,2.0
all_rerun,ANET,exact_active_combo,RSI,3,7.685346806187511,-4.801559011595742,33.333333333333336,539.3535604545943,23.223986747640776,-6.623850911493396,34.48145034165167,1.4058812513332901,1.0
all_rerun,ANET,exact_active_combo,MA+MACD+NewsTopics,2,-5.347884088327833,-5.347884088327833,50.0,87.75133775574261,9.367568401444561,-11.97175522821811,1.2759870515624434,1.4106539575234673,3.0
all_rerun,ANET,exact_active_combo,MA+RSI+BB,2,4.741925629104565,4.741925629104565,100.0,24.025460446589477,4.901577342712188,1.2759870515624385,8.207864206646692,1.6559529547154213,3.0
all_rerun,ANET,exact_active_combo,MA,1,1.0402306439794278,1.0402306439794278,100.0,,,1.0402306439794278,1.0402306439794278,1.2560576463216706,1.0
all_rerun,ANET,exact_active_combo,MA+MACD,1,1.2759870515624403,1.2759870515624403,100.0,,,1.2759870515624403,1.2759870515624403,1.2560576463216706,2.0
all_rerun,ANET,exact_active_combo,MA+MACD+RSI+NewsTopics,1,1.2759870515624274,1.2759870515624274,100.0,,,1.2759870515624274,1.2759870515624274,2.018186311436894,4.0
all_rerun,ANET,exact_active_combo,MA+RSI+BB+NewsTopics,1,1.2759870515624245,1.2759870515624245,100.0,,,1.2759870515624245,1.2759870515624245,1.6567542086714542,4.0
all_rerun,ANET,exact_active_combo,MA+RSI+Volume+NewsTopics,1,7.416878287515432,7.416878287515432,100.0,,,7.416878287515432,7.416878287515432,1.2720680900045522,4.0
all_rerun,ANET,exact_active_combo,MACD+RSI+NewsTopics,1,-6.63810279083822,-6.63810279083822,0.0,,,-6.63810279083822,-6.63810279083822,3.1604515622765232,3.0
all_rerun,ANET,exact_active_combo,RSI+Volume,1,0.14121810942754856,0.14121810942754856,100.0,,,0.14121810942754856,0.14121810942754856,1.5017660129439911,2.0
