scope,ticker,positive_component_count,n,avg_pnl_pct,median_pnl_pct,win_rate_pct
all_rerun,ANET,1,4,6.02406777,-1.88066419,50.000000
all_rerun,ANET,2,43,2.08128648,1.27598705,74.418605
all_rerun,ANET,3,29,2.33727950,1.27598705,68.965517
all_rerun,ANET,4,3,3.32295080,1.27598705,100.000000
all_rerun,BB,2,13,2.44714570,-3.33530583,46.153846
all_rerun,BB,3,25,0.57369645,-5.33166489,36.000000
all_rerun,BB,4,2,0.53325006,0.53325006,50.000000
all_rerun,BB,5,1,-9.73170237,-9.73170237,0.000000
all_rerun,CE,1,5,-3.29265792,-4.74110442,20.000000
all_rerun,CE,2,15,-0.91027021,-0.07275103,46.666667
all_rerun,CE,3,48,-0.64116162,-0.47235151,45.833333
all_rerun,CE,4,7,-0.67398313,-1.73393250,42.857143
high_exact_period,CE,2,6,-6.29562845,-6.46115699,16.666667
high_exact_period,CE,3,26,-1.77465573,-3.06289853,38.461538
high_exact_period,CE,4,4,-4.59517101,-4.26669699,25.000000
