similarity_rank,similarity_group,period_label,confidence_tier,entry_date,exit_date,pnl_pct,score,ratio,active_combo,core_overlap_count,binary_hamming_8axes,binary_jaccard_8axes,score_gap_live_minus_past,ratio_gap_live_minus_past
12,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2022-03-15,2022-03-29,4.29882192,4.57285387,1.72288330,RSI+BB,2,2,0.50000000,3.79039243,1.42808057
13,d_core_overlap_2_of_3,stress_pre_2022h1,C_signal_exact_exit_diff,2022-04-28,2022-05-10,-0.07275103,4.57285387,1.72288330,RSI+BB,2,2,0.50000000,3.79039243,1.42808057
14,d_core_overlap_2_of_3,stress_pre_2022h1,C_signal_exact_exit_diff,2022-05-13,2022-05-27,12.42183448,4.57285387,1.72288330,RSI+BB,2,2,0.50000000,3.79039243,1.42808057
15,d_core_overlap_2_of_3,train_1,B_trade_exact,2022-10-18,2022-11-01,3.48306667,4.57285387,1.72288330,RSI+BB,2,2,0.50000000,3.79039243,1.42808057
16,c_core_3_of_3_with_extra_non_event,train_1,C_signal_exact_exit_diff,2023-01-05,2023-01-20,13.03630525,4.96788308,1.87171579,MA+MACD+RSI+BB,3,2,0.60000000,3.39536322,1.27924808
17,c_core_3_of_3_with_extra_non_event,stress_pre_2022h1,B_trade_exact,2021-07-02,2021-07-19,-4.21354824,7.91213105,2.98100023,MACD+RSI+BB+NewsTopics,3,2,0.60000000,0.45111525,0.16996364
18,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-09-16,2021-09-30,0.22421170,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
19,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2021-10-06,2021-10-20,5.56249206,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
20,d_core_overlap_2_of_3,stress_pre_2022h1,B_trade_exact,2022-01-04,2022-01-19,-0.62575282,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
21,d_core_overlap_2_of_3,train_1,D_low_partial_or_rerun_only,2023-02-22,2023-03-08,4.08706090,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
22,d_core_overlap_2_of_3,train_1,B_trade_exact,2023-04-24,2023-05-08,-0.31895021,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
23,d_core_overlap_2_of_3,train_1,B_trade_exact,2023-05-11,2023-05-25,6.35095377,2.66162312,1.00280178,RSI+BB+Volume,2,3,0.40000000,5.70162318,2.14816209
