scope,ticker,indicator,total_n,active_n,active_rate_pct,active_avg_pnl_pct,active_median_pnl_pct,active_win_rate_pct,inactive_n,inactive_avg_pnl_pct,inactive_median_pnl_pct,inactive_win_rate_pct,avg_delta_pct,median_delta_pct,win_rate_delta_pp
all_rerun,ANET,MA,79,46,58.227848,0.56623589,1.27598705,67.391304,33,5.00893020,1.27598705,78.787879,-4.44269431,0.00000000,-11.39657500
all_rerun,ANET,MACD,79,10,12.658228,3.46704178,1.27598705,80.000000,69,2.27059608,1.27598705,71.014493,1.19644570,0.00000000,8.98550700
all_rerun,ANET,RSI,79,69,87.341772,3.19740411,1.27598705,73.913043,10,-2.92793361,1.15810885,60.000000,6.12533772,0.11787820,13.91304300
all_rerun,ANET,BB,79,20,25.316456,4.03824480,1.27598705,80.000000,59,1.87418054,1.27598705,69.491525,2.16406426,0.00000000,10.50847500
all_rerun,ANET,Volume,79,2,2.531646,3.77904820,3.77904820,100.000000,77,2.38679807,1.27598705,71.428571,1.39225013,2.50306115,28.57142900
all_rerun,ANET,News,79,0,0.000000,,,,79,2.42204491,1.27598705,72.151899,,,
all_rerun,ANET,NewsTopics,79,42,53.164557,1.82486880,1.27598705,71.428571,37,3.09992048,1.27598705,72.972973,-1.27505168,0.00000000,-1.54440200
all_rerun,ANET,Event,79,0,0.000000,,,,79,2.42204491,1.27598705,72.151899,,,
all_rerun,BB,MA,41,12,29.268293,-1.35596380,-11.29480206,33.333333,29,1.85385065,-3.00478848,41.379310,-3.20981445,-8.29001358,-8.04597700
all_rerun,BB,MACD,41,14,34.146341,3.08533553,-6.14580738,35.714286,27,-0.21128127,-3.33530583,40.740741,3.29661680,-2.81050155,-5.02645500
all_rerun,BB,RSI,41,41,100.000000,0.91439276,-5.17344307,39.024390,0,,,,,,
all_rerun,BB,BB,41,25,60.975610,1.77547450,-3.00478848,40.000000,16,-0.43104746,-8.16049712,37.500000,2.20652196,5.15570864,2.50000000
all_rerun,BB,Volume,41,7,17.073171,-6.20966882,-9.73170237,28.571429,34,2.38111132,-3.17004715,41.176471,-8.59078014,-6.56165522,-12.60504200
all_rerun,BB,News,41,0,0.000000,,,,41,0.91439276,-5.17344307,39.024390,,,
all_rerun,BB,NewsTopics,41,15,36.585366,-0.20479366,-3.00478848,40.000000,26,1.56007724,-8.10553313,38.461538,-1.76487090,5.10074465,1.53846200
all_rerun,BB,Event,41,0,0.000000,,,,41,0.91439276,-5.17344307,39.024390,,,
all_rerun,CE,MA,75,33,44.000000,-0.45984132,-0.85808654,45.454545,42,-1.20086236,-1.32120999,42.857143,0.74102104,0.46312345,2.59740200
all_rerun,CE,MACD,75,14,18.666667,-1.99998596,-3.62799692,42.857143,61,-0.61657671,-0.62575282,44.262295,-1.38340925,-3.00224410,-1.40515200
all_rerun,CE,RSI,75,68,90.666667,-0.77777866,-0.74191968,44.117647,7,-1.81743338,-2.01666716,42.857143,1.03965472,1.27474748,1.26050400
all_rerun,CE,BB,75,61,81.333333,-0.31488989,-0.31895021,45.901639,14,-3.31447855,-3.58910763,35.714286,2.99958866,3.27015742,10.18735300
all_rerun,CE,Volume,75,11,14.666667,2.27820675,4.08706090,63.636364,64,-1.41673839,-1.71484756,40.625000,3.69494514,5.80190846,23.01136400
all_rerun,CE,News,75,0,0.000000,,,,75,-0.87481310,-0.85808654,44.000000,,,
all_rerun,CE,NewsTopics,75,20,26.666667,-3.23793363,-3.41579057,35.000000,55,-0.01549654,-0.26462726,47.272727,-3.22243709,-3.15116331,-12.27272700
all_rerun,CE,Event,75,0,0.000000,,,,75,-0.87481310,-0.85808654,44.000000,,,
high_exact_period,CE,MA,36,19,52.777778,-1.92246703,-1.73393250,36.842105,17,-3.86874295,-5.20451600,29.411765,1.94627592,3.47058350,7.43034000
high_exact_period,CE,MACD,36,8,22.222222,-3.47761955,-5.32022249,37.500000,28,-2.65980526,-3.61494869,32.142857,-0.81781429,-1.70527380,5.35714300
high_exact_period,CE,RSI,36,35,97.222222,-2.93591423,-4.13576965,31.428571,1,0.46149424,0.46149424,100.000000,-3.39740847,-4.59726389,-68.57142900
high_exact_period,CE,BB,36,25,69.444444,-2.09808753,-3.08335146,36.000000,11,-4.53121048,-5.32431460,27.272727,2.43312295,2.24096314,8.72727300
high_exact_period,CE,Volume,36,3,8.333333,-2.17426477,-5.20451600,33.333333,33,-2.90220331,-3.09412774,33.333333,0.72793854,-2.11038826,0.00000000
high_exact_period,CE,News,36,0,0.000000,,,,36,-2.84154177,-3.61494869,33.333333,,,
high_exact_period,CE,NewsTopics,36,16,44.444444,-3.83835086,-3.61494869,31.250000,20,-2.04409449,-4.12348080,35.000000,-1.79425637,0.50853211,-3.75000000
high_exact_period,CE,Event,36,0,0.000000,,,,36,-2.84154177,-3.61494869,33.333333,,,
