ticker,candidate_id,order_submitted_at,local_order_status,raw_order_status,filled_shares,filled_avg_price,alpaca_live_position_found,alpaca_live_trade_history_found,execution_classification,signal_source,signal_classification,score,threshold,ratio,ma,macd,rsi,bb,volume,news,news_topics,event,active_combo
ANET,stage3:ANET:fe220620802b,2026-07-09T18:12:20.354401+00:00,pending,pending_new,0.0,0.0,false,false,not_confirmed_filled,real_dashboard_manual_buy_intent candidate_snapshot,actual_pre_order_candidate_snapshot_not_filled,5.02509707,2.63909028,1.90410200,1.31484952,2.00000000,1.71024754,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MA+MACD+RSI
BB,stage3:BB:f1bdfe7f8ad9,2026-07-09T18:08:58.353732+00:00,pending,pending_new,0.0,0.0,false,false,not_confirmed_filled,real_dashboard_manual_buy_intent candidate_snapshot,actual_pre_order_candidate_snapshot_not_filled,3.29090347,2.79195117,1.17871097,1.54052185,0.00000000,1.75038162,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,MA+RSI
