comparison_scope,live_trade_status,live_combo,comparison_combo,live_score,live_ratio,live_positive_component_count,live_event,live_news_topics,live_unrealized_pnl_pct,historical_n,historical_avg_pnl_pct,historical_median_pnl_pct,historical_win_rate_pct,historical_score_min,historical_score_max,historical_ratio_min,historical_ratio_max,historical_component_count_min,historical_component_count_max,historical_event_active_n,interpretation
CE_all_rerun,open_live_position,MACD+RSI+BB+Event,MACD+RSI+BB,8.36324630,3.15096387,4,4.62,0.0,-1.31043642,6,1.13834913,4.16699171,66.666667,2.66162312,7.97158449,1.00280178,3.00340010,1,4,0,"exact live combo absent because Event was zero in all 75 rerun entries; technical core only"
CE_high_exact_period,open_live_position,MACD+RSI+BB+Event,MACD+RSI+BB,8.36324630,3.15096387,4,4.62,0.0,-1.31043642,3,6.27230211,7.32051828,100.000000,2.66162312,7.97158449,1.00280178,3.00340010,2,4,0,"exact live combo absent because Event was zero in all 36 exact entries; technical core only"
