ticker,confidence_group,trade_count,avg_pnl_pct,median_pnl_pct,win_rate_pct,pnl_variance_sample,pnl_std_sample,min_pnl_pct,max_pnl_pct,component_match_rate_pct
ALL,A_period_exact,36,-2.841541767789481,-3.6149486965830877,33.333333333333336,64.46353234468603,8.028918504050594,-14.896082397354036,13.660520700299752,100.0
ALL,B_trade_exact,110,-1.5364066497568978,0.18271490553890218,50.90909090909091,51.24689539279095,7.158693693181106,-21.72436694949191,30.07944430182877,100.0
ALL,C_signal_exact_exit_diff,31,14.102123853546667,12.421834482450175,90.3225806451613,231.7838504407272,15.224449101387124,-10.991469684322883,71.000505687719,100.0
ALL,D_low_partial_or_rerun_only,18,-0.14694089574689131,1.1581088477709263,55.55555555555556,121.06897894726751,11.003134959967888,-18.4744721856712,28.077921624340206,0.0
ALL,period:exact_period,36,-2.841541767789481,-3.6149486965830877,33.333333333333336,64.46353234468603,8.028918504050594,-14.896082397354036,13.660520700299752,100.0
ALL,period:mismatch_period,159,1.6699130305864383,1.2759870515624383,59.119496855345915,130.2482676777003,11.41263631584308,-21.72436694949191,71.000505687719,88.67924528301887
ANET,B_trade_exact,55,-1.2355552041075195,1.2759870515624336,63.63636363636363,25.074735225308473,5.007467945509833,-13.00013917412842,7.45061032119675,100.0
ANET,C_signal_exact_exit_diff,16,14.89162606450503,13.622715682634903,100.0,116.78806496260374,10.806852685338304,1.2759870515624385,34.48145034165167,100.0
ANET,D_low_partial_or_rerun_only,8,2.6288833555064066,1.275987051562431,75.0,42.60729857348266,6.52742664252021,-4.83868538385634,16.227628921568627,0.0
ANET,period:mismatch_period,79,2.422044906964787,1.2759870515624394,72.15189873417721,84.9755052970585,9.218215949795194,-13.00013917412842,34.48145034165167,89.87341772151899
BB,B_trade_exact,24,-3.587818295700451,-7.531683626888421,29.166666666666668,152.55073841213516,12.351143202640603,-21.72436694949191,30.07944430182877,100.0
BB,C_signal_exact_exit_diff,10,16.07252446359319,11.431395194948543,80.0,530.8689630465927,23.0405938084632,-10.991469684322883,71.000505687719,100.0
BB,D_low_partial_or_rerun_only,7,-5.30392890864129,-9.739055022952577,14.285714285714286,238.90475394352657,15.456544049156868,-18.4744721856712,28.077921624340206,0.0
BB,period:mismatch_period,41,0.9143927604544405,-5.1734430665485736,39.02439024390244,319.3689029494735,17.870895415436618,-21.72436694949191,71.000505687719,82.92682926829268
CE,A_period_exact,36,-2.841541767789481,-3.6149486965830877,33.333333333333336,64.46353234468603,8.028918504050594,-14.896082397354036,13.660520700299752,100.0
CE,B_trade_exact,31,-0.4819856822753033,-0.31895021103042875,45.16129032258065,19.425530330863886,4.407440337754316,-9.543536349537344,6.35095376665501,100.0
CE,C_signal_exact_exit_diff,5,7.6349155583868455,11.463008015999485,80.0,41.488037550014525,6.441120830260408,-0.07275102610645365,13.036305246668284,100.0
CE,D_low_partial_or_rerun_only,3,4.483833130997909,4.087060901723973,100.0,7.17877221048189,2.679323088110482,2.0250212742673637,7.339417217002392,0.0
CE,period:exact_period,36,-2.841541767789481,-3.6149486965830877,33.333333333333336,64.46353234468603,8.028918504050594,-14.896082397354036,13.660520700299752,100.0
CE,period:mismatch_period,39,0.9406287444716296,1.1399884027883849,53.84615384615385,28.619596375754604,5.3497286263655095,-9.543536349537344,13.036305246668284,92.3076923076923
