period_label,period_reproduction_status,trade_match_status,confidence_tier,component_matches_original,entry_date,exit_date,pnl_pct,score,threshold,ratio,positive_component_count,active_combo,ma,macd,rsi,bb,volume,news,news_topics,event,source_file
stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-12-14,2021-12-29,6.03354210,3.74064175,2.65418666,1.40933635,3,MACD+RSI+BB,0.00000000,1.16778788,1.72507752,0.84777635,0.00000000,0.00000000,0.00000000,0.00000000,signal_component_entries_CE_stress_pre_2022h1.csv
stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2022-02-11,2022-02-18,-8.47681728,3.74064175,2.65418666,1.40933635,3,MACD+RSI+BB,0.00000000,1.16778788,1.72507752,0.84777635,0.00000000,0.00000000,0.00000000,0.00000000,signal_component_entries_CE_stress_pre_2022h1.csv
train_1,mismatch_period,exact,B_trade_exact,True,2022-09-12,2022-09-14,-9.54353635,3.74064175,2.65418666,1.40933635,3,MACD+RSI+BB,0.00000000,1.16778788,1.72507752,0.84777635,0.00000000,0.00000000,0.00000000,0.00000000,signal_component_entries_CE_train_1.csv
train_2,exact_period,exact,A_period_exact,True,2023-08-31,2023-09-15,2.30044132,3.74064175,2.65418666,1.40933635,3,MACD+RSI+BB,0.00000000,1.16778788,1.72507752,0.84777635,0.00000000,0.00000000,0.00000000,0.00000000,signal_component_entries_CE_train_2.csv
train_2,exact_period,exact,A_period_exact,True,2023-11-06,2023-11-20,7.32051828,3.74064175,2.65418666,1.40933635,3,MACD+RSI+BB,0.00000000,1.16778788,1.72507752,0.84777635,0.00000000,0.00000000,0.00000000,0.00000000,signal_component_entries_CE_train_2.csv
recent_1y,exact_period,exact,A_period_exact,True,2025-11-25,2025-12-10,9.19594674,3.74064175,2.65418666,1.40933635,3,MACD+RSI+BB,0.00000000,1.16778788,1.72507752,0.84777635,0.00000000,0.00000000,0.00000000,0.00000000,signal_component_entries_CE_recent_1y.csv
