scope,ticker,quartile,trade_count,ratio_min,ratio_max,ratio_mean,avg_pnl_pct,median_pnl_pct,win_rate_pct,pnl_variance_sample,pnl_std_sample,min_pnl_pct,max_pnl_pct
all_rerun,ANET,1,20,1.0103991929753864,1.1577322102625107,1.1246735920883821,0.6504102040114662,1.0103791447316721,60.0,35.886812717312864,5.990560300782629,-12.98790292096988,16.227628921568627
all_rerun,ANET,2,20,1.1577322102625107,1.3821837725882795,1.2544293240064035,1.8048364847824494,1.275987051562441,85.0,50.14330388947233,7.081193676879084,-11.01954969783697,25.666470603847912
all_rerun,ANET,3,20,1.3886914389261098,1.5752170404527073,1.4510431413299343,3.028991708068921,1.2759870515624396,65.0,165.72103206101895,12.873268118897352,-13.00013917412842,34.48145034165167
all_rerun,ANET,4,19,1.6447777585390033,3.1604515622765232,1.923732624579257,4.297725248050599,1.275987051562441,78.94736842105263,94.45621260309267,9.718858605983147,-6.63810279083822,31.258920513384737
all_rerun,BB,1,11,1.0182892403920407,1.1787109667939601,1.133505861090814,10.251149311212462,6.386163101029722,54.54545454545455,695.3901043424247,26.370250365562036,-18.4744721856712,71.000505687719
all_rerun,BB,2,10,1.1787109667939601,1.257157510564902,1.2108795989163421,-2.223692559736044,-5.8227271548613,30.0,117.3145670199948,10.83118493148348,-10.991469684322883,23.47782910013493
all_rerun,BB,3,10,1.2700393408448676,1.3288308421253772,1.3146208276574756,-0.9363616552967692,-3.071321514493767,40.0,238.12926056641487,15.43143741089646,-21.72436694949191,28.077921624340206
all_rerun,BB,4,10,1.4019274635417167,2.5638494678390664,1.8914518727064629,-4.367199709437689,-10.082331145658443,30.0,139.02827449836312,11.791025167404364,-15.258223187542189,21.63597531770358
all_rerun,CE,1,19,1.0028017821877264,1.089925378840057,1.0432810016161451,-2.126836618222059,-2.0166671552819935,36.8421052631579,43.07991079463015,6.563528837038057,-13.067229235671581,11.463008015999485
all_rerun,CE,2,19,1.1027171041759782,1.4317362249200847,1.3302465916055652,-1.081563598164962,-1.6863036259812638,42.10526315789474,43.149726954190804,6.5688451766037845,-13.233513925447118,9.195946741181302
all_rerun,CE,3,19,1.4317362249200847,1.6176516832930872,1.4709930800222184,-0.7860064369547887,-0.26462726179399826,47.36842105263158,34.293961108198246,5.856104601883255,-14.896082397354036,9.6153863050817
all_rerun,CE,4,18,1.676366023689571,3.0034000997071155,2.1187165074038976,0.5712635448592527,0.6267150234081434,50.0,80.80843768585106,8.989351349560827,-14.8202364738183,13.660520700299752
high_exact_period,CE,1,9,1.0028017821877264,1.1753222126927545,1.0857692602230102,-6.539481158110856,-6.627911105305818,11.11111111111111,29.423829520886194,5.424373652403215,-13.067229235671581,5.3096327996588295
high_exact_period,CE,2,9,1.252596813676832,1.4317362249200847,1.3927492969676376,1.1729819469155904,2.300441321987119,55.55555555555556,48.84825756072463,6.9891528500044,-13.233513925447118,9.195946741181302
high_exact_period,CE,3,9,1.4317362249200847,1.6176516832930872,1.49487000220902,-4.496547745946102,-6.088857033380535,22.22222222222222,44.7095954446633,6.6865234198844545,-14.896082397354036,9.6153863050817
high_exact_period,CE,4,9,1.676366023689571,3.0034000997071155,2.2774967922456133,-1.5031201140165662,-1.7339324970713492,44.44444444444444,120.43450106760477,10.974265399907402,-14.8202364738183,13.660520700299752
