scope,ticker,indicator,active_count,active_rate_pct,positive_unique_level_count,mean_when_positive,active_avg_pnl_pct,active_win_rate_pct,inactive_count,inactive_avg_pnl_pct,inactive_win_rate_pct
all_rerun,ANET,MA,46,58.22784810126582,1,1.3148495229629003,0.5662358893663049,67.3913043478261,33,5.008930204223277,78.78787878787878
all_rerun,ANET,MACD,10,12.658227848101266,1,2.0,3.4670417777659397,80.0,69,2.270596085109547,71.01449275362319
all_rerun,ANET,RSI,69,87.34177215189874,1,1.71024754235775,3.1974041126996506,73.91304347826087,10,-2.9279336126057744,60.0
all_rerun,ANET,BB,20,25.31645569620253,1,1.3451122782253935,4.03824479856601,80.0,59,1.8741805369304734,69.49152542372882
all_rerun,ANET,Volume,2,2.5316455696202533,1,0.2530485421711657,3.7790481984714903,100.0,77,2.3867980682243526,71.42857142857143
all_rerun,ANET,News,0,0.0,0,,,,79,2.422044906964787,72.15189873417721
all_rerun,ANET,NewsTopics,42,53.164556962025316,34,1.0639882946851813,1.82486880286182,71.42857142857143,37,3.0999204845951813,72.97297297297297
all_rerun,ANET,Event,0,0.0,0,,,,79,2.422044906964787,72.15189873417721
all_rerun,BB,MA,12,29.26829268292683,1,1.5405218465937318,-1.3559638003647905,33.333333333333336,29,1.8538506476899854,41.37931034482759
all_rerun,BB,MACD,14,34.146341463414636,1,1.598670262782999,3.0853355259139628,35.714285714285715,27,-0.21128126608012596,40.74074074074074
all_rerun,BB,RSI,41,100.0,1,1.7503816211833794,0.9143927604544405,39.02439024390244,0,,
all_rerun,BB,BB,25,60.97560975609756,1,0.36097894601231423,1.775474503578503,40.0,16,-0.43104746317690645,37.5
all_rerun,BB,Volume,7,17.073170731707318,1,1.1616206464568701,-6.209668817489314,28.571428571428573,34,2.3811113206193313,41.1764705882353
all_rerun,BB,News,0,0.0,0,,,,41,0.9143927604544405,39.02439024390244
all_rerun,BB,NewsTopics,15,36.58536585365854,13,2.002498358210466,-0.2047936622645768,40.0,26,1.5600772351000283,38.46153846153846
all_rerun,BB,Event,0,0.0,0,,,,41,0.9143927604544405,39.02439024390244
all_rerun,CE,MA,33,44.0,1,1.2272413237358344,-0.45984131859546906,45.45454545454545,42,-1.2008623593423189,42.857142857142854
all_rerun,CE,MACD,14,18.666666666666668,1,1.1677878814086837,-1.9999859617447002,42.857142857142854,61,-0.6165767072393767,44.26229508196721
all_rerun,CE,RSI,68,90.66666666666667,1,1.7250775242884513,-0.777778661059934,44.11764705882353,7,-1.8174333791360378,42.857142857142854
all_rerun,CE,BB,61,81.33333333333333,1,0.8477763470822096,-0.31488988481677616,45.90163934426229,14,-3.3144785451574648,35.714285714285715
all_rerun,CE,Volume,11,14.666666666666666,1,0.08876924593819481,2.2782067517788023,63.63636363636363,64,-1.4167383886811658,40.625
all_rerun,CE,News,0,0.0,0,,,,75,-0.8748131014137035,44.0
all_rerun,CE,NewsTopics,20,26.666666666666668,16,1.9596020296954522,-3.237933634215537,35.0,55,-0.01549654403122008,47.27272727272727
all_rerun,CE,Event,0,0.0,0,,,,75,-0.8748131014137035,44.0
high_exact_period,CE,MA,19,52.77777777777778,1,1.2272413237358346,-1.9224670260838628,36.8421052631579,17,-3.868742949695767,29.41176470588235
high_exact_period,CE,MACD,8,22.22222222222222,1,1.1677878814086837,-3.4776195520574356,37.5,28,-2.659805257998639,32.142857142857146
high_exact_period,CE,RSI,35,97.22222222222223,1,1.7250775242884513,-2.93591422526359,31.428571428571427,1,0.46149424380431747,100.0
high_exact_period,CE,BB,25,69.44444444444444,1,0.8477763470822094,-2.098087533832578,36.0,11,-4.531210481327904,27.272727272727273
high_exact_period,CE,Volume,3,8.333333333333334,1,0.08876924593819484,-2.1742647693229857,33.333333333333336,33,-2.9022033131046174,33.333333333333336
high_exact_period,CE,News,0,0.0,0,,,,36,-2.841541767789481,33.333333333333336
high_exact_period,CE,NewsTopics,16,44.44444444444444,14,1.9848173574385752,-3.8383508634996786,31.25,20,-2.044094491221327,35.0
high_exact_period,CE,Event,0,0.0,0,,,,36,-2.841541767789481,33.333333333333336
