scope,ticker,active_combo,n,avg_pnl_pct,median_pnl_pct,win_rate_pct
all_rerun,ANET,MA+RSI+NewsTopics,17,2.61992013,1.27598705,70.588235
all_rerun,ANET,MA+RSI,14,-0.61893992,1.01037914,57.142857
all_rerun,ANET,RSI+BB,10,3.89125747,1.27598705,80.000000
all_rerun,ANET,RSI+BB+NewsTopics,7,4.44178329,1.27598705,71.428571
all_rerun,ANET,MA+NewsTopics,6,-3.48329761,0.04798057,50.000000
all_rerun,ANET,RSI+NewsTopics,6,4.87969478,1.27598705,100.000000
all_rerun,ANET,MACD+RSI,5,9.89046293,12.65005323,100.000000
all_rerun,ANET,RSI,3,7.68534681,-4.80155901,33.333333
all_rerun,ANET,MA+MACD+NewsTopics,2,-5.34788409,-5.34788409,50.000000
all_rerun,ANET,MA+RSI+BB,2,4.74192563,4.74192563,100.000000
all_rerun,ANET,MA,1,1.04023064,1.04023064,100.000000
all_rerun,ANET,MA+MACD,1,1.27598705,1.27598705,100.000000
all_rerun,ANET,MA+MACD+RSI+NewsTopics,1,1.27598705,1.27598705,100.000000
all_rerun,ANET,MA+RSI+BB+NewsTopics,1,1.27598705,1.27598705,100.000000
all_rerun,ANET,MA+RSI+Volume+NewsTopics,1,7.41687829,7.41687829,100.000000
all_rerun,ANET,MACD+RSI+NewsTopics,1,-6.63810279,-6.63810279,0.000000
all_rerun,ANET,RSI+Volume,1,0.14121811,0.14121811,100.000000
all_rerun,BB,RSI+BB+NewsTopics,8,3.38380277,1.78538823,50.000000
all_rerun,BB,MACD+RSI+BB,7,9.44735204,-0.32303951,42.857143
all_rerun,BB,MA+RSI,6,5.00419715,-0.71037659,50.000000
all_rerun,BB,MA+RSI+BB,5,-6.20770506,-12.74062112,20.000000
all_rerun,BB,MACD+RSI,4,2.56159143,-1.11999685,50.000000
all_rerun,BB,RSI+NewsTopics,3,-2.81955151,-3.33530583,33.333333
all_rerun,BB,RSI+BB+Volume,2,-4.55564818,-4.55564818,50.000000
all_rerun,BB,RSI+BB+Volume+NewsTopics,2,0.53325006,0.53325006,50.000000
all_rerun,BB,MA+RSI+Volume,1,-15.25822319,-15.25822319,0.000000
all_rerun,BB,MACD+RSI+BB+Volume+NewsTopics,1,-9.73170237,-9.73170237,0.000000
all_rerun,BB,MACD+RSI+NewsTopics,1,-13.01847035,-13.01847035,0.000000
all_rerun,BB,MACD+RSI+Volume,1,-10.43295992,-10.43295992,0.000000
all_rerun,CE,MA+RSI+BB,19,-0.68493208,-0.85808654,42.105263
all_rerun,CE,RSI+BB+NewsTopics,9,-3.04813277,-3.09412774,33.333333
all_rerun,CE,RSI+BB+Volume,9,1.65673292,0.22421170,55.555556
all_rerun,CE,MACD+RSI+BB,6,1.13834913,4.16699171,66.666667
all_rerun,CE,BB,5,-3.29265792,-4.74110442,20.000000
all_rerun,CE,RSI+BB,5,3.47986803,3.48306667,60.000000
all_rerun,CE,MA+RSI+BB+NewsTopics,4,-4.59517101,-4.26669699,25.000000
all_rerun,CE,MACD+RSI,4,-6.44749331,-7.92793287,25.000000
all_rerun,CE,MA+RSI,3,-1.62296880,-1.56961308,33.333333
all_rerun,CE,MA+RSI+NewsTopics,2,0.24175234,0.24175234,50.000000
all_rerun,CE,BB+NewsTopics,1,3.27976171,3.27976171,100.000000
all_rerun,CE,MA+MACD+RSI,1,-3.04244560,-3.04244560,0.000000
all_rerun,CE,MA+MACD+RSI+BB,1,13.03630525,13.03630525,100.000000
all_rerun,CE,MA+NewsTopics,1,0.46149424,0.46149424,100.000000
all_rerun,CE,MA+RSI+BB+Volume,1,4.84004516,4.84004516,100.000000
all_rerun,CE,MA+RSI+Volume,1,5.30963280,5.30963280,100.000000
all_rerun,CE,MACD+RSI+BB+NewsTopics,1,-4.21354824,-4.21354824,0.000000
all_rerun,CE,MACD+RSI+NewsTopics,1,-14.82023647,-14.82023647,0.000000
all_rerun,CE,RSI+NewsTopics,1,-4.13576965,-4.13576965,0.000000
high_exact_period,CE,MA+RSI+BB,9,-1.78156233,-1.69576263,33.333333
high_exact_period,CE,RSI+BB+NewsTopics,7,-3.57456037,-3.09412774,28.571429
high_exact_period,CE,MA+RSI+BB+NewsTopics,4,-4.59517101,-4.26669699,25.000000
high_exact_period,CE,MACD+RSI,3,-9.59172690,-8.25786636,0.000000
high_exact_period,CE,MACD+RSI+BB,3,6.27230211,7.32051828,100.000000
high_exact_period,CE,MA+RSI+NewsTopics,2,0.24175234,0.24175234,50.000000
high_exact_period,CE,RSI+BB+Volume,2,-5.91621356,-5.91621356,0.000000
high_exact_period,CE,MA+MACD+RSI,1,-3.04244560,-3.04244560,0.000000
high_exact_period,CE,MA+NewsTopics,1,0.46149424,0.46149424,100.000000
high_exact_period,CE,MA+RSI,1,-5.32431460,-5.32431460,0.000000
high_exact_period,CE,MA+RSI+Volume,1,5.30963280,5.30963280,100.000000
high_exact_period,CE,MACD+RSI+NewsTopics,1,-14.82023647,-14.82023647,0.000000
high_exact_period,CE,RSI+NewsTopics,1,-4.13576965,-4.13576965,0.000000
