ticker,rule_id,period_label,period_role,start,end,manifest_updated_at,original_code_cutoff_commit,rulebook_source,original_trade_source,original_component_source,rerun_ohlcv_source,non_ohlcv_frozen_snapshot
ANET,stage3:ANET:fe220620802b,stress_pre_2022h1,stress_exit_check,DATA_START,2022-06-30,2026-06-25T18:28:41,8390e6b96d4b391c392cfb4c00cb6163cf4150a0,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
ANET,stage3:ANET:fe220620802b,train_1,pure_oos,2022-07-01,2023-06-30,2026-06-25T18:28:41,8390e6b96d4b391c392cfb4c00cb6163cf4150a0,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
ANET,stage3:ANET:fe220620802b,train_2,pure_oos,2023-07-01,2024-06-30,2026-06-25T18:28:41,8390e6b96d4b391c392cfb4c00cb6163cf4150a0,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
ANET,stage3:ANET:fe220620802b,recent_1y,pure_oos,2025-07-01,2026-06-24,2026-06-25T18:28:41,8390e6b96d4b391c392cfb4c00cb6163cf4150a0,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/ANET/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
BB,stage3:BB:f1bdfe7f8ad9,stress_pre_2022h1,stress_exit_check,DATA_START,2022-06-30,2026-06-27T02:45:47,54f1b999a9ded22792d2a28e81658083690268e8,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
BB,stage3:BB:f1bdfe7f8ad9,train_1,pure_oos,2022-07-01,2023-06-30,2026-06-27T02:45:47,54f1b999a9ded22792d2a28e81658083690268e8,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
BB,stage3:BB:f1bdfe7f8ad9,train_2,pure_oos,2023-07-01,2024-06-30,2026-06-27T02:45:47,54f1b999a9ded22792d2a28e81658083690268e8,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
BB,stage3:BB:f1bdfe7f8ad9,recent_1y,pure_oos,2025-07-01,2026-06-26,2026-06-27T02:45:47,54f1b999a9ded22792d2a28e81658083690268e8,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/BB/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
CE,stage3:CE:998b0b638c66,stress_pre_2022h1,stress_exit_check,DATA_START,2022-06-30,2026-06-29T03:12:19,378554410a2ff3ddc9697fbceb7dfb320ab7e7ff,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
CE,stage3:CE:998b0b638c66,train_1,pure_oos,2022-07-01,2023-06-30,2026-06-29T03:12:19,378554410a2ff3ddc9697fbceb7dfb320ab7e7ff,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/final_rulebooks.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/exit_trades.jsonl,/home/g3000kkw/kingmaker/exp_batch_stage123_2009_20260616_full/tickers/CE/stage3/rl_replay_trades.jsonl,yfinance via load_ohlcv; manifest date as exclusive end,unavailable
