ticker,period_label,period_reproduction_status,trade_match_status,confidence_tier,component_matches_original,entry_date,exit_date,pnl_pct,score,threshold,ratio,market_adjustment,positive_component_count,active_combo,ma_align,macd,rsi,bb,volume,news,news_topics,events
BB,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-04-14,2021-05-10,-13.01847035,4.57695837,2.79195117,1.6393404,1.0,3,MACD+RSI+NewsTopics,0.0,1.59867026,1.75038162,0.0,0.0,0.0,1.22790648,0.0
BB,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-07-29,2021-08-24,6.23994319,3.54588783,2.79195117,1.27003934,1.0,4,RSI+BB+Volume+NewsTopics,0.0,0.0,1.75038162,0.36097895,1.16162065,0.0,0.27290662,0.0
BB,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-08-27,2021-09-23,-3.33530583,3.06829789,2.79195117,1.09897978,1.0,2,RSI+NewsTopics,0.0,0.0,1.75038162,0.0,0.0,0.0,1.31791627,0.0
BB,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-09-28,2021-10-22,7.80199026,7.15814253,2.79195117,2.56384947,1.0,3,RSI+BB+NewsTopics,0.0,0.0,1.75038162,0.36097895,0.0,0.0,5.04678196,0.0
BB,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-11-02,2021-11-26,-13.04018783,3.29090347,2.79195117,1.17871097,1.0,2,MA+RSI,1.54052185,0.0,1.75038162,0.0,0.0,0.0,0.0,0.0
BB,stress_pre_2022h1,mismatch_period,exact,B_trade_exact,True,2021-12-20,2022-01-14,-0.32303951,3.71003083,2.79195117,1.32883084,1.0,3,MACD+RSI+BB,0.0,1.59867026,1.75038162,0.36097895,0.0,0.0,0.0,0.0
BB,stress_pre_2022h1,mismatch_period,entry_date_match_but_values_differ,C_signal_exact_exit_diff,True,2021-05-17,2021-06-11,71.00050569,3.11138074,2.79195117,1.11441087,1.0,3,MACD+RSI+BB,0.0,1.59867026,1.75038162,0.36097895,0.0,0.0,-0.59865009,0.0
BB,stress_pre_2022h1,mismatch_period,entry_date_match_but_values_differ,C_signal_exact_exit_diff,True,2022-02-25,2022-03-23,14.43456056,2.84301384,2.79195117,1.01828924,1.0,3,RSI+BB+NewsTopics,0.0,0.0,1.75038162,0.36097895,0.0,0.0,0.73165327,0.0
BB,stress_pre_2022h1,mismatch_period,entry_date_match_but_values_differ,C_signal_exact_exit_diff,True,2022-05-17,2022-06-13,-10.99146968,3.34905188,2.79195117,1.19953813,1.0,2,MACD+RSI,0.0,1.59867026,1.75038162,0.0,0.0,0.0,0.0,0.0
BB,stress_pre_2022h1,mismatch_period,not_in_original,D_low_partial_or_rerun_only,False,2021-06-16,2021-07-13,-18.47447219,2.96811104,2.79195117,1.06309561,1.0,2,MA+RSI,1.54052185,0.0,1.75038162,0.0,0.0,0.0,-0.32279243,0.0
BB,stress_pre_2022h1,mismatch_period,not_in_original,D_low_partial_or_rerun_only,False,2022-06-27,2022-06-30,-6.47201124,3.34905188,2.79195117,1.19953813,1.0,2,MACD+RSI,0.0,1.59867026,1.75038162,0.0,0.0,0.0,0.0,0.0
