scope,ticker,classification_type,classification,trade_count,avg_pnl_pct,median_pnl_pct,win_rate_pct,pnl_variance_sample,pnl_std_sample,min_pnl_pct,max_pnl_pct,avg_ratio,avg_active_component_count
all_rerun,BB,exact_active_combo,RSI+BB+NewsTopics,8,3.3838027731253337,1.785388228453086,50.0,120.2225049732886,10.964602362752997,-12.036427046943468,21.63597531770358,1.788057804011213,3.0
all_rerun,BB,exact_active_combo,MACD+RSI+BB,7,9.447352042466871,-0.3230395070905979,42.857142857142854,832.6493270022473,28.855663690205557,-11.469410961200076,71.000505687719,1.2793212937174574,3.0
all_rerun,BB,exact_active_combo,MA+RSI,6,5.004197144084395,-0.7103765865003169,50.0,503.0162643072183,22.428024083882608,-18.4744721856712,32.88115175623033,1.1537418487068678,2.0
all_rerun,BB,exact_active_combo,MA+RSI+BB,5,-6.207705056268334,-12.740621124882058,20.0,386.7980496255025,19.667182045872828,-21.72436694949191,28.077921624340206,1.2858014298495395,3.0
all_rerun,BB,exact_active_combo,MACD+RSI,4,2.561591426494724,-1.1199968549165749,50.0,235.19025482188067,15.335913889360512,-10.991469684322883,23.47782910013493,1.1995381276435868,2.0
all_rerun,BB,exact_active_combo,RSI+NewsTopics,3,-2.819551507074157,-3.3353058289337296,33.333333333333336,70.92095019045269,8.421457723604192,-10.971278873116198,5.847930180827459,1.249387060436079,2.0
all_rerun,BB,exact_active_combo,RSI+BB+Volume,2,-4.555648181426141,-4.555648181426141,50.0,239.44646828175684,15.47405791257603,-15.497459463882004,6.386163101029722,1.1722917090754887,3.0
all_rerun,BB,exact_active_combo,RSI+BB+Volume+NewsTopics,2,0.5332500596430796,0.5332500596430796,50.0,65.13269287304612,8.070482815361553,-5.1734430665485736,6.239943185834733,1.258927453071667,4.0
all_rerun,BB,exact_active_combo,MA+RSI+Volume,1,-15.258223187542189,-15.258223187542189,0.0,,,-15.258223187542189,-15.258223187542189,1.5947714828922517,3.0
all_rerun,BB,exact_active_combo,MACD+RSI+BB+Volume+NewsTopics,1,-9.731702367900395,-9.731702367900395,0.0,,,-9.731702367900395,-9.731702367900395,1.7684551886172772,5.0
all_rerun,BB,exact_active_combo,MACD+RSI+NewsTopics,1,-13.018470349134622,-13.018470349134622,0.0,,,-13.018470349134622,-13.018470349134622,1.6393404037726391,3.0
all_rerun,BB,exact_active_combo,MACD+RSI+Volume,1,-10.432959923416492,-10.432959923416492,0.0,,,-10.432959923416492,-10.432959923416492,1.6155986437418783,3.0
