ticker,candidate_id,training_stage,artifact_updated_at,csv_mtime_utc,origin_train_period,training_trading_days,raw_sentiment_rows,raw_topic_feature_dates,effective_news_nonzero_days,effective_news_coverage_pct,use_news_global,news_topics_active,event_effective_days,news_training_status,event_training_status
BMA,stage3:BMA:0c978464f9dd,stage3,2026-06-27T19:39:12,2026-06-02T19:39:07.015105+00:00,2024-07-01_to_2025-06-30,250,13,13,55,22.0,false,true,0,LIVE_SPARSE,FORCED_ZERO
BNTX,stage3:BNTX:d667608bc166,stage3,2026-06-27T22:42:02,2026-06-02T19:39:44.800070+00:00,2024-07-01_to_2025-06-30,250,25,25,108,43.2,true,true,0,LIVE_SPARSE,FORCED_ZERO
BTBT,stage3:BTBT:363898884d44,stage3,2026-06-28T05:25:53,2026-06-02T19:41:08.105991+00:00,2024-07-01_to_2025-06-30,250,22,22,85,34.0,false,true,0,LIVE_SPARSE,FORCED_ZERO
CMC,stage2:CMC:4f6ee2739add,stage2,2026-06-18T01:03:14.994829+00:00,2026-06-02T19:46:48.106671+00:00,2024-07-01_to_2025-06-30,250,16,16,73,29.2,true,true,0,LIVE_SPARSE,FORCED_ZERO
BWXT,stage3:BWXT:f195725cb792,stage3,2026-06-28T09:22:59,2026-06-02T19:41:50.310951+00:00,2024-07-01_to_2025-06-30,250,18,18,74,29.6,false,true,0,LIVE_SPARSE,FORCED_ZERO
BMI,stage3:BMI:07d4ee0f7841,stage3,2026-06-27T19:46:07,2026-06-02T19:39:12.963100+00:00,2024-07-01_to_2025-06-30,250,9,9,46,18.4,true,true,0,LIVE_SPARSE,FORCED_ZERO
BGC,stage3:BGC:d8c39420992c,stage3,2026-06-27T11:25:40,2026-06-02T19:37:20.931205+00:00,2024-07-01_to_2025-06-30,250,10,10,52,20.8,true,true,0,LIVE_SPARSE,FORCED_ZERO
CE,stage3:CE:998b0b638c66,stage3,2026-06-29T03:12:19,2026-06-02T19:44:06.345823+00:00,2024-07-01_to_2025-06-30,250,18,18,87,34.8,false,true,0,LIVE_SPARSE,FORCED_ZERO
ACMR,stage3:ACMR:44c1e02681c4,stage3,2026-06-24T13:35:24,2026-06-02T19:26:18.951828+00:00,2024-07-01_to_2025-06-30,250,4,2,12,4.8,false,true,0,LIVE_VERY_SPARSE,FORCED_ZERO
