symbol,rows,first_date,last_date,stored_to_disk
^GSPC,1759,2019-07-11,2026-07-10,false
^VIX,1761,2019-07-10,2026-07-10,false
XLK,1759,2019-07-11,2026-07-10,false
XLF,1759,2019-07-11,2026-07-10,false
XLE,1759,2019-07-11,2026-07-10,false
XLV,1759,2019-07-11,2026-07-10,false
XLY,1759,2019-07-11,2026-07-10,false
XLI,1759,2019-07-11,2026-07-10,false
