method,fitness_consistency_lambda,oos_coverage,selected_oos_precision,oos_avg_precision_6_candidates,stress_avg_precision_(커닝_독립검증아님),oos_gate_count,oos_gate_denominator,survivor_count,survivor_denominator,avg_return_pct,compounded_return_pct,max_drawdown_pct,trade_count,diagnostic_trade_warning
STRICT_AND_12_BASELINE,0.0,0.0496031746031746,0.6,0.5568036641720852,0.40989381681995524,2,6,2,6,0.1446446187413947,0.8181148193431964,-12.808970447452328,19,False
HYBRID_GROUP_COUNT_AND_UNFLOORED,0.0,0.0694444444444444,0.5714285714285714,0.5032532282757464,0.4328084997439836,0,6,0,6,0.0202646211605034,-1.3119679709529095,-19.29033281954333,18,True
HYBRID_GROUP_COUNT_AND_FLOORED,0.0,0.1845238095238095,0.5806451612903226,0.5974444659539749,0.4325600453312914,1,6,0,6,2.079357744911722,146.15392847804074,-17.447874352001904,48,True
HYBRID_FLOORED_CONSISTENCY_LAMBDA_0_5,0.5,0.0734126984126984,0.4864864864864865,0.5601378232452401,0.6970362970362971,1,6,0,6,-1.4695461177703768,-37.599440653102654,-31.448958706353924,27,True
HYBRID_FLOORED_CONSISTENCY_LAMBDA_0.2,0.2,0.11904761904761904,0.6,0.5718380424832038,0.5448865218602061,1,6,0,6,0.8533359686102366,39.279063457373,-34.01466390188914,49,True
HYBRID_FLOORED_CONSISTENCY_LAMBDA_0.3,0.3,0.1488095238095238,0.48,0.5616103041558943,0.7000821018062396,0,6,0,6,-0.09294597122588719,-14.642017299569698,-45.382550744031725,45,True
