ticker,model_hash,origin_train_label,regime,signal_count,positive_count,base_rate,passed_count,passed_positive_count,precision,recall,coverage,lift_pp,precision_floor,sample_floor,passed_gate,gate_fail_reasons,survivor
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,train,251,67,0.26693227091633465,20,13,0.65,0.19402985074626866,0.0796812749003984,38.30677290836654,0.45,20,True,[],False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,stress,500,148,0.296,30,17,0.5666666666666667,0.11486486486486487,0.06,27.066666666666666,0.5,8,True,[],False
AAP,4c864eb552a8500fd0d14c2b093e85d797037d135a796eb01ff74035550d4b8f,train_1,oos,252,130,0.5158730158730159,56,25,0.44642857142857145,0.19230769230769232,0.2222222222222222,-6.944444444444447,0.545873015873016,8,False,"[""precision<0.5459""]",False
AAP,b23fda7a4ef2c072e4af37085fb53c557e3bbe3a63c401b69acbeaa70c8eff82,train_2,train,250,101,0.404,22,20,0.9090909090909091,0.19801980198019803,0.088,50.5090909090909,0.48400000000000004,20,True,[],False
AAP,b23fda7a4ef2c072e4af37085fb53c557e3bbe3a63c401b69acbeaa70c8eff82,train_2,stress,500,148,0.296,2,2,1.0,0.013513513513513514,0.004,70.39999999999999,0.759090909090909,8,False,"[""passed_count<8""]",False
AAP,b23fda7a4ef2c072e4af37085fb53c557e3bbe3a63c401b69acbeaa70c8eff82,train_2,oos,252,130,0.5158730158730159,41,27,0.6585365853658537,0.2076923076923077,0.1626984126984127,14.266356949283775,0.759090909090909,8,False,"[""precision<0.7591""]",False
AAP,748dc10583f70d19e2f7a1720116c5371b84ce8d4a6749efd6447fef3c884b3e,train_3,train,250,119,0.476,22,19,0.8636363636363636,0.15966386554621848,0.088,38.763636363636365,0.5559999999999999,20,True,[],False
AAP,748dc10583f70d19e2f7a1720116c5371b84ce8d4a6749efd6447fef3c884b3e,train_3,stress,500,148,0.296,7,6,0.8571428571428571,0.04054054054054054,0.014,56.114285714285714,0.7136363636363636,8,False,"[""passed_count<8""]",False
AAP,748dc10583f70d19e2f7a1720116c5371b84ce8d4a6749efd6447fef3c884b3e,train_3,oos,252,130,0.5158730158730159,32,18,0.5625,0.13846153846153847,0.12698412698412698,4.662698412698408,0.7136363636363636,8,False,"[""precision<0.7136""]",False
POWI,f224ea1271f00ea7c9525e8516f4208086fcf66e6ce08bad02b3746f1cf57693,train_1,train,251,112,0.44621513944223107,20,20,1.0,0.17857142857142858,0.0796812749003984,55.37848605577689,0.5262151394422311,20,True,[],False
POWI,f224ea1271f00ea7c9525e8516f4208086fcf66e6ce08bad02b3746f1cf57693,train_1,stress,500,185,0.37,29,17,0.5862068965517241,0.0918918918918919,0.058,21.62068965517241,0.85,8,False,"[""precision<0.8500""]",False
POWI,f224ea1271f00ea7c9525e8516f4208086fcf66e6ce08bad02b3746f1cf57693,train_1,oos,252,123,0.4880952380952381,19,11,0.5789473684210527,0.08943089430894309,0.07539682539682539,9.085213032581457,0.85,8,False,"[""precision<0.8500""]",False
POWI,ee8f1f8010abf939f8f1afdc722e0dc3f12e091f738bc2537749e5e285ba780c,train_2,train,250,70,0.28,20,16,0.8,0.22857142857142856,0.08,52.0,0.45,20,True,[],False
POWI,ee8f1f8010abf939f8f1afdc722e0dc3f12e091f738bc2537749e5e285ba780c,train_2,stress,500,185,0.37,28,16,0.5714285714285714,0.08648648648648649,0.056,20.14285714285714,0.65,8,False,"[""precision<0.6500""]",False
POWI,ee8f1f8010abf939f8f1afdc722e0dc3f12e091f738bc2537749e5e285ba780c,train_2,oos,252,123,0.4880952380952381,21,10,0.47619047619047616,0.08130081300813008,0.08333333333333333,-1.1904761904761918,0.65,8,False,"[""precision<0.6500""]",False
POWI,67f0303177110a664f9d8bb61daf5b3a27790e54a94437abd3c8fffb248513fe,train_3,train,250,104,0.416,20,18,0.9,0.17307692307692307,0.08,48.400000000000006,0.496,20,True,[],False
POWI,67f0303177110a664f9d8bb61daf5b3a27790e54a94437abd3c8fffb248513fe,train_3,stress,500,185,0.37,21,13,0.6190476190476191,0.07027027027027027,0.042,24.90476190476191,0.75,8,False,"[""precision<0.7500""]",False
POWI,67f0303177110a664f9d8bb61daf5b3a27790e54a94437abd3c8fffb248513fe,train_3,oos,252,123,0.4880952380952381,17,11,0.6470588235294118,0.08943089430894309,0.06746031746031746,15.89635854341737,0.75,8,False,"[""precision<0.7500""]",False
