generation,best_fitness,avg_top10_fitness,cache_size,best_hash,best_avg_exp,best_min_exp,best_worst_dd_abs,best_total_trades
0,11.952387617386075,8.510599543242542,100,20beaaa16ba5f69319bfdcab00c777059db3835c50b06328831fbd0a5547ea92,6.774015226555207,5.320076382441225,15.551348466877094,28
1,14.463512863884892,10.978247095280661,180,17cf2979b26359927bee1bbf3bbb8ae3d0c83de7a4b582419889444c71e6bf92,6.914944255559284,5.975648354776784,13.71179151438259,22
2,14.463512863884892,12.774185142883443,259,17cf2979b26359927bee1bbf3bbb8ae3d0c83de7a4b582419889444c71e6bf92,6.914944255559284,5.975648354776784,13.71179151438259,22
3,15.938326365340822,13.885366953424363,339,f66b86d7dc9e1deb854242fc38bcc538aab97f1d4f1eda9f5e9738736c8b5ff2,7.408733491174928,5.975648354776784,10.241211069027948,21
4,15.938326365340822,14.163531553706239,419,f66b86d7dc9e1deb854242fc38bcc538aab97f1d4f1eda9f5e9738736c8b5ff2,7.408733491174928,5.975648354776784,10.241211069027948,21
5,15.938326365340822,14.203980371101903,499,f66b86d7dc9e1deb854242fc38bcc538aab97f1d4f1eda9f5e9738736c8b5ff2,7.408733491174928,5.975648354776784,10.241211069027948,21
6,15.938326365340822,14.433588086519071,579,f66b86d7dc9e1deb854242fc38bcc538aab97f1d4f1eda9f5e9738736c8b5ff2,7.408733491174928,5.975648354776784,10.241211069027948,21
7,15.938326365340822,14.782580924845771,659,f66b86d7dc9e1deb854242fc38bcc538aab97f1d4f1eda9f5e9738736c8b5ff2,7.408733491174928,5.975648354776784,10.241211069027948,21
8,16.01494623968452,15.37390271166068,739,14fa56f9d073a5f71582c72e4a759d8847fb9724a57243c1c961da433f5435ca,7.382845659760322,5.975648354776784,9.91619125566271,21
9,17.229152048898925,16.09356068025238,819,8f5242a2ed6ebd0f243d57fc84c480349229b6cfdbe3dbc44a14c662d3f96e75,7.483973909892871,5.975648354776784,6.198669256325772,20
10,17.229152048898925,16.273561092391184,899,8f5242a2ed6ebd0f243d57fc84c480349229b6cfdbe3dbc44a14c662d3f96e75,7.483973909892871,5.975648354776784,6.198669256325772,20
11,17.229152048898925,16.40415201134754,979,8f5242a2ed6ebd0f243d57fc84c480349229b6cfdbe3dbc44a14c662d3f96e75,7.483973909892871,5.975648354776784,6.198669256325772,20
12,17.229152048898925,16.692678020667447,1059,8f5242a2ed6ebd0f243d57fc84c480349229b6cfdbe3dbc44a14c662d3f96e75,7.483973909892871,5.975648354776784,6.198669256325772,20
13,17.229152048898925,17.04767693759762,1139,8f5242a2ed6ebd0f243d57fc84c480349229b6cfdbe3dbc44a14c662d3f96e75,7.483973909892871,5.975648354776784,6.198669256325772,20
14,17.229152048898925,17.204541441481947,1219,8f5242a2ed6ebd0f243d57fc84c480349229b6cfdbe3dbc44a14c662d3f96e75,7.483973909892871,5.975648354776784,6.198669256325772,20
15,18.079982976736122,17.314235141682644,1299,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
16,18.079982976736122,17.401625976646613,1379,027ab610c028af0dfb731a9abd06e03eb2774f7d35bfef0e1923ecf9ba2fbe83,7.660457460375181,6.302065162194418,6.198669256325772,20
