best_active_feature_count,best_fitness,best_passed_count,best_precision,best_recall,candidate_id,early_stop,generation,population_avg_fitness,stage,ticker
1,83.49545078577334,9,0.6666666666666666,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,1,-907.433872240125,stage2,ALGT
1,83.49545078577334,9,0.6666666666666666,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,2,-882.1885778874403,stage2,ALGT
1,83.49545078577334,9,0.6666666666666666,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,3,-832.8521750730447,stage2,ALGT
1,83.49545078577334,9,0.6666666666666666,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,4,-824.5623299523277,stage2,ALGT
1,83.49545078577334,9,0.6666666666666666,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,5,-773.9596968288241,stage2,ALGT
1,83.49545078577334,9,0.6666666666666666,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,6,-813.604599308857,stage2,ALGT
3,93.44975186104217,8,0.75,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,7,-805.8840192982141,stage2,ALGT
3,93.44975186104217,8,0.75,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,8,-813.4737858712467,stage2,ALGT
2,94.44975186104217,8,0.75,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,9,-764.1030717399481,stage2,ALGT
2,94.44975186104217,8,0.75,0.46153846153846156,stage2:ALGT:402f72d48c3c,False,10,-756.7932678424165,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,11,-796.4812423757357,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,12,-828.7685715431242,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,13,-747.2287129049233,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,14,-787.6013385160086,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,15,-729.3289992720372,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,16,-760.3284870820802,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,17,-776.7201723092096,stage2,ALGT
3,112.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,18,-734.484076078624,stage2,ALGT
2,113.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,19,-775.4275924515052,stage2,ALGT
2,113.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,20,-759.658303673063,stage2,ALGT
2,113.49782878411911,8,0.875,0.5384615384615384,stage2:ALGT:402f72d48c3c,False,21,-749.4807009192398,stage2,ALGT
