base_rate,candidate_id,coverage,lift_pp,mode,passed_count,passed_positive_count,positive_count,precision,recall,regime,signal_count,stage,ticker
0.37037037037037035,stage2:POWI:6c2e3e5c874b,1.0,0.0,baseline,27,10,10,0.37037037037037035,1.0,train,27,stage2,POWI
0.37037037037037035,stage2:POWI:6c2e3e5c874b,0.2962962962962963,37.96296296296296,filtered,8,6,10,0.75,0.6,train,27,stage2,POWI
0.4,stage2:POWI:6c2e3e5c874b,1.0,0.0,baseline,15,6,6,0.4,1.0,oos,15,stage2,POWI
0.4,stage2:POWI:6c2e3e5c874b,0.0,-40.0,filtered,0,0,6,0.0,0.0,oos,15,stage2,POWI
0.5833333333333334,stage3:AA:9bf08eb287d2,1.0,0.0,baseline,12,7,7,0.5833333333333334,1.0,stress,12,stage3,AA
0.5833333333333334,stage3:AA:9bf08eb287d2,0.5,-8.333333333333337,filtered,6,3,7,0.5,0.42857142857142855,stress,12,stage3,AA
0.47058823529411764,stage3:AA:9bf08eb287d2,1.0,0.0,baseline,17,8,8,0.47058823529411764,1.0,train,17,stage3,AA
0.47058823529411764,stage3:AA:9bf08eb287d2,0.47058823529411764,15.441176470588236,filtered,8,5,8,0.625,0.625,train,17,stage3,AA
0.5555555555555556,stage3:AA:9bf08eb287d2,1.0,0.0,baseline,9,5,5,0.5555555555555556,1.0,oos,9,stage3,AA
0.5555555555555556,stage3:AA:9bf08eb287d2,0.4444444444444444,-5.555555555555558,filtered,4,2,5,0.5,0.4,oos,9,stage3,AA
0.45454545454545453,stage3:AAOI:5fa4b9dea9eb,1.0,0.0,baseline,22,10,10,0.45454545454545453,1.0,stress,22,stage3,AAOI
0.45454545454545453,stage3:AAOI:5fa4b9dea9eb,0.5,9.090909090909088,filtered,11,6,10,0.5454545454545454,0.6,stress,22,stage3,AAOI
0.6296296296296297,stage3:AAOI:5fa4b9dea9eb,1.0,0.0,baseline,27,17,17,0.6296296296296297,1.0,train,27,stage3,AAOI
0.6296296296296297,stage3:AAOI:5fa4b9dea9eb,0.48148148148148145,29.34472934472935,filtered,13,12,17,0.9230769230769231,0.7058823529411765,train,27,stage3,AAOI
0.7222222222222222,stage3:AAOI:5fa4b9dea9eb,1.0,0.0,baseline,18,13,13,0.7222222222222222,1.0,oos,18,stage3,AAOI
0.7222222222222222,stage3:AAOI:5fa4b9dea9eb,0.2222222222222222,-22.22222222222222,filtered,4,2,13,0.5,0.15384615384615385,oos,18,stage3,AAOI
0.3333333333333333,stage3:ABEV:9121d29b2b80,1.0,0.0,baseline,9,3,3,0.3333333333333333,1.0,stress,9,stage3,ABEV
0.3333333333333333,stage3:ABEV:9121d29b2b80,0.1111111111111111,66.66666666666667,filtered,1,1,3,1.0,0.3333333333333333,stress,9,stage3,ABEV
0.0625,stage3:ABEV:9121d29b2b80,1.0,0.0,baseline,16,1,1,0.0625,1.0,train,16,stage3,ABEV
0.0625,stage3:ABEV:9121d29b2b80,0.5,6.25,filtered,8,1,1,0.125,1.0,train,16,stage3,ABEV
0.1111111111111111,stage3:ABEV:9121d29b2b80,1.0,0.0,baseline,9,1,1,0.1111111111111111,1.0,oos,9,stage3,ABEV
0.1111111111111111,stage3:ABEV:9121d29b2b80,0.4444444444444444,-11.11111111111111,filtered,4,0,1,0.0,0.0,oos,9,stage3,ABEV
0.75,stage3:ACLS:91f65753d85d,1.0,0.0,baseline,12,9,9,0.75,1.0,stress,12,stage3,ACLS
0.75,stage3:ACLS:91f65753d85d,0.8333333333333334,-5.000000000000004,filtered,10,7,9,0.7,0.7777777777777778,stress,12,stage3,ACLS
0.6666666666666666,stage3:ACLS:91f65753d85d,1.0,0.0,baseline,12,8,8,0.6666666666666666,1.0,train,12,stage3,ACLS
0.6666666666666666,stage3:ACLS:91f65753d85d,0.8333333333333334,13.333333333333341,filtered,10,8,8,0.8,1.0,train,12,stage3,ACLS
0.8571428571428571,stage3:ACLS:91f65753d85d,1.0,0.0,baseline,7,6,6,0.8571428571428571,1.0,oos,7,stage3,ACLS
0.8571428571428571,stage3:ACLS:91f65753d85d,0.5714285714285714,14.28571428571429,filtered,4,4,6,1.0,0.6666666666666666,oos,7,stage3,ACLS
0.42857142857142855,stage3:ACMR:44c1e02681c4,1.0,0.0,baseline,14,6,6,0.42857142857142855,1.0,stress,14,stage3,ACMR
0.42857142857142855,stage3:ACMR:44c1e02681c4,0.2857142857142857,7.142857142857145,filtered,4,2,6,0.5,0.3333333333333333,stress,14,stage3,ACMR
0.4411764705882353,stage3:ACMR:44c1e02681c4,1.0,0.0,baseline,34,15,15,0.4411764705882353,1.0,train,34,stage3,ACMR
0.4411764705882353,stage3:ACMR:44c1e02681c4,0.23529411764705882,43.38235294117647,filtered,8,7,15,0.875,0.4666666666666667,train,34,stage3,ACMR
0.6923076923076923,stage3:ACMR:44c1e02681c4,1.0,0.0,baseline,26,18,18,0.6923076923076923,1.0,oos,26,stage3,ACMR
0.6923076923076923,stage3:ACMR:44c1e02681c4,0.23076923076923078,-2.564102564102566,filtered,6,4,18,0.6666666666666666,0.2222222222222222,oos,26,stage3,ACMR
0.5483870967741935,stage3:ADMA:42437a3ee595,1.0,0.0,baseline,31,17,17,0.5483870967741935,1.0,stress,31,stage3,ADMA
