ticker,origin_train_label,split_index,worker_pid,started_at_utc,finished_at_utc,elapsed_seconds,status,population,generations,patience,max_workers,train_rows,stress_rows,stress_used_for_gene_inputs,stress_used_for_fitness_only,fitness_consistency_lambda,lambda_source
AAP,train_1,1,610682,2026-07-12T18:38:58.614644+00:00,2026-07-12T18:38:59.703230+00:00,1.0552049719844945,OK,100,50,15,6,251,500,False,True,0.3,RUNTIME_CONSTANT_ONLY
AAP,train_2,2,610683,2026-07-12T18:38:58.614660+00:00,2026-07-12T18:39:00.123798+00:00,1.4749267270090058,OK,100,50,15,6,250,500,False,True,0.3,RUNTIME_CONSTANT_ONLY
AAP,train_3,3,610684,2026-07-12T18:38:58.614664+00:00,2026-07-12T18:39:00.776146+00:00,2.1257008529501036,OK,100,50,15,6,250,500,False,True,0.3,RUNTIME_CONSTANT_ONLY
POWI,train_1,1,610685,2026-07-12T18:38:58.615960+00:00,2026-07-12T18:39:00.755306+00:00,2.1024248249595985,OK,100,50,15,6,251,500,False,True,0.3,RUNTIME_CONSTANT_ONLY
POWI,train_2,2,610686,2026-07-12T18:38:58.615972+00:00,2026-07-12T18:39:00.745707+00:00,2.0917266359901987,OK,100,50,15,6,250,500,False,True,0.3,RUNTIME_CONSTANT_ONLY
POWI,train_3,3,610687,2026-07-12T18:38:58.615975+00:00,2026-07-12T18:39:00.918102+00:00,2.262582000985276,OK,100,50,15,6,250,500,False,True,0.3,RUNTIME_CONSTANT_ONLY
