candidate_id,ticker,log_based_status,log_train_signals,log_train_precision,log_stress_signals,log_stress_precision,log_oos_signals,log_oos_precision,replay_status,replay_train_signals,replay_train_precision,replay_stress_signals,replay_stress_precision,replay_oos_signals,replay_oos_precision,transition,reason
stage3:AMSC:57bf3f342f43,AMSC,SURVIVOR,35,1.0,19,0.8,18,0.8,FAILED_GATE,356,0.8604651162790697,149,0.2857142857142857,115,0.5789473684210527,SURVIVOR_TO_FAIL,"stress precision and train-stress gap collapsed under all-should_buy replay"
stage3:AVAV:3d66945d7c65,AVAV,SURVIVOR,19,0.625,12,0.6,11,0.75,FAILED_GATE,445,0.6296296296296297,164,0.2608695652173913,109,0.36363636363636365,SURVIVOR_TO_FAIL,"stress and OOS precision collapsed under all-should_buy replay"
stage3:AEVA:3c4e598fa5c7,AEVA,FAILED_GATE,23,1.0,17,0.6666666666666666,13,0.75,SURVIVOR,317,0.7872340425531915,148,0.782608695652174,106,0.8823529411764706,FAIL_TO_SURVIVOR,"larger replay sample removed train-only inflation and preserved stress/OOS precision"
