variant,rank,rulebook_hash,label,composite_fitness,avg_exp,min_exp,neg_count,avg_dd_abs,worst_dd_abs,exp_stdev,total_trades,expectancy_pct,max_drawdown_pct,trade_count,win_rate,profit_factor,fitness,exit_dist
baseline_live,baseline,e1ced6002e72fd60bf5f096e69b4bf36c82dc94fccab5f77b1eb1a1a3fae24b8,2022,2.7139833492490193,5.721858768550595,1.3920139155069475,0,8.283041729975917,14.273509757108693,3.779449766954103,19,3.1293108667848912,-14.273509757108693,5,60.0,1.6733157674177321,32.74608914819402,"{""stop_loss"": 2, ""take_profit"": 3}"
baseline_live,baseline,e1ced6002e72fd60bf5f096e69b4bf36c82dc94fccab5f77b1eb1a1a3fae24b8,2023,2.7139833492490193,5.721858768550595,1.3920139155069475,0,8.283041729975917,14.273509757108693,3.779449766954103,19,1.3920139155069475,-9.705100565400862,4,50.0,1.3972405677671875,-9.224564032105011,"{""stop_loss"": 1, ""take_profit"": 1, ""time_out"": 2}"
baseline_live,baseline,e1ced6002e72fd60bf5f096e69b4bf36c82dc94fccab5f77b1eb1a1a3fae24b8,2024,2.7139833492490193,5.721858768550595,1.3920139155069475,0,8.283041729975917,14.273509757108693,3.779449766954103,19,11.146259206085148,0.0,2,100.0,5330.136724662023,12.251674418721041,"{""take_profit"": 2}"
baseline_live,baseline,e1ced6002e72fd60bf5f096e69b4bf36c82dc94fccab5f77b1eb1a1a3fae24b8,2025H2,2.7139833492490193,5.721858768550595,1.3920139155069475,0,8.283041729975917,14.273509757108693,3.779449766954103,19,7.219851085825395,-9.153556597394118,8,87.5,7.3040869685366365,52.99950415272964,"{""fold_end_mark_to_market"": 1, ""stop_loss"": 1, ""take_profit"": 5, ""time_out"": 1}"
ga_top1,1,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,2022,11.389242845913326,6.406236723243827,4.416450021028437,0,5.82686581922502,9.587686834205517,1.917326979939943,22,5.292734854142333,-9.587686834205517,6,66.66666666666666,2.974980283029172,50.26742750565894,"{""stop_loss"": 2, ""take_profit"": 3, ""time_out"": 1}"
ga_top1,1,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,2023,11.389242845913326,6.406236723243827,4.416450021028437,0,5.82686581922502,9.587686834205517,1.917326979939943,22,4.416450021028437,-7.037999904878317,4,75.0,3.514965393836942,9.294598771211964,"{""stop_loss"": 1, ""take_profit"": 1, ""time_out"": 1, ""trailing"": 1}"
ga_top1,1,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,2024,11.389242845913326,6.406236723243827,4.416450021028437,0,5.82686581922502,9.587686834205517,1.917326979939943,22,9.489258408628375,0.0,2,100.0,4534.296655761227,3.2390064491597315,"{""take_profit"": 1, ""trailing"": 1}"
ga_top1,1,869f36d1a5deae9c511d09a9a6a95c4f9e294a9149562862ffb5112b925544db,2025H2,11.389242845913326,6.406236723243827,4.416450021028437,0,5.82686581922502,9.587686834205517,1.917326979939943,22,6.426503609176168,-6.681776537816248,10,80.0,5.816295857113926,106.85820513882288,"{""stop_loss"": 2, ""take_profit"": 3, ""trailing"": 5}"
ga_top2,2,e0b282473db100913a0743ae279ab6de99836df884e8172a97f88baad869a789,2022,11.31629001611943,6.353808477162352,4.376633379949203,0,5.781237505460229,9.40517357914635,1.8882955004179667,22,5.323153729985529,-9.40517357914635,6,66.66666666666666,3.009172245315726,50.498039019079904,"{""stop_loss"": 2, ""take_profit"": 3, ""time_out"": 1}"
ga_top2,2,e0b282473db100913a0743ae279ab6de99836df884e8172a97f88baad869a789,2023,11.31629001611943,6.353808477162352,4.376633379949203,0,5.781237505460229,9.40517357914635,1.8882955004179667,22,4.376633379949203,-7.037999904878317,4,75.0,3.492408848818292,8.998192148433189,"{""stop_loss"": 1, ""take_profit"": 1, ""time_out"": 1, ""trailing"": 1}"
ga_top2,2,e0b282473db100913a0743ae279ab6de99836df884e8172a97f88baad869a789,2024,11.31629001611943,6.353808477162352,4.376633379949203,0,5.781237505460229,9.40517357914635,1.8882955004179667,22,9.401687263616394,0.0,2,100.0,4492.286046780107,2.778331345986116,"{""take_profit"": 1, ""trailing"": 1}"
ga_top2,2,e0b282473db100913a0743ae279ab6de99836df884e8172a97f88baad869a789,2025H2,11.31629001611943,6.353808477162352,4.376633379949203,0,5.781237505460229,9.40517357914635,1.8882955004179667,22,6.3137595350982805,-6.681776537816248,10,80.0,5.736369497502961,106.85820513882288,"{""stop_loss"": 2, ""take_profit"": 3, ""trailing"": 5}"
ga_top3,3,4e370c85c606b73b1d39c783b227bf7dd3b2f8db6aceff1fb9ed3ffd51f8cfa1,2022,11.299986533704413,6.43208295431001,4.329989403668944,0,5.84645034682534,9.34575725829787,1.9089722933596538,21,5.304401656899125,-9.34575725829787,6,66.66666666666666,2.98809277447811,50.40400836702,"{""stop_loss"": 2, ""take_profit"": 3, ""time_out"": 1}"
ga_top3,3,4e370c85c606b73b1d39c783b227bf7dd3b2f8db6aceff1fb9ed3ffd51f8cfa1,2023,11.299986533704413,6.43208295431001,4.329989403668944,0,5.84645034682534,9.34575725829787,1.9089722933596538,21,4.329989403668944,-7.2245758099993544,4,75.0,3.4022167933734404,8.983266076023504,"{""stop_loss"": 1, ""take_profit"": 1, ""time_out"": 1, ""trailing"": 1}"
ga_top3,3,4e370c85c606b73b1d39c783b227bf7dd3b2f8db6aceff1fb9ed3ffd51f8cfa1,2024,11.299986533704413,6.43208295431001,4.329989403668944,0,5.84645034682534,9.34575725829787,1.9089722933596538,21,9.401687263616394,0.0,2,100.0,4492.286046780107,2.778331345986116,"{""take_profit"": 1, ""trailing"": 1}"
ga_top3,3,4e370c85c606b73b1d39c783b227bf7dd3b2f8db6aceff1fb9ed3ffd51f8cfa1,2025H2,11.299986533704413,6.43208295431001,4.329989403668944,0,5.84645034682534,9.34575725829787,1.9089722933596538,21,6.692253493055578,-6.815468319004136,9,88.88888888888889,9.826210085039824,53.70277998178995,"{""stop_loss"": 1, ""take_profit"": 2, ""trailing"": 6}"
