feature_set,label,benchmark_scope,benchmark_sample_count,top5_mi_bits_sum,max_single_feature_mi_bits,abs_corr_ge_0_10_feature_count,same_sample_count,same_sample_top5_mi_bits_sum,same_sample_max_single_feature_mi_bits,same_sample_abs_corr_ge_0_10_feature_count,within_ticker_rank_top5_mi_bits_sum,top_features_by_mi
EXISTING_14,L0_FIXED_3PCT,PRIOR_75000_COMMON_ROWS,75000,0.2559257529727312,0.09939042160517653,6,74750,0.25618498821791413,0.09995620718718748,6,0.06900746018992278,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""true_range_d1_pct"", ""bb_width20_pct""]"
EXISTING_14,L2_RV20_1_0X_2D,PRIOR_75000_COMMON_ROWS,75000,0.12901846931275557,0.09306177733208396,0,74750,0.1291213283039566,0.09311374108471841,0,0.06053630939250856,"[""single_up_day5_pct"", ""fade_after_surge_score"", ""realized_vol20_pct"", ""volume_ratio20_prior"", ""range_vs_atr14""]"
NEW_RELATIVE_14,L2_RV20_1_0X_2D,CURRENT_COMMON_ROWS,74750,0.030172942413894746,0.008497335255688472,0,74750,0.030172942413894746,0.008497335255688472,0,0.016503397733910158,"[""close_pos5_history_pctile"", ""rv5_to_rv20"", ""pullback5_atr_history_pctile"", ""max_up_day5_atr14"", ""true_range_d1_atr14""]"
