ticker,source_path,expected_sha256,actual_sha256,sha_match,ohlcv_rows,ohlcv_first_date,ohlcv_last_date
ADMA,data/_system/analysis/ohlc_snapshot_20260707/ADMA_ohlcv.csv,c3a2388ebfb79d3fb784266b54aa14575aa423b8e70379e353d35a729654dede,c3a2388ebfb79d3fb784266b54aa14575aa423b8e70379e353d35a729654dede,True,1526,2020-06-08,2026-07-06
CRS,data/_system/analysis/ohlc_snapshot_20260707/CRS_ohlcv.csv,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf,ed2a0a6cabd0100c99d9fe5714c59f31de174878434f4dacb9efca29729cd0bf,True,1526,2020-06-08,2026-07-06
ALGT,data/_system/analysis/ohlc_snapshot_20260707/ALGT_ohlcv.csv,9330811fbb054bba0a679381475b1ef885fe4b30abe72394722f179b514920e3,9330811fbb054bba0a679381475b1ef885fe4b30abe72394722f179b514920e3,True,1526,2020-06-08,2026-07-06
AEIS,data/_system/analysis/ohlc_snapshot_20260707/AEIS_ohlcv.csv,4e2c50f28033f7ffe9ecfb20947162e58db8062b12fa2e9bc99f0155f3d0007e,4e2c50f28033f7ffe9ecfb20947162e58db8062b12fa2e9bc99f0155f3d0007e,True,1526,2020-06-08,2026-07-06
ARKW,data/_system/analysis/ohlc_snapshot_20260707/ARKW_ohlcv.csv,8d9490d0a0550ef8ce07b38ecd973909c19dd4fd2b849e8eda0492624fe64dfb,8d9490d0a0550ef8ce07b38ecd973909c19dd4fd2b849e8eda0492624fe64dfb,True,1526,2020-06-08,2026-07-06
CBRL,data/_system/analysis/ohlc_snapshot_20260707/CBRL_ohlcv.csv,b29096f599f65f00fb3496b48f220d496a906d4d031cb90956b81b5826a367c7,b29096f599f65f00fb3496b48f220d496a906d4d031cb90956b81b5826a367c7,True,1526,2020-06-08,2026-07-06
BTU,data/_system/analysis/ohlc_snapshot_20260707/BTU_ohlcv.csv,e67923be276e106cf446afcb58a9c2abbfd7075cf4c27eefc264289b22281660,e67923be276e106cf446afcb58a9c2abbfd7075cf4c27eefc264289b22281660,True,1526,2020-06-08,2026-07-06
BB,data/_system/analysis/ohlc_snapshot_20260707/BB_ohlcv.csv,1df5da56651ef9734040ab444566bcac1d3a5f992a584ad1de3db8420d5ef284,1df5da56651ef9734040ab444566bcac1d3a5f992a584ad1de3db8420d5ef284,True,1526,2020-06-08,2026-07-06
BN,data/_system/analysis/ohlc_snapshot_20260707/BN_ohlcv.csv,a9d4eb6eb381d0c1199c28f101154eb1005d5300afc6ea6b93198a781d783b2b,a9d4eb6eb381d0c1199c28f101154eb1005d5300afc6ea6b93198a781d783b2b,True,1526,2020-06-08,2026-07-06
ACMR,data/_system/analysis/ohlc_snapshot_20260707/ACMR_ohlcv.csv,365b8be6ab77d7c1bb90c63983b5e50167391db4e689dfefdb581b4316ec23f1,365b8be6ab77d7c1bb90c63983b5e50167391db4e689dfefdb581b4316ec23f1,True,1526,2020-06-08,2026-07-06
CARR,data/_system/analysis/ohlc_snapshot_20260707/CARR_ohlcv.csv,87be852170c9b42547e53ed5367cf3b0521a8d0458934ff860e2b50af1e9749a,87be852170c9b42547e53ed5367cf3b0521a8d0458934ff860e2b50af1e9749a,True,1526,2020-06-08,2026-07-06
CRK,data/_system/analysis/ohlc_snapshot_20260707/CRK_ohlcv.csv,35481634445cf4eb5743dde2349ce85500061e49cdb66d33f54d0dcf648538f6,35481634445cf4eb5743dde2349ce85500061e49cdb66d33f54d0dcf648538f6,True,1526,2020-06-08,2026-07-06
CLDX,data/_system/analysis/ohlc_snapshot_20260707/CLDX_ohlcv.csv,38aba12302c70fc4f66dbcb1d4e0ebf2c81818a8bb1ff76ac417e33d3960e4ce,38aba12302c70fc4f66dbcb1d4e0ebf2c81818a8bb1ff76ac417e33d3960e4ce,True,1526,2020-06-08,2026-07-06
ADPT,data/_system/analysis/ohlc_snapshot_20260707/ADPT_ohlcv.csv,b3a7f86833d70a29ff8d2bd85547304772dba4467cad3dadada173ffe8db7c47,b3a7f86833d70a29ff8d2bd85547304772dba4467cad3dadada173ffe8db7c47,True,1526,2020-06-08,2026-07-06
BIDU,data/_system/analysis/ohlc_snapshot_20260707/BIDU_ohlcv.csv,2ce7c0e591a5d14403a757d6390ee8dfc70b862f44c4b63d54df17964d989c70,2ce7c0e591a5d14403a757d6390ee8dfc70b862f44c4b63d54df17964d989c70,True,1526,2020-06-08,2026-07-06
CEF,data/_system/analysis/ohlc_snapshot_20260707/CEF_ohlcv.csv,1995b0c82506bb666860585ca7aef310fa4cd509ea02ce11231e721eeb24cc22,1995b0c82506bb666860585ca7aef310fa4cd509ea02ce11231e721eeb24cc22,True,1526,2020-06-08,2026-07-06
AMD,data/_system/analysis/ohlc_snapshot_20260707/AMD_ohlcv.csv,dccbd6bbef224a0ae1f8275a10f16de4ba43d4807a73e080cbdd2b50f25845a9,dccbd6bbef224a0ae1f8275a10f16de4ba43d4807a73e080cbdd2b50f25845a9,True,1526,2020-06-08,2026-07-06
AAP,data/_system/analysis/ohlc_snapshot_20260707/AAP_ohlcv.csv,6a07b754f5ea60983e16ecc91115496495bd41c090fa837f381a62340c3f3717,6a07b754f5ea60983e16ecc91115496495bd41c090fa837f381a62340c3f3717,True,1526,2020-06-08,2026-07-06
CAPR,data/_system/analysis/ohlc_snapshot_20260707/CAPR_ohlcv.csv,964f58b7ea484ac2579f6596a6ac49a0f6d234f6008bafd8504fa4c01bbb4a35,964f58b7ea484ac2579f6596a6ac49a0f6d234f6008bafd8504fa4c01bbb4a35,True,1526,2020-06-08,2026-07-06
STLD,data/_system/analysis/ohlc_snapshot_20260707/STLD_ohlcv.csv,9b38f00dbcdb128fc39ac5db932ae344ad79e902589c30db006a7b38e43aef5b,9b38f00dbcdb128fc39ac5db932ae344ad79e902589c30db006a7b38e43aef5b,True,1526,2020-06-08,2026-07-06
BNTX,data/_system/analysis/ohlc_snapshot_20260707/BNTX_ohlcv.csv,3386ea00563616b09a601c3ce4f243b67bc89b9432aef7c717a5c2d6c2d9ab95,3386ea00563616b09a601c3ce4f243b67bc89b9432aef7c717a5c2d6c2d9ab95,True,1526,2020-06-08,2026-07-06
BWXT,data/_system/analysis/ohlc_snapshot_20260707/BWXT_ohlcv.csv,86e5a454275e67689a6f0efc76f959a7573a17df1df9cf9f42b723c31261b953,86e5a454275e67689a6f0efc76f959a7573a17df1df9cf9f42b723c31261b953,True,1526,2020-06-08,2026-07-06
BE,data/_system/analysis/ohlc_snapshot_20260707/BE_ohlcv.csv,8f784babdcdf210f53bcb8a6ab1891eecefcda6c5dcd7ea478eef2193a4a2152,8f784babdcdf210f53bcb8a6ab1891eecefcda6c5dcd7ea478eef2193a4a2152,True,1526,2020-06-08,2026-07-06
CLF,data/_system/analysis/ohlc_snapshot_20260707/CLF_ohlcv.csv,dc77ef685d45287df262379d46181ddb87413582b3b4fd0d2de49ae47f52cde7,dc77ef685d45287df262379d46181ddb87413582b3b4fd0d2de49ae47f52cde7,True,1526,2020-06-08,2026-07-06
AVGO,data/_system/analysis/ohlc_snapshot_20260707/AVGO_ohlcv.csv,4803d259691a288344eea614ce5256d3a0cd8e4d4202270de81e33815722401e,4803d259691a288344eea614ce5256d3a0cd8e4d4202270de81e33815722401e,True,1526,2020-06-08,2026-07-06
ACLS,data/_system/analysis/ohlc_snapshot_20260707/ACLS_ohlcv.csv,a10119b333d52ecb07df00b33cdccb169e2eb901bb07cad7a0b05dbb7f53d856,a10119b333d52ecb07df00b33cdccb169e2eb901bb07cad7a0b05dbb7f53d856,True,1526,2020-06-08,2026-07-06
CSIQ,data/_system/analysis/ohlc_snapshot_20260707/CSIQ_ohlcv.csv,1ba3b12044f1f4a441cf9cba41630f8bb33ff99d705256d15ebd4e037a88fd13,1ba3b12044f1f4a441cf9cba41630f8bb33ff99d705256d15ebd4e037a88fd13,True,1526,2020-06-08,2026-07-06
CCL,data/_system/analysis/ohlc_snapshot_20260707/CCL_ohlcv.csv,ea773b1633012b45a79c479406c2b497e122cb72818ff6316e71b4ff3ed1854d,ea773b1633012b45a79c479406c2b497e122cb72818ff6316e71b4ff3ed1854d,True,1526,2020-06-08,2026-07-06
