decision_threshold,gene_validation_reason,genes_json,model_hash,oos_gate,oos_passed_count,oos_precision,pass_probability,reject_reasons,rejected_narrow_individual_count,rejected_near_full_individual_count,rejected_open_individual_count,status,stress_gate,stress_passed_count,stress_precision,survivor,thin_sample_rejected,ticker,train_gate,train_passed_count,train_precision,upper_fallback_event_count,valid_bilateral_gene
0.5913182423435419,OK,"{""close_pos5"": [0.2508827599069058, 1.0], ""cumulative_ret5_pct"": [0.012166112145046232, 0.6560023858787539], ""days_since_high5"": [0.030156075763528144, 0.7140555365981964], ""fade_after_surge_score"": [0.05, 0.8373648108625179], ""pullback_from_high5_pct"": [0.12892018294689128, 0.6343581555992229], ""ret_d1_pct"": [0.05511445999699721, 0.721967532995329], ""ret_d2_pct"": [0.0027541025994823596, 0.6316799358553341], ""ret_d3_pct"": [0.10959270532005906, 0.8883619131338995], ""ret_d4_pct"": [0.1121091278144798, 0.6434997746106421], ""ret_d5_pct"": [0.03901228382321999, 0.8032605373012794], ""single_up_day5_pct"": [0.04315359847939745, 0.95], ""up_days5"": [0.1214480885805771, 0.5378434755370114]}",fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,True,8,0.75,0.8,"[""precision<0.6500""]",1,0,0,REJECTED,False,34,0.5,False,False,ADMA,True,20,0.8,43,True
0.5819973368841544,OK,"{""close_pos5"": [0.16206674935169618, 0.3260961955227345], ""cumulative_ret5_pct"": [0.012639768292602773, 0.7242708989903998], ""days_since_high5"": [0.18323572053604367, 0.6133845811515948], ""fade_after_surge_score"": [0.0461835484844919, 0.8582157182736166], ""pullback_from_high5_pct"": [0.04686386144036887, 0.9724796910383299], ""ret_d1_pct"": [0.13904810773446802, 0.8602531749241359], ""ret_d2_pct"": [0.09418826576730005, 0.9092859276592508], ""ret_d3_pct"": [0.16355179675626563, 0.5582739968553962], ""ret_d4_pct"": [0.17996651078699336, 0.592278677225949], ""ret_d5_pct"": [0.07813173603480852, 0.8821205804804055], ""single_up_day5_pct"": [0.213129506911442, 0.8404124638450574], ""up_days5"": [0.1622479046484649, 0.6162864222536362]}",d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,9,0.5555555555555556,0.8571428571428571,"[""precision<0.7071"", ""precision<0.7071""]",7,0,0,REJECTED,False,18,0.6111111111111112,False,False,CRS,True,21,0.8571428571428571,42,True
0.5527030625832223,OK,"{""close_pos5"": [0.24063752285054205, 0.9385019269368475], ""cumulative_ret5_pct"": [0.10921247904156961, 0.8508851723594738], ""days_since_high5"": [0.04630857326572415, 1.0], ""fade_after_surge_score"": [0.00662665846672017, 0.8629491432399238], ""pullback_from_high5_pct"": [0.15290970342348617, 0.43759331657473793], ""ret_d1_pct"": [0.012590734146624968, 0.823395521885258], ""ret_d2_pct"": [0.17905181510501064, 0.976998976700863], ""ret_d3_pct"": [0.23141022646791223, 0.5300473380304715], ""ret_d4_pct"": [0.25736661738166156, 0.8042258443955711], ""ret_d5_pct"": [0.017653781207404913, 0.5518105368652264], ""single_up_day5_pct"": [0.10909372068240712, 0.9896355815322418], ""up_days5"": [0.2968688540622136, 0.6706686134444138]}",c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,14,0.42857142857142855,0.9565217391304348,"[""precision<0.8065"", ""precision<0.8065""]",1,0,0,REJECTED,False,13,0.6923076923076923,False,False,ALGT,True,23,0.9565217391304348,43,True
0.4741411451398136,OK,"{""close_pos5"": [0.40451866039837886, 0.88647432482531], ""cumulative_ret5_pct"": [0.04202278215489755, 0.8096551797556382], ""days_since_high5"": [0.3093922633462392, 0.8302267532064258], ""fade_after_surge_score"": [0.01419740504180348, 0.7026884596955735], ""pullback_from_high5_pct"": [0.14345586533924326, 0.5886022063013581], ""ret_d1_pct"": [0.2570122946639968, 0.6750077115945454], ""ret_d2_pct"": [0.05710099676197872, 0.7413686594048549], ""ret_d3_pct"": [0.043726714297030095, 0.8827315195811255], ""ret_d4_pct"": [0.26068507990974166, 0.7914903309645339], ""ret_d5_pct"": [0.31592845758514077, 0.6230305012722896], ""single_up_day5_pct"": [0.1137896010132925, 0.8094416497659194], ""up_days5"": [0.0909826381612652, 0.6429793717996284]}",387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,False,9,0.4444444444444444,0.8,"[""precision<0.6500"", ""precision<0.6500""]",0,0,0,REJECTED,False,10,0.4,False,False,AEIS,True,20,0.8,39,True
0.5140878828229027,OK,"{""close_pos5"": [0.05335782820607904, 0.46900966093867485], ""cumulative_ret5_pct"": [0.20529578962705644, 0.7782408701356912], ""days_since_high5"": [0.05915980726610997, 1.0], ""fade_after_surge_score"": [0.07848555373836827, 0.33108896192187853], ""pullback_from_high5_pct"": [0.13252562581417712, 0.779231250067656], ""ret_d1_pct"": [0.01179920852789857, 0.6074056087716033], ""ret_d2_pct"": [0.12118113418853863, 0.9189343860758161], ""ret_d3_pct"": [0.07103937086381384, 0.642551651645563], ""ret_d4_pct"": [0.1721309036241299, 0.5450545305855883], ""ret_d5_pct"": [0.31971797280317577, 0.8844353606116057], ""single_up_day5_pct"": [0.030584039227680226, 0.4351837335681931], ""up_days5"": [0.4012067692859817, 0.9648706072068536]}",6812a9ec6dddaf2206cbd3daae413f6362213c640b3ca0c70603c4fd14b4fbfb,False,8,0.125,0.75,"[""precision<0.6000"", ""precision<0.6000""]",1,0,0,REJECTED,False,16,0.4375,False,False,ARKW,True,24,0.75,41,True
0.5127563249001331,OK,"{""close_pos5"": [0.12575230524851416, 0.8758253304509117], ""cumulative_ret5_pct"": [0.059699578096700415, 0.9187024476834313], ""days_since_high5"": [0.22926162968069347, 0.7816909121471562], ""fade_after_surge_score"": [0.1833704048936843, 0.7023125886868715], ""pullback_from_high5_pct"": [0.19985089329811723, 0.793169709102551], ""ret_d1_pct"": [0.2566944261411215, 0.7093315455278861], ""ret_d2_pct"": [0.30147286425652137, 0.7402397929351602], ""ret_d3_pct"": [0.31671276283404604, 0.8126061334769159], ""ret_d4_pct"": [0.19415423394762663, 0.7575127696547523], ""ret_d5_pct"": [0.36378230958843916, 0.9208966138476075], ""single_up_day5_pct"": [0.04814092750934035, 0.875177860083446], ""up_days5"": [0.012072981299938711, 0.5239065954710491]}",eced1f3b23b9db6003fdb3a4918db12cb48c942f0d4801b86d1358ae63c364ed,False,12,0.5833333333333334,0.8181818181818182,"[""precision<0.6682"", ""precision<0.6682""]",0,0,0,REJECTED,False,13,0.5384615384615384,False,False,CBRL,True,22,0.8181818181818182,46,True
0.520745672436751,OK,"{""close_pos5"": [0.453235304385108, 0.9162962018043753], ""cumulative_ret5_pct"": [0.14648848097052147, 0.7918825765430029], ""days_since_high5"": [0.1572709931003124, 0.9425328494293173], ""fade_after_surge_score"": [0.22234394819195322, 0.7201713078376266], ""pullback_from_high5_pct"": [0.05, 0.8399008563718026], ""ret_d1_pct"": [0.1377481895637226, 0.8713818859000448], ""ret_d2_pct"": [0.24766999081667262, 0.8132229246221682], ""ret_d3_pct"": [0.10088607631566995, 0.9057270627444883], ""ret_d4_pct"": [0.1654499456025296, 0.8439509769621012], ""ret_d5_pct"": [0.4406212263538136, 0.8537696446364266], ""single_up_day5_pct"": [0.18394897042776903, 0.7912131863010625], ""up_days5"": [0.20699707916777632, 0.821137960646747]}",e5ff24a44cb1dbf99648efbb79d1b08127352dc10d8fe0499f0674780670cd61,False,13,0.6153846153846154,0.6,"[""precision<0.6863"", ""precision<0.6173""]",0,0,0,REJECTED,False,15,0.6666666666666666,False,False,BTU,True,20,0.6,38,True
0.5886551264980027,OK,"{""close_pos5"": [0.16381261323003013, 0.8534552043005724], ""cumulative_ret5_pct"": [0.39320558943610917, 1.0], ""days_since_high5"": [0.273348435677031, 0.9953956975995499], ""fade_after_surge_score"": [0.08559359246704051, 0.7684534995401259], ""pullback_from_high5_pct"": [0.11893340637990603, 0.7822832809179019], ""ret_d1_pct"": [0.09976283825312479, 0.9281256595454765], ""ret_d2_pct"": [0.3070894012945067, 0.9435531271579879], ""ret_d3_pct"": [0.3067619678244941, 0.8541518334752737], ""ret_d4_pct"": [0.36368028403633457, 0.7998880362855869], ""ret_d5_pct"": [0.19594785425083824, 0.974300424799445], ""single_up_day5_pct"": [0.008190219535226986, 0.7254123097807967], ""up_days5"": [0.02966884366426212, 0.5602739909208293]}",5f84a3038dd1ad57f39a317a281e06b98c18bb6cb424fbaa844020640ec4ee1a,False,5,0.4,0.9090909090909091,"[""precision<0.7591"", ""passed_count<8"", ""precision<0.7591""]",0,0,0,REJECTED,False,11,0.36363636363636365,False,True,BB,True,22,0.9090909090909091,36,True
0.45,OK,"{""close_pos5"": [0.22117961953799603, 0.8183379866329129], ""cumulative_ret5_pct"": [0.13906687579627536, 0.6412520902631302], ""days_since_high5"": [0.512482702543747, 0.8787881368559622], ""fade_after_surge_score"": [0.0043245007797798884, 0.7077339820367189], ""pullback_from_high5_pct"": [0.12328119316771317, 0.8716590017116734], ""ret_d1_pct"": [0.07790479249805199, 0.7270329115651681], ""ret_d2_pct"": [0.07918408183265671, 0.8934645126805527], ""ret_d3_pct"": [0.23318891451032384, 0.8219808794396206], ""ret_d4_pct"": [0.03179042781434115, 0.8456010224861288], ""ret_d5_pct"": [0.2768587900224642, 0.6566324949318406], ""single_up_day5_pct"": [0.038793964814749365, 0.6619299135590955], ""up_days5"": [0.18426295037150595, 0.9094114001335891]}",ef80266edc56e1401ecac4016bd599b5112d756f823e200757d4dc67fb84f06f,False,4,0.0,0.65,"[""precision<0.5000"", ""passed_count<8"", ""precision<0.5000""]",2,0,0,REJECTED,False,12,0.3333333333333333,False,True,BN,True,20,0.65,54,True
0.6312649800266311,OK,"{""close_pos5"": [0.4930553956853026, 0.9803570167659454], ""cumulative_ret5_pct"": [0.2896775179297556, 0.8117383131355309], ""days_since_high5"": [0.027113530177624277, 0.5515204853069644], ""fade_after_surge_score"": [0.001270568976289025, 0.6309457902258068], ""pullback_from_high5_pct"": [0.053294651503561934, 0.9079516418722258], ""ret_d1_pct"": [0.26555207840272, 0.891349117735023], ""ret_d2_pct"": [0.27298356060537354, 0.6846918057910789], ""ret_d3_pct"": [0.4803276454838697, 0.805160396958749], ""ret_d4_pct"": [0.11488306649663675, 0.805160396958749], ""ret_d5_pct"": [0.23888077984768585, 0.8964196855025571], ""single_up_day5_pct"": [0.05, 0.95], ""up_days5"": [0.01169550995434931, 0.8794991512768064]}",16a2ee0f0128605106da565283be2e2c59a5d73acc41beb3c547717648e51ca7,False,4,0.75,0.8095238095238095,"[""precision<0.6595"", ""passed_count<8""]",0,0,0,REJECTED,False,12,0.3333333333333333,False,True,ACMR,True,21,0.8095238095238095,26,True
