applied,fallback_high_norm,feature,generation,individual_index,low_norm,model_hash,reason,successful_trade_max_norm,ticker
True,1.0,pullback_from_high5_pct,0,12,0.004081676141970127,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d5_pct,0,20,0.11054862163710472,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d5_pct,0,22,0.08561301319610508,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,pullback_from_high5_pct,0,26,0.11511770232614302,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d2_pct,0,33,0.07841823722969264,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,single_up_day5_pct,0,36,0.4687806789390677,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d1_pct,1,24,0.26919295421021205,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d1_pct,2,1,0.30067383293350197,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,up_days5,2,39,0.13198455006917006,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,single_up_day5_pct,4,17,0.015968572734210013,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,close_pos5,4,27,0.2131722499119904,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,fade_after_surge_score,4,29,0.015835844014644142,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,fade_after_surge_score,4,31,0.06478445672793165,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,pullback_from_high5_pct,5,15,0.0,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,single_up_day5_pct,5,23,0.0684601922530309,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,close_pos5,6,2,0.2987769624727845,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,pullback_from_high5_pct,6,30,0.007994078885001608,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,7,25,0.09855112548565823,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,9,1,0.0,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d5_pct,9,5,0.021697934234862448,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,days_since_high5,9,32,0.030156075763528144,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d5_pct,10,22,0.0,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,single_up_day5_pct,10,38,0.22530529019274342,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,11,3,0.09855112548565823,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,fade_after_surge_score,12,19,0.05,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,up_days5,13,31,0.16164327659632635,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d1_pct,13,33,0.1939587159910318,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,14,19,0.06707382271894466,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,14,26,0.09855112548565823,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,16,10,0.1121091278144798,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
True,1.0,ret_d4_pct,16,13,0.1121091278144798,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,upper_learning_failed_nonfinite,1.0,ADMA
