all_feature_and,bilateral,domain_max_train,domain_min_train,fallback_applied_any_generation,fallback_event_count,feature,feature_definition,finite_high,finite_low,high_norm,high_value,low_norm,low_value,min_width_pass,model_hash,near_full_noise_gene,ticker,width_norm
True,True,23.380951654761905,-17.182111210019524,True,2,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.7242708989903998,12.196534796859822,0.012639768292602773,-16.669403494170407,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.7116311306977969
True,True,5.0,0.0,True,1,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.6162864222536362,3.081432111268181,0.1622479046484649,0.8112395232423244,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.4540385176051713
True,True,4.0,0.0,True,4,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.6133845811515948,2.453538324606379,0.18323572053604367,0.7329428821441747,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.43014886061555113
True,True,0.998406015321558,0.0011637154833836,True,2,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.3260961955227345,0.32636063547495436,0.16206674935169618,0.16278353333416606,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.16402944617103832
True,True,24.61995984705805,0.0125849643892061,True,4,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.9724796910383299,23.94275728755136,0.04686386144036887,1.165781571301812,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.925615829597961
True,True,15.684068240794623,-2.301928791084118,True,5,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.8404124638450574,12.813727289186986,0.213129506911442,1.531417887630858,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.6272829569336154
True,True,21.600678308023003,0.0,True,7,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.8582157182736166,18.538041649317293,0.0461835484844919,0.9975959739364929,True,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,False,CRS,0.8120321697891247
True,True,21.163645858019777,-15.316315418937752,True,3,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.5518105368652264,4.81371159812285,0.017653781207404913,-14.67230616409974,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.5341567556578215
True,True,21.163645858019777,-15.316315418937752,True,3,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.8042258443955711,14.021812242541149,0.25736661738166156,-5.927591182873195,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.5468592270139095
True,True,21.163645858019777,-15.316315418937752,True,6,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.5300473380304715,4.019790947368268,0.23141022646791223,-6.874479318296341,True,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,False,ALGT,0.29863711156255934
