base_rate,coverage,decision_threshold,gate_fail_reasons,lift_pp,model_hash,pass_probability,passed_count,passed_gate,passed_positive_count,positive_count,precision,precision_floor,recall,regime,sample_floor,signal_count,survivor,ticker
0.511318242343542,0.02663115845539281,0.5913182423435419,[],28.86817576564581,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0.8,20,True,16,384,0.8,0.5913182423435419,0.041666666666666664,train,20,751,False,ADMA
0.5300970873786408,0.06601941747572816,0.5913182423435419,"[""precision<0.6500""]",-3.0097087378640808,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0.8,34,False,17,273,0.5,0.65,0.06227106227106227,stress,8,515,False,ADMA
0.45634920634920634,0.031746031746031744,0.5913182423435419,[],29.365079365079367,fa692ef7132a1fe6646a893c35bd3045e2532e57e184a47472b9654479c8c494,0.8,8,True,6,115,0.75,0.65,0.05217391304347826,oos,8,252,False,ADMA
0.5019973368841545,0.02796271637816245,0.5819973368841544,[],35.51455202587026,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0.8571428571428571,21,True,18,377,0.8571428571428571,0.5819973368841544,0.04774535809018567,train,20,751,False,CRS
0.5203883495145631,0.03495145631067961,0.5819973368841544,"[""precision<0.7071""]",9.072276159654802,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0.8571428571428571,18,False,11,268,0.6111111111111112,0.7071428571428571,0.041044776119402986,stress,8,515,False,CRS
0.49603174603174605,0.03571428571428571,0.5819973368841544,"[""precision<0.7071""]",5.952380952380953,d2b97861f5892efedc927a46533bec112723216c4a86fdf5d900b486c2d56dc1,0.8571428571428571,9,False,5,125,0.5555555555555556,0.7071428571428571,0.04,oos,8,252,False,CRS
0.47270306258322237,0.03062583222370173,0.5527030625832223,[],48.38186765472125,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0.9565217391304348,23,True,22,355,0.9565217391304348,0.5527030625832223,0.061971830985915494,train,20,751,False,ALGT
0.42718446601941745,0.02524271844660194,0.5527030625832223,"[""precision<0.8065""]",26.512322628827484,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0.9565217391304348,13,False,9,220,0.6923076923076923,0.8065217391304348,0.04090909090909091,stress,8,515,False,ALGT
0.5833333333333334,0.05555555555555555,0.5527030625832223,"[""precision<0.8065""]",-15.476190476190482,c65930c51eddc31c9f6ffc5788c8f00b65267125f8a17c1026186eb2ea6b573f,0.9565217391304348,14,False,6,147,0.42857142857142855,0.8065217391304348,0.04081632653061224,oos,8,252,False,ALGT
0.3941411451398136,0.02663115845539281,0.4741411451398136,[],40.58588548601865,387b98176ce8773da18105831aa5979ed0295a0caa2bf3d6e2ce40b0f2d0ac56,0.8,20,True,16,296,0.8,0.4741411451398136,0.05405405405405406,train,20,751,False,AEIS
