all_min_width_pass,bilateral_gene_pass,model_hash,near_full_gene_count,oos_precision,stress_precision,strict_all_feature_and,survivor,thin_sample_rejected,ticker,train_precision,train_to_oos_precision_gap,train_to_stress_precision_gap,weighted_sum_path_present,symbol_hhi_oos_passed_count,completed_symbols,worker_error_count,configured_workers,observed_unique_worker_pids,upper_fallback_applied_count,rolling_max_holding_sessions,rolling_oos_avg_return_pct_survivors,fixed_oos_avg_return_pct_survivors
True,True,24b1ca3dda30a1890c10292a3589e83e0422404a2e13b5ee08d1ee3a351973b4,0,0.0,0.4666666666666667,True,False,True,CCL,0.85,0.85,0.3833333333333333,False,,,,,,,,,
True,True,73eb8696f4a1cee5970ad99624c64db8eebdb8ff43c4e0d60c634d6fe0e67e46,0,0.25,0.5,True,False,False,ANET,0.8571428571428571,0.6071428571428571,0.3571428571428571,False,,,,,,,,,
True,True,fafb40d56aaed7f7a584b9b5345bac8f60fd9beca3504877ca5ab1577f843cf6,0,0.36363636363636365,0.4,True,False,False,CE,0.7391304347826086,0.375494071146245,0.3391304347826086,False,,,,,,,,,
True,True,720630467543f5c87805ad5383c7ec646dfa1b028f5606e60bd03d4e06cd26f4,0,0.6666666666666666,0.625,True,False,True,AEVA,0.95,0.2833333333333333,0.32499999999999996,False,,,,,,,,,
True,True,267858e7bb976d3f0bef5bedef8c72cb1e416a11b642300a09c1310002a7937e,0,0.4444444444444444,0.2857142857142857,True,False,False,CMC,0.7727272727272727,0.3282828282828283,0.487012987012987,False,,,,,,,,,
True,True,6bdde3a85cf6efef5b45e598e1ad37d33977b86488e153a7dada3d55825478ac,0,0.25,0.625,True,False,True,AA,0.8636363636363636,0.6136363636363636,0.23863636363636365,False,,,,,,,,,
True,True,a18595c1e1c03d31c6d1f7ba276158fe2abd0e45db0a2beb095a91988026721b,0,0.4,0.2857142857142857,True,False,True,CAMT,0.85,0.44999999999999996,0.5642857142857143,False,,,,,,,,,
True,True,82af528ca867b3cf64ba99b78164279401a728003156ae6173761a66eaba0a04,0,0.7,0.0,True,False,True,CIEN,0.8181818181818182,0.11818181818181828,0.8181818181818182,False,,,,,,,,,
True,True,601d33729d705a014d9650a8bc76972d61d775cfaa69bbcfb672873bd35f7a50,0,0.375,0.6153846153846154,True,False,False,COHR,0.84,0.46499999999999997,0.22461538461538455,False,,,,,,,,,
True,True,3e7156d1afcaa58d5d4ba8294e2bb91e2517f1e8763a2a26f67ef48bdd54c39f,0,0.5454545454545454,0.26666666666666666,True,False,False,MPC,0.75,0.20454545454545459,0.48333333333333334,False,,,,,,,,,
True,True,a70c960fa2937ed5108c59ea56336f7eab1a14908b9b3aa822c54f08580b3441,0,1.0,0.5714285714285714,True,False,True,ABEV,0.7,-0.30000000000000004,0.12857142857142856,False,,,,,,,,,
True,True,a03c3e2d789147ead846d1ce64329939f8f5b42355fa11dde59554cccaabaa10,0,1.0,0.6153846153846154,True,False,True,CAN,0.9047619047619048,-0.09523809523809523,0.28937728937728935,False,,,,,,,,,
True,True,4fc447a2184e60286080f2db0b4f8f632f9a39eaa271d12e7471191c1b2194cd,0,0.14285714285714285,0.15789473684210525,True,False,True,BMI,0.46153846153846156,0.3186813186813187,0.3036437246963563,False,,,,,,,,,
True,True,3261070adc02a9a9ecc3a3924fa0bca187816b126ff9a37703468ad343d47da5,0,0.8333333333333334,0.42857142857142855,True,False,False,AAOI,1.0,0.16666666666666663,0.5714285714285714,False,,,,,,,,,
True,True,a093f4a95b0cf72cbd7526e323ce5f4ff465df7528de79ab4bdd3a6966bae7ff,0,0.5,0.3125,True,False,False,C,0.6521739130434783,0.15217391304347827,0.33967391304347827,False,,,,,,,,,
True,True,e0e9367119794789c075b6951c86b7db14c51d6f7a638ab6d70b7eb41bc6d2a7,0,0.6666666666666666,0.2777777777777778,True,False,True,BCS,0.55,-0.11666666666666659,0.27222222222222225,False,,,,,,,,,
True,True,c6f43110e595385c2036c556421eba30cfd9ef384557872bbe832c8a063bd293,0,1.0,0.3333333333333333,True,False,True,CRMD,0.875,-0.125,0.5416666666666667,False,,,,,,,,,
True,True,b66c4b50a12a7411727831332b76b3e9d009fad80345128a466a55a0604aa194,0,0.4375,0.48717948717948717,True,False,False,APA,0.8571428571428571,0.4196428571428571,0.3699633699633699,False,,,,,,,,,
True,True,c1b5c9e42e304ed159dba7a3bc30b520c429cee3777c05976c94fc1425968e49,0,0.4,0.5384615384615384,True,False,True,POWI,0.8636363636363636,0.4636363636363636,0.3251748251748252,False,,,,,,,,,
True,True,8fd81022736125d623d78e74829ac15a3b5bad2533b88341f7dbcdcb46fc05c2,0,0.375,0.5555555555555556,True,False,False,ARKG,0.8695652173913043,0.4945652173913043,0.31400966183574874,False,,,,,,,,,
True,True,cc21f8bdee0ffa97f6dc42252f2434fc9163496942f4a3c11065e7872bc9457b,0,0.0,0.7272727272727273,True,False,True,CDE,1.0,1.0,0.2727272727272727,False,,,,,,,,,
True,True,234ee8ce1f43d0c8a635275b71d4dd2f33c2b9101aaefc5da8f49d12938d79be,0,0.5625,0.4,True,False,False,BELFB,0.8260869565217391,0.26358695652173914,0.4260869565217391,False,,,,,,,,,
True,True,bf212b55a65b780f653780e66ed2f318cd305aab6de8bbc5009c3d32be117bbb,0,0.3,0.2857142857142857,True,False,False,CAT,0.4583333333333333,0.15833333333333333,0.17261904761904762,False,,,,,,,,,
True,True,GLOBAL,0,0.47857514123303596,0.44751495894174115,True,False,23,ALL_50,0.7723925757012714,0.29381743446823533,0.3248776167595301,False,,50,0,6,6,2063,3,,
