active_days,decision_threshold,evaluated_days,holding_over_20_sessions_count,holding_over_60_sessions_count,infinite_holding_risk_flag,max_holding_sessions,model_hash,near_threshold_crossing_count,one_session_whipsaw_count,period_end_open_position_count,regime,rolling_trade_count,survivor,threshold_crossing_count,ticker,two_or_less_session_cycle_count,whipsaw_rate
8,0.5979760319573901,252,0,0,False,1,601d33729d705a014d9650a8bc76972d61d775cfaa69bbcfb672873bd35f7a50,0,7,1,oos,7,False,13,COHR,7,1.0
20,0.45,751,0,0,False,2,3e7156d1afcaa58d5d4ba8294e2bb91e2517f1e8763a2a26f67ef48bdd54c39f,0,18,0,train,19,False,38,MPC,19,0.9473684210526315
15,0.45,515,0,0,False,2,3e7156d1afcaa58d5d4ba8294e2bb91e2517f1e8763a2a26f67ef48bdd54c39f,0,11,0,stress,13,False,26,MPC,13,0.8461538461538461
11,0.45,252,0,0,False,2,3e7156d1afcaa58d5d4ba8294e2bb91e2517f1e8763a2a26f67ef48bdd54c39f,0,9,0,oos,10,False,20,MPC,10,0.9
20,0.45,751,0,0,False,1,a70c960fa2937ed5108c59ea56336f7eab1a14908b9b3aa822c54f08580b3441,0,20,0,train,20,False,40,ABEV,20,1.0
14,0.45,515,0,0,False,1,a70c960fa2937ed5108c59ea56336f7eab1a14908b9b3aa822c54f08580b3441,0,14,0,stress,14,False,28,ABEV,14,1.0
1,0.45,252,0,0,False,1,a70c960fa2937ed5108c59ea56336f7eab1a14908b9b3aa822c54f08580b3441,0,1,0,oos,1,False,2,ABEV,1,1.0
21,0.6698801597869507,751,0,0,False,2,a03c3e2d789147ead846d1ce64329939f8f5b42355fa11dde59554cccaabaa10,0,11,0,train,16,False,32,CAN,16,0.6875
13,0.6698801597869507,515,0,0,False,2,a03c3e2d789147ead846d1ce64329939f8f5b42355fa11dde59554cccaabaa10,0,9,0,stress,11,False,22,CAN,11,0.8181818181818182
1,0.6698801597869507,252,0,0,False,1,a03c3e2d789147ead846d1ce64329939f8f5b42355fa11dde59554cccaabaa10,0,1,0,oos,1,False,2,CAN,1,1.0
26,0.45,751,0,0,False,2,4fc447a2184e60286080f2db0b4f8f632f9a39eaa271d12e7471191c1b2194cd,50,24,0,train,25,False,50,BMI,25,0.96
19,0.45,515,0,0,False,2,4fc447a2184e60286080f2db0b4f8f632f9a39eaa271d12e7471191c1b2194cd,36,17,0,stress,18,False,36,BMI,18,0.9444444444444444
7,0.45,252,0,0,False,1,4fc447a2184e60286080f2db0b4f8f632f9a39eaa271d12e7471191c1b2194cd,14,7,0,oos,7,False,14,BMI,7,1.0
26,0.7457789613848202,751,0,0,False,2,3261070adc02a9a9ecc3a3924fa0bca187816b126ff9a37703468ad343d47da5,0,24,0,train,25,False,50,AAOI,25,0.96
14,0.7457789613848202,515,0,0,False,1,3261070adc02a9a9ecc3a3924fa0bca187816b126ff9a37703468ad343d47da5,0,14,0,stress,14,False,28,AAOI,14,1.0
12,0.7457789613848202,252,0,0,False,2,3261070adc02a9a9ecc3a3924fa0bca187816b126ff9a37703468ad343d47da5,0,10,0,oos,11,False,22,AAOI,11,0.9090909090909091
23,0.45,751,0,0,False,1,a093f4a95b0cf72cbd7526e323ce5f4ff465df7528de79ab4bdd3a6966bae7ff,0,23,0,train,23,False,46,C,23,1.0
16,0.45,515,0,0,False,1,a093f4a95b0cf72cbd7526e323ce5f4ff465df7528de79ab4bdd3a6966bae7ff,0,16,0,stress,16,False,32,C,16,1.0
10,0.45,252,0,0,False,1,a093f4a95b0cf72cbd7526e323ce5f4ff465df7528de79ab4bdd3a6966bae7ff,0,10,0,oos,10,False,20,C,10,1.0
20,0.45,751,0,0,False,2,e0e9367119794789c075b6951c86b7db14c51d6f7a638ab6d70b7eb41bc6d2a7,0,10,0,train,15,False,29,BCS,15,0.6666666666666666
18,0.45,515,0,0,False,3,e0e9367119794789c075b6951c86b7db14c51d6f7a638ab6d70b7eb41bc6d2a7,0,7,0,stress,12,False,24,BCS,11,0.5833333333333334
3,0.45,252,0,0,False,1,e0e9367119794789c075b6951c86b7db14c51d6f7a638ab6d70b7eb41bc6d2a7,0,3,0,oos,3,False,6,BCS,3,1.0
24,0.6325965379494007,751,0,0,False,3,c6f43110e595385c2036c556421eba30cfd9ef384557872bbe832c8a063bd293,0,17,0,train,20,False,40,CRMD,19,0.85
24,0.6325965379494007,515,0,0,False,3,c6f43110e595385c2036c556421eba30cfd9ef384557872bbe832c8a063bd293,0,12,0,stress,17,False,34,CRMD,15,0.7058823529411765
3,0.6325965379494007,252,0,0,False,1,c6f43110e595385c2036c556421eba30cfd9ef384557872bbe832c8a063bd293,0,3,0,oos,3,False,6,CRMD,3,1.0
21,0.5060985352862849,751,0,0,False,3,b66c4b50a12a7411727831332b76b3e9d009fad80345128a466a55a0604aa194,0,10,0,train,15,False,30,APA,14,0.6666666666666666
39,0.5060985352862849,515,0,0,False,3,b66c4b50a12a7411727831332b76b3e9d009fad80345128a466a55a0604aa194,0,23,0,stress,30,False,60,APA,28,0.7666666666666667
16,0.5060985352862849,252,0,0,False,2,b66c4b50a12a7411727831332b76b3e9d009fad80345128a466a55a0604aa194,0,6,0,oos,11,False,22,APA,11,0.5454545454545454
22,0.4608255659121172,751,0,0,False,2,c1b5c9e42e304ed159dba7a3bc30b520c429cee3777c05976c94fc1425968e49,0,18,0,train,20,False,40,POWI,20,0.9
13,0.4608255659121172,515,0,0,False,1,c1b5c9e42e304ed159dba7a3bc30b520c429cee3777c05976c94fc1425968e49,0,13,0,stress,13,False,26,POWI,13,1.0
5,0.4608255659121172,252,0,0,False,1,c1b5c9e42e304ed159dba7a3bc30b520c429cee3777c05976c94fc1425968e49,0,5,0,oos,5,False,10,POWI,5,1.0
23,0.5127563249001331,751,0,0,False,2,8fd81022736125d623d78e74829ac15a3b5bad2533b88341f7dbcdcb46fc05c2,0,21,0,train,22,False,43,ARKG,22,0.9545454545454546
9,0.5127563249001331,515,0,0,False,1,8fd81022736125d623d78e74829ac15a3b5bad2533b88341f7dbcdcb46fc05c2,0,9,0,stress,9,False,18,ARKG,9,1.0
8,0.5127563249001331,252,0,0,False,1,8fd81022736125d623d78e74829ac15a3b5bad2533b88341f7dbcdcb46fc05c2,0,8,0,oos,8,False,16,ARKG,8,1.0
22,0.6365912117177097,751,0,0,False,1,cc21f8bdee0ffa97f6dc42252f2434fc9163496942f4a3c11065e7872bc9457b,0,22,0,train,22,False,44,CDE,22,1.0
11,0.6365912117177097,515,0,0,False,1,cc21f8bdee0ffa97f6dc42252f2434fc9163496942f4a3c11065e7872bc9457b,0,11,0,stress,11,False,22,CDE,11,1.0
1,0.6365912117177097,252,0,0,False,1,cc21f8bdee0ffa97f6dc42252f2434fc9163496942f4a3c11065e7872bc9457b,0,1,0,oos,1,False,2,CDE,1,1.0
23,0.5566977363515313,751,0,0,False,2,234ee8ce1f43d0c8a635275b71d4dd2f33c2b9101aaefc5da8f49d12938d79be,0,13,0,train,18,False,36,BELFB,18,0.7222222222222222
30,0.5566977363515313,515,0,0,False,2,234ee8ce1f43d0c8a635275b71d4dd2f33c2b9101aaefc5da8f49d12938d79be,0,20,0,stress,25,False,50,BELFB,25,0.8
16,0.5566977363515313,252,0,0,False,2,234ee8ce1f43d0c8a635275b71d4dd2f33c2b9101aaefc5da8f49d12938d79be,0,10,0,oos,13,False,26,BELFB,13,0.7692307692307693
24,0.45,751,0,0,False,2,bf212b55a65b780f653780e66ed2f318cd305aab6de8bbc5009c3d32be117bbb,44,20,0,train,22,False,44,CAT,22,0.9090909090909091
21,0.45,515,0,0,False,3,bf212b55a65b780f653780e66ed2f318cd305aab6de8bbc5009c3d32be117bbb,26,6,0,stress,13,False,26,CAT,12,0.46153846153846156
10,0.45,252,0,0,False,2,bf212b55a65b780f653780e66ed2f318cd305aab6de8bbc5009c3d32be117bbb,16,6,0,oos,8,False,16,CAT,8,0.75
