feature,folds,min_of_min,max_of_max,median_q01,median_q05,median_q25,median_q50,median_q75,median_q95,median_q99,min_valid_count,max_nan_rate,median_unique_ratio,median_iqr,median_p90_width,median_p98_width
ma_relation_pct,6,-23.7772777296,18.7443300975,-13.0717187908,-9.71866348784,-4.80974476877,-1.61883738386,2.87969921566,5.55268202716,6.39664088535,250,0,1,6.26812901686,16.2454071959,21.6165679865
macd_hist_close_pct,6,-9.23046933259,4.39594547925,-2.41190902478,-1.36743125409,-0.52675067135,0.0268781478725,0.774489844023,1.4439059694,2.32758336053,250,0,1,1.30674834055,3.16343178192,5.01090363569
rsi,6,11.3179326061,82.6133502342,24.8198385312,31.3191146234,39.0726049439,46.4571740471,54.8787374482,66.5811556371,70.7007515929,250,0,1,16.7252800717,37.6934764205,48.4666826334
bb_position,6,-0.473362314521,1.51175752548,-0.165935475598,-0.0186308521063,0.199705182634,0.456103066114,0.716630051685,0.994147108464,1.11291368355,250,0,1,0.528001884297,0.994453725699,1.29502710704
volume_ratio,6,0.19005007799,3.94477891329,0.475594558033,0.568016360787,0.791504934966,0.950597177021,1.16187035894,1.60705970671,2.16184750647,250,0,1,0.366704810861,1.03980195714,1.71363326495
Aligned_bull,6,0,1,0,0,0,0,0,1,1,250,0,0.008,0,1,1
MACD_golden,6,0,1,0,0,0,0,0,0,1,250,0,0.008,0,0,1
