ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,entry_open_d0,entry_close_d0,future_high_d1,future_high_d2,forward_max_return_pct,label_2d3pct,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score
AAP,2020-06-16,stress,True,True,D-1,143.039993286,142.660003662,150.029998779,148.839996338,4.886749036001348,1,-1.462247557734464,-2.6558502549658303,-5.16455317553417,1.9529713435261886,1.5619321025018174,-5.807994291411022,2.0,4.0,0.4889468065977066,5.701850026811095,1.9529713435261886,0.0
AAP,2020-06-17,stress,True,True,D-1,144.11000061,148.63999939,148.839996338,150.570007324,4.482691476410783,1,-2.6558502549658303,-5.16455317553417,1.9529713435261886,1.5619321025018174,3.4892980377317917,-1.0748235072715828,3.0,4.0,0.8813436018427172,1.163608313044051,3.4892980377317917,1.9529713435261886
AAP,2020-06-18,stress,True,True,D-1,147.399993896,147.710006714,150.570007324,152.270004272,3.303942047267716,1,-5.16455317553417,1.9529713435261886,1.5619321025018174,3.4892980377317917,4.191781560701635,5.884024946347832,4.0,0.0,0.9294416444495383,0.9351449103231824,4.191781560701635,1.9529713435261886
AAP,2020-06-19,stress,True,True,D-1,150.470001221,144.899993896,152.270004272,153.470001221,1.9937528913778646,0,1.9529713435261886,1.5619321025018174,3.4892980377317917,4.191781560701635,-0.6256678416419414,10.951702318206546,4.0,1.0,0.8822338870851684,1.570639739724644,4.191781560701635,3.4892980377317917
AAP,2020-06-22,stress,True,True,D-1,145.11000061,151.600006104,153.470001221,148.809997559,5.7611471131259195,1,1.5619321025018174,3.4892980377317917,4.191781560701635,-0.6256678416419414,-1.9023848691854806,6.756058687555311,3.0,0.0,0.7198610726681397,3.913052910181314,4.191781560701635,6.707931661178302
AAP,2020-06-23,stress,True,True,D-1,152.509994507,149.970001221,148.809997559,143.490005493,-2.426068507811896,0,3.4892980377317917,4.191781560701635,-0.6256678416419414,-1.9023848691854806,4.6238871568268,9.974609641748145,3.0,0.0,0.952245315302318,0.44195128035837694,4.6238871568268,4.191781560701635
AAP,2020-06-24,stress,True,True,D-1,148.559997559,143.0,143.490005493,143.869995117,-3.156975309007659,0,4.191781560701635,-0.6256678416419414,-1.9023848691854806,4.6238871568268,-1.0752010668665712,5.124069375688034,2.0,0.0,0.6738116129098978,2.3338000743510667,4.6238871568268,4.191781560701635
AAP,2020-06-25,stress,True,True,D-1,141.850006104,142.910003662,143.869995117,143.660003662,1.4240316715383283,0,-0.6256678416419414,-1.9023848691854806,4.6238871568268,-1.0752010668665712,-4.647596962227663,-3.794402188607282,1.0,1.0,0.02240946242230454,7.321679175524465,4.6238871568268,10.296714173799515
AAP,2020-06-26,stress,True,True,D-1,142.970001221,139.990005493,143.660003662,143.36000061,0.4826204344318574,0,-1.9023848691854806,4.6238871568268,-1.0752010668665712,-4.647596962227663,-0.06293450209789997,-3.2496126422185356,1.0,2.0,0.21194012175153604,7.3892640741761495,4.6238871568268,9.331493679144664
AAP,2020-06-29,stress,True,True,D-1,141.490005493,142.75,143.36000061,143.669998169,1.5407396928172723,0,4.6238871568268,-1.0752010668665712,-4.647596962227663,-0.06293450209789997,-2.043242666137046,-3.3885359626198985,1.0,3.0,0.028819093247578413,9.62925580331806,4.6238871568268,6.728778420463155
