ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,entry_open_d0,entry_close_d0,future_high_d1,future_high_d2,forward_max_return_pct,label_2d3pct,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score
ACLS,2020-06-16,stress,True,True,D-1,27.3199996948,27.6399993896,28.6499996185,28.3400001526,4.86822817920145,1,1.5294977796888265,0.2869437808753039,-9.8712389555479,2.0634862490383377,2.6827393173394,-3.82374097635233,4.0,3.0,0.45856338745127273,7.42143507430939,2.6827393173394,1.5294977796888265
ACLS,2020-06-17,stress,True,True,D-1,27.8999996185,27.8600006104,28.3400001526,28.8400001526,3.3691775876466323,1,0.2869437808753039,-9.8712389555479,2.0634862490383377,2.6827393173394,4.657325063639051,-0.8608313429845693,4.0,4.0,0.7983421877434355,2.6411051581812783,4.657325063639051,2.0634862490383377
ACLS,2020-06-18,stress,True,True,D-1,27.7199993134,28.1100006104,28.8400001526,28.4400005341,4.040407167898397,1,-9.8712389555479,2.0634862490383377,2.6827393173394,4.657325063639051,0.7959523359569287,-0.35764834540154,4.0,0.0,0.7974361319543292,2.835602982022545,4.657325063639051,2.6827393173394
ACLS,2020-06-19,stress,True,True,D-1,28.3700008392,28.1900005341,28.4400005341,28.3799991608,0.24673843084022096,0,2.0634862490383377,2.6827393173394,4.657325063639051,0.7959523359569287,0.8973438425075919,11.547618092869927,5.0,1.0,0.8615387023274396,1.9210209760728958,4.657325063639051,4.657325063639051
ACLS,2020-06-22,stress,True,True,D-1,27.7000007629,28.0,28.3799991608,27.6000003815,2.4548677948440956,0,2.6827393173394,4.657325063639051,0.7959523359569287,0.8973438425075919,0.2845959514863994,9.603426464374532,5.0,0.0,0.8410758938268511,2.3057807952636455,4.657325063639051,4.657325063639051
ACLS,2020-06-23,stress,True,True,D-1,28.3700008392,27.7700004578,27.6000003815,27.7199993134,-2.291157936456123,0,4.657325063639051,0.7959523359569287,0.8973438425075919,0.2845959514863994,-0.6739997534592757,6.020447413052632,4.0,1.0,0.5980860807330455,3.0000005450000033,4.657325063639051,5.048647041623289
ACLS,2020-06-24,stress,True,True,D-1,27.6000003815,26.6200008392,27.7199993134,27.8999996185,1.0869537422220077,0,0.7959523359569287,0.8973438425075919,0.2845959514863994,-0.6739997534592757,-0.821426936428582,0.470336726016396,3.0,2.0,0.3988768078602785,3.8530776995340688,0.8973438425075919,2.3872341168690636
ACLS,2020-06-25,stress,True,True,D-1,26.6100006104,27.7099990845,27.8999996185,27.4599990845,4.847797739605575,1,0.8973438425075919,0.2845959514863994,-0.6739997534592757,-0.821426936428582,-4.141158082973629,-4.450824637588536,2.0,3.0,0.11553820281008136,8.339591447836758,0.8973438425075919,5.825912273936162
ACLS,2020-06-26,stress,True,True,D-1,27.6200008392,27.1599998474,27.4599990845,28.1700000763,1.991307821828192,0,0.2845959514863994,-0.6739997534592757,-0.821426936428582,-4.141158082973629,4.094658944168383,-1.422986542917426,2.0,4.0,0.5814812041592015,4.077954187779387,4.094658944168383,0.5006613901282764
ACLS,2020-06-29,stress,True,True,D-1,27.4599990845,26.8899993896,28.1700000763,27.8700008392,2.5855827220357064,0,-0.6739997534592757,-0.821426936428582,-4.141158082973629,4.094658944168383,-1.9848403293800554,-3.6537803021821857,1.0,4.0,0.44347823923441587,4.712815515065372,4.094658944168383,0.0
