ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,entry_open_d0,entry_close_d0,future_high_d1,future_high_d2,forward_max_return_pct,label_2d3pct,ret_d5_pct,ret_d4_pct,ret_d3_pct,ret_d2_pct,ret_d1_pct,cumulative_ret5_pct,up_days5,days_since_high5,close_pos5,pullback_from_high5_pct,single_up_day5_pct,fade_after_surge_score
POWI,2020-06-16,stress,True,True,D-1,59.8800010681,58.7900009155,60.375,60.4550018311,0.9602550981020697,0,0.09316558878997849,-0.8123194126931743,-5.05886388281982,0.2965242414278091,4.237587897518735,-1.456763974799724,3.0,4.0,0.7091932806991961,2.6643734547941555,4.237587897518735,0.09316558878997849
POWI,2020-06-17,stress,True,True,D-1,59.4399986267,60.0099983215,60.4550018311,60.2649993896,1.7076097372991317,0,-0.8123194126931743,-5.05886388281982,0.2965242414278091,4.237587897518735,1.0571580343189613,-0.5076988260708237,3.0,0.0,0.7532135642403329,2.4493937817244404,4.237587897518735,0.2965242414278091
POWI,2020-06-18,stress,True,True,D-1,60.0149993896,59.1599998474,60.2649993896,60.0699996948,0.41656253027193557,0,-5.05886388281982,0.2965242414278091,4.237587897518735,1.0571580343189613,2.0751784095964343,2.3886669450939646,4.0,0.0,0.9389629253440178,0.6082347753861406,4.237587897518735,4.237587897518735
POWI,2020-06-19,stress,True,True,D-1,59.7050018311,59.2400016785,60.0699996948,61.1650009155,2.4453547267785147,0,0.2965242414278091,4.237587897518735,1.0571580343189613,2.0751784095964343,-1.4164280917759453,6.316828754931358,4.0,0.0,0.7863033514471303,2.188982398648376,4.237587897518735,4.237587897518735
POWI,2020-06-22,stress,True,True,D-1,58.9599990845,59.7700004578,61.1650009155,60.2900009155,3.739826772791921,1,4.237587897518735,1.0571580343189613,2.0751784095964343,-1.4164280917759453,0.1352295999093256,6.145852393476092,4.0,1.0,0.7935429547075933,2.050979267681141,4.237587897518735,5.520701819426865
POWI,2020-06-23,stress,True,True,D-1,60.0999984741,59.9150009155,60.2900009155,60.7900009155,1.1480906138414682,0,1.0571580343189613,2.0751784095964343,-1.4164280917759453,0.1352295999093256,0.8946636804238128,2.7417296804755464,4.0,2.0,0.7439250124073457,1.1460621851318686,2.0751784095964343,2.0751784095964343
POWI,2020-06-24,stress,True,True,D-1,59.625,59.4249992371,60.7900009155,60.4799995422,1.953879942138359,0,2.0751784095964343,-1.4164280917759453,0.1352295999093256,0.8946636804238128,0.24259738428875632,1.913590716926472,4.0,0.0,0.5559506515460324,2.0862888774097144,2.0751784095964343,2.0751784095964343
POWI,2020-06-25,stress,True,True,D-1,59.0999984741,60.7200012207,60.4799995422,58.9700012207,2.3350272482744128,0,-1.4164280917759453,0.1352295999093256,0.8946636804238128,0.24259738428875632,-0.8178280412464045,-0.9748360285996016,3.0,1.0,0.3818827107181364,2.928063442554807,0.8946636804238128,1.4718783668175028
POWI,2020-06-26,stress,True,True,D-1,60.2200012207,58.2449989319,58.9700012207,59.5999984741,-1.0295628263569,0,0.1352295999093256,0.8946636804238128,0.24259738428875632,-0.8178280412464045,2.179220867017695,2.636919163833573,4.0,2.0,0.8419185403694752,0.7328716828949977,2.179220867017695,0.8946636804238128
POWI,2020-06-29,stress,True,True,D-1,58.3800010681,57.9099998474,59.5999984741,59.1650009155,2.0897522844798733,0,0.8946636804238128,0.24259738428875632,-0.8178280412464045,2.179220867017695,-4.076090644010478,-1.6796129615254896,3.0,3.0,0.16927382911087988,5.013309360712781,2.179220867017695,2.880360475289412
