ticker,model_hash,origin_train_label,train_start,train_end,seed,generation,best_fitness,mean_fitness,best_passed_count,best_precision,best_recall,best_coverage,best_lift,best_pass_probability,decision_threshold,best_group_thresholds,fitness_stress_passed_count,fitness_stress_precision,fitness_precision_gap,fitness_adjusted_precision,fitness_consistency_penalty_points,fitness_consistency_lambda,generations_run,population,configured_generations,patience,feature_count,group_count,unweighted_group_count,group_between_and,g3_member_percentile_floor,parallel_worker_pid,parallel_worker_count_limit,stress_role,gene_domain_source,fallback_source,lambda_source
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,1,-28.488063661425223,-97999.23911900743,76,0.2236842105263158,0.2537313432835821,0.30278884462151395,-0.043248060390018855,0.2236842105263158,0.45,"[2, 2, 2, 2]",99,0.36363636363636365,0.0,0.2236842105263158,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,2,-19.32520494335523,-90769.41424298802,48,0.25,0.1791044776119403,0.19123505976095617,-0.016932270916334646,0.25,0.45,"[2, 3, 2, 2]",49,0.40816326530612246,0.0,0.25,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,3,-9.484196411561555,-78953.02831306407,91,0.26373626373626374,0.3582089552238806,0.36254980079681276,-0.0031960071800709033,0.26373626373626374,0.45,"[2, 2, 2, 2]",133,0.3308270676691729,0.0,0.26373626373626374,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,4,-9.484196411561555,-56263.86183234622,91,0.26373626373626374,0.3582089552238806,0.36254980079681276,-0.0031960071800709033,0.26373626373626374,0.45,"[2, 2, 2, 2]",133,0.3308270676691729,0.0,0.26373626373626374,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,5,8.541071314642494,-46012.02013943914,113,0.3008849557522124,0.5074626865671642,0.450199203187251,0.03395268483587777,0.3008849557522124,0.45,"[2, 2, 2, 2]",144,0.3541666666666667,0.0,0.3008849557522124,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,6,8.541071314642494,-51354.12673221661,113,0.3008849557522124,0.5074626865671642,0.450199203187251,0.03395268483587777,0.3008849557522124,0.45,"[2, 2, 2, 2]",144,0.3541666666666667,0.0,0.3008849557522124,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,7,21.922135877809353,-30961.430715993545,80,0.3375,0.40298507462686567,0.3187250996015936,0.07056772908366538,0.3375,0.45,"[2, 3, 2, 2]",114,0.37719298245614036,0.0,0.3375,0.0,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,8,59.814300653887535,-23686.73658169749,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.435132957292506,1.3295729250604356,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,9,59.814300653887535,-34877.059803285345,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.435132957292506,1.3295729250604356,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,10,59.814300653887535,-37251.91829567142,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.435132957292506,1.3295729250604356,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,11,59.814300653887535,-22213.828475404705,34,0.4411764705882353,0.22388059701492538,0.13545816733067728,0.17424419967190063,0.4411764705882353,0.45,"[3, 3, 2, 2]",73,0.410958904109589,0.030217566478646263,0.435132957292506,1.3295729250604356,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,12,130.15793030896987,-28247.489934462537,25,0.48,0.1791044776119403,0.099601593625498,0.21306772908366534,0.48,0.45,"[3, 3, 2, 2]",41,0.4146341463414634,0.06536585365853659,0.46692682926829265,2.8760975609756096,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,13,133.5479877589668,-28237.67591591143,31,0.4838709677419355,0.22388059701492538,0.12350597609561753,0.21693869682560085,0.4838709677419355,0.45,"[3, 3, 2, 2]",68,0.4411764705882353,0.04269449715370022,0.47533206831119545,1.8785578747628096,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,14,133.5479877589668,-35392.252235916996,31,0.4838709677419355,0.22388059701492538,0.12350597609561753,0.21693869682560085,0.4838709677419355,0.45,"[3, 3, 2, 2]",68,0.4411764705882353,0.04269449715370022,0.47533206831119545,1.8785578747628096,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,15,137.5680194508662,-28817.920098717477,36,0.5,0.26865671641791045,0.14342629482071714,0.23306772908366535,0.5,0.45,"[3, 3, 2, 2]",78,0.41025641025641024,0.08974358974358976,0.48205128205128206,3.9487179487179493,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
AAP,19acfdf0d2eda87560d92d1c638a119f80f57e2056b58af3459d90dcd1988df7,train_1,2022-07-01,2023-06-30,1767114315,16,161.87434473263025,-17450.800117819024,22,0.5909090909090909,0.19402985074626866,0.08764940239043825,0.3239768199927563,0.5909090909090909,0.45,"[3, 3, 2, 2]",34,0.4411764705882353,0.14973262032085566,0.5609625668449199,6.5882352941176485,0.2,50,100,50,15,14,4,True,True,0.15,610674,6,FITNESS_SCORER_ONLY,TRAIN_ONLY,TRAIN_ONLY,RUNTIME_CONSTANT_ONLY
