ticker,model_hash,origin_train_label,gene_type,group,feature,feature_definition,low_norm,high_norm,width_norm,low_value,high_value,min_width_pass,bilateral,fallback_applied_any_generation,fallback_event_count,group_threshold,group_size,g3_member_floor_norm,fitness_consistency_lambda,stress_role,threshold_min_allowed,threshold_max_allowed,threshold_floor_valid
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G1_PULLBACK,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),0.4123425139765831,0.8566760330510743,0.4443335190744911,29.54476389564295,61.36338513803163,True,True,True,14.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G1_PULLBACK,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,0.0272419795171278,0.651078275978204,0.6238362964610761,1.0853756305848254,25.94027698705308,True,True,True,24.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G1_PULLBACK,inv_close_pos5,1 - D-1 close의 D-5~D-1 range 위치,0.1686137610538489,0.7555786872715466,0.5869649262176977,0.1705650451343408,0.7561523501422053,True,True,True,23.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G1_PULLBACK,inv_ret_d1_pct,-(D-2 close 대비 D-1 close 수익률 %),0.05,0.9779054974686852,0.9279054974686852,-3.193951392831884,34.14652938868002,True,True,True,17.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G2_VOLATILITY,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),0.2134435473942823,0.8121004055234244,0.598656858129142,0.2404488354531508,4.019812145485649,True,True,True,22.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G2_VOLATILITY,atr14_pct,100*ATR14[D-1]/Close[D-1],0.05,0.9068880221049296,0.8568880221049295,2.448943057361326,7.720424971729222,True,True,True,30.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G2_VOLATILITY,realized_vol20_pct,D-20~D-1 일수익률 sample std(%),0.0300774147853954,0.8044658739889691,0.7743884592035736,1.3579092941352775,6.834998428886922,True,True,True,24.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G2_VOLATILITY,bb_width20_pct,100*(BB upper-BB lower)/BB middle at D-1,0.270314566820836,0.6205695679396902,0.3502550011188542,35.36713094441074,72.80857597662778,True,True,True,25.0,,4,,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G3_RANGE_EXPANSION,true_range_d1_pct,D-1 true range / D-1 close(%),0.5420883679215391,0.9620360857162192,0.4199477177946802,29.883637135181772,52.30180216111835,True,True,True,17.0,,3,0.015009759672486033,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G3_RANGE_EXPANSION,range_vs_atr14,D-1 high-low / ATR14[D-1],0.2247061483213055,0.815744073953753,0.5910379256324475,0.6398801435669939,1.5814663663148694,True,True,True,21.0,,3,0.1726043842598029,0.5,FITNESS_SCORER_ONLY,,,
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,FEATURE_INTERVAL,G3_RANGE_EXPANSION,range_vs_range20,D-1 range% / D-21~D-2 mean range%,0.0029262661157186,0.9430060114858452,0.9400797453701266,0.3608139166183116,4.32723858820614,True,True,True,17.0,,3,0.06919934695283236,0.5,FITNESS_SCORER_ONLY,,,
