window_days,exact_bias_adjusted_mi_bits,rough_bias_adjusted_mi_bits,rough_to_exact_ratio,exact_empirical_p,rough_empirical_p,AAP_activity_jaccard,POWI_activity_jaccard
3,0.00527844570406,0.00213317499188,0.404129380405,0.00497512437811,0.044776119403,0.0875,0.336842105263
5,0.00594053725936,0.00155723869534,0.262137686771,0.00497512437811,0.0796019900498,0.0948275862069,0.393162393162
10,0.00519653088484,0.00151176221072,0.2909175841,0.00497512437811,0.124378109453,0.296943231441,0.626126126126
