train_label,train_start,train_end,generation,best_fitness,avg_fitness,best_rulebook_hash,generations_run,early_stop_triggered,train_elapsed_sec,pid
train_1,2022-07-01,2023-06-30,1,90.31721849894203,-24.1352668031674,234505fb6fafff3e8ac9d300fc0a168a88d07c3fb91c8278a8c6c3624c6574c6,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,2,90.31721849894203,-1.0761003461373162,234505fb6fafff3e8ac9d300fc0a168a88d07c3fb91c8278a8c6c3624c6574c6,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,3,103.10176691076143,11.495758678055534,5f3c16a73b80d2f42142003bfecd067f69028472c8e26513acd8ddbc049af648,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,4,103.10176691076143,28.893893398189803,5f3c16a73b80d2f42142003bfecd067f69028472c8e26513acd8ddbc049af648,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,5,103.97412665699599,38.86037124844967,e893eca68f51cdcb1ee0f67ba306f09acf446515c2340f23b38e1ebf064bfcd8,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,6,103.97412665699599,41.54159804764212,e893eca68f51cdcb1ee0f67ba306f09acf446515c2340f23b38e1ebf064bfcd8,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,7,103.97412665699599,52.41507374653336,e893eca68f51cdcb1ee0f67ba306f09acf446515c2340f23b38e1ebf064bfcd8,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,8,118.28500595670178,55.15161706270473,02d38764074edd1ce4a1e6df5f424188d6442970030e3db68f2ac18e4a147802,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,9,118.28500595670178,62.14827371171759,02d38764074edd1ce4a1e6df5f424188d6442970030e3db68f2ac18e4a147802,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,10,118.28500595670178,65.03123858841565,02d38764074edd1ce4a1e6df5f424188d6442970030e3db68f2ac18e4a147802,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,11,121.67146185019926,78.88691485057625,05e17baf4eb782eed39b2b413aea203f2a9ba220a2e6dea92ccee82e09415068,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,12,122.16307757988034,80.50214741410873,462ec6dd74b8f7622cc55b75f22b8b281790890f7b25d0151414413e4b8d67e9,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,13,126.42129651916204,89.63809100108763,c62756fe4ae02230c309d7268525d20d7ebd93e8b20cfe7c1ec511a615c7c098,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,14,127.21464379429658,94.91105016263502,adf12ee6b960f0db7b8c4879284ce9c19906ae51bc3420bf8afe2eb211bb5df0,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,15,134.70663374606613,96.30826141062671,62081a2ca4127720db242581dcb18c1e87b3d36227a0713ecf6df786c1260923,50,False,435.77148723602295,149780
train_1,2022-07-01,2023-06-30,16,134.70663374606613,88.9964251636168,62081a2ca4127720db242581dcb18c1e87b3d36227a0713ecf6df786c1260923,50,False,435.77148723602295,149780
