path,mtime_utc,size_bytes,sha256
"data/_system/ticker_news_cache/CRS/av_CRS_202307.json.gz",2026-05-28T17:33:03.429417+00:00,215,341f2c9510ce409905b8c4d37d607e3fac5da6d01aa1f00e129f157d09e981c2
"data/_system/ticker_news_cache/CRS/av_CRS_202308.json.gz",2026-05-28T17:33:04.289487+00:00,215,9931196a74987d716e10946f9508df023d03a31e63b0f21c7b52d6784a14af54
"data/_system/ticker_news_cache/CRS/av_CRS_202309.json.gz",2026-05-28T17:33:05.165559+00:00,879,fe2b9d2ec9b56f4670cf214aaf3490cbfd59881d83726026f93ed0721eebe67e
"data/_system/ticker_news_cache/CRS/av_CRS_202310.json.gz",2026-05-28T17:33:06.019629+00:00,215,14f0169ac5cd31fca42ee0103e819bf05d0939df5d1183a27f3ff655ce98802c
"data/_system/ticker_news_cache/CRS/av_CRS_202311.json.gz",2026-05-28T17:33:06.877699+00:00,800,98732153dca6954b181a619df3feb6320a67ab96e62571ca06fbd9973722b987
"data/_system/ticker_news_cache/CRS/av_CRS_202312.json.gz",2026-05-28T17:33:07.751771+00:00,215,26ef1ae95d2b574348fcdbfb04ace39109eb8c2b2400dab142326e517a4c870c
"data/_system/ticker_news_cache/CRS/av_CRS_202401.json.gz",2026-05-28T17:33:08.582839+00:00,215,6f314104553f417ae2ee6d852afcd1770e47cf360268f5ce5a09c6390fe9a7dc
"data/_system/ticker_news_cache/CRS/av_CRS_202402.json.gz",2026-05-28T17:33:09.451910+00:00,215,865a85bf5c0870efb371e528a64fcf2a5c98c445825e91880c23db26b50b9ca4
"data/_system/ticker_news_cache/CRS/av_CRS_202403.json.gz",2026-05-28T17:33:10.310980+00:00,215,713329e0c5ac61edd13d9661a2790b72db498fe4025fb5aa7e009d34bcbf78e1
"data/_system/ticker_news_cache/CRS/av_CRS_202404.json.gz",2026-05-28T17:33:11.198053+00:00,790,951b15fe3fd978c2ac142d7fc1b318852b2489917ca665b0a4ff0ed8a986d96c
"data/_system/ticker_news_cache/CRS/av_CRS_202405.json.gz",2026-05-28T17:33:12.055123+00:00,908,ff0bc709cd8fe41837b06a45ef76928dca035a8cd07d447cf0c50626cff0c27a
"data/_system/ticker_news_cache/CRS/av_CRS_202406.json.gz",2026-05-28T17:33:12.913193+00:00,935,11e79abf3cca5c91185e94fb83740fd105541d5b2a64dd8752e2f3fe59ba8ec9
"data/_system/ticker_news_cache/CRS/av_CRS_202407.json.gz",2026-05-28T17:33:13.758263+00:00,215,ba18bf340a413c5a8d14a094afb584d7763ce4b4730e8ad49e9421d22cfb4f84
"data/_system/ticker_news_cache/CRS/av_CRS_202408.json.gz",2026-05-28T17:33:14.607332+00:00,215,23f8e48ef66f9348094a106270205bb5948e2d01b42c3affd66cfab3b3a9b65c
"data/_system/ticker_news_cache/CRS/av_CRS_202409.json.gz",2026-05-28T17:33:15.478403+00:00,215,6be05b9864e43caaec5c9bcec9eeb8ecb34e6750e96bcaf861e8b5d9fe142482
"data/_system/ticker_news_cache/CRS/av_CRS_202410.json.gz",2026-05-28T17:33:16.343474+00:00,215,66ef14eecf43a64f08e40dc0437cc5f90526361502c7839e9991326becf40eb1
"data/_system/ticker_news_cache/CRS/av_CRS_202411.json.gz",2026-05-28T17:33:17.213546+00:00,215,2b44b199f727074ee117538b88416379bb6d72c511f20204493db966c414328c
"data/_system/ticker_news_cache/CRS/av_CRS_202412.json.gz",2026-05-28T17:33:18.060615+00:00,215,e36b6c651aa4c50d2fd18a8de6b0cc1a834a454aa38dd24a86ea243d954f4f2b
"data/_system/ticker_news_cache/CRS/av_CRS_202501.json.gz",2026-05-28T17:33:18.924686+00:00,807,ade1fb7d5aa2a3034bfbb32f6c7aee367534dfdc9bb8792c409483a95e1faae1
"data/_system/ticker_news_cache/CRS/av_CRS_202502.json.gz",2026-05-28T17:33:19.773755+00:00,215,8592e4f16ce1fc78a59ff9eb41608c9bc2227e33ec9328a61b4d83f0941233fd
"data/_system/ticker_news_cache/CRS/av_CRS_202503.json.gz",2026-05-28T17:33:20.650827+00:00,876,29c52bda4cbd9a94f0c10eecb8878ec0d34dc017954081300188ffb11046b29f
"data/_system/ticker_news_cache/CRS/av_CRS_202504.json.gz",2026-05-28T17:33:21.505897+00:00,215,58e6c3ac876c5f91adac20bbf989efab451cbd8d8043cfd0bd73ef208c49821b
