method,oos_rows,oos_signal_count,oos_coverage,oos_precision,train_avg_precision,stress_avg_precision,stress_pooled_precision,stress_sample_eligible_mean_precision,stress_sample_eligible_candidate_count,stress_total_passed_count,oos_avg_precision,stress_gate_count,oos_gate_count,survivor_count,candidate_count,trade_count,avg_return_pct,compounded_return_pct,max_drawdown_pct,win_rate,plus3_reach_rate,avg_holding_sessions,max_holding_sessions,fitness_consistency_lambda,diagnostic_trade_warning
STRICT_AND_12_BASELINE,504,25,0.0496031746031746,0.6,0.7949675324675325,0.40989381681995524,0.4375,0.40989381681995524,6,160,0.5568036641720852,2,2,2,6,19,0.1446446187413947,0.8181148193431964,-12.808970447452328,0.631578947368421,0.5263157894736842,2.3157894736842106,3,0.0,False
HYBRID_GROUP_COUNT_AND_UNFLOORED,504,35,0.0694444444444444,0.5714285714285714,0.8710552732291864,0.4328084997439836,0.42391304347826086,0.39921274961597536,4,184,0.5032532282757464,0,0,0,6,18,0.0202646211605034,-1.3119679709529095,-19.29033281954333,0.6111111111111112,0.6111111111111112,3.111111111111111,6,0.0,True
HYBRID_GROUP_COUNT_AND_FLOORED,504,93,0.1845238095238095,0.5806451612903226,0.8602092352092353,0.4325600453312914,0.4074074074074074,0.3990720543975496,5,189,0.5974444659539749,0,1,0,6,48,2.079357744911722,146.15392847804074,-17.447874352001904,0.6458333333333334,0.6666666666666666,3.333333333333333,8,0.0,True
HYBRID_FLOORED_CONSISTENCY_LAMBDA_0_5,504,37,0.07341269841269842,0.4864864864864865,0.8515873015873016,0.6970362970362971,0.6041666666666666,0.6364435564435564,5,144,0.5601378232452401,2,1,0,6,27,-1.4695461177703768,-37.599440653102654,-31.448958706353924,0.5185185185185185,0.4074074074074074,2.4814814814814814,7,0.5,True
