ticker,origin_train_label,split_index,worker_pid,started_at_utc,finished_at_utc,elapsed_seconds,status,population,generations,patience,max_workers,train_rows,stress_rows,stress_used_for_gene_inputs,stress_used_for_fitness_only
AAP,train_1,1,609103,2026-07-12T18:23:34.283192+00:00,2026-07-12T18:23:35.566604+00:00,1.2494321949779987,OK,100,50,15,6,251,500,False,True
AAP,train_2,2,609104,2026-07-12T18:23:34.283211+00:00,2026-07-12T18:23:36.408521+00:00,2.090320303977933,OK,100,50,15,6,250,500,False,True
AAP,train_3,3,609105,2026-07-12T18:23:34.283215+00:00,2026-07-12T18:23:36.514039+00:00,2.194214995019138,OK,100,50,15,6,250,500,False,True
POWI,train_1,1,609106,2026-07-12T18:23:34.284411+00:00,2026-07-12T18:23:35.915379+00:00,1.5940511150402017,OK,100,50,15,6,251,500,False,True
POWI,train_2,2,609107,2026-07-12T18:23:34.284424+00:00,2026-07-12T18:23:36.508775+00:00,2.1857697860104963,OK,100,50,15,6,250,500,False,True
POWI,train_3,3,609108,2026-07-12T18:23:34.284427+00:00,2026-07-12T18:23:36.468161+00:00,2.144414988986682,OK,100,50,15,6,250,500,False,True
