ticker,model_hash,origin_train_label,regime,group,members,group_size,learned_threshold,threshold_valid,group_passed_rows,final_entry_rows,count_distribution,g3_floor_percentile,g3_floor_norm,threshold_min_allowed,threshold_max_allowed,threshold_floor_valid,full_group_threshold_present
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,train,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,69,20,"{""0"": 0, ""1"": 23, ""2"": 159, ""3"": 69, ""4"": 0}",,,2,3,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,train,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,144,20,"{""0"": 2, ""1"": 26, ""2"": 79, ""3"": 132, ""4"": 12}",,,2,3,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,train,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,167,20,"{""0"": 1, ""1"": 75, ""2"": 175, ""3"": 0}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,train,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,151,20,"{""0"": 19, ""1"": 81, ""2"": 148, ""3"": 3}",,,2,2,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,stress,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,180,44,"{""0"": 6, ""1"": 47, ""2"": 267, ""3"": 180, ""4"": 0}",,,2,3,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,stress,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,237,44,"{""0"": 2, ""1"": 107, ""2"": 154, ""3"": 237, ""4"": 0}",,,2,3,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,stress,G3_RANGE_EXPANSION,"[""true_range_d1_pct"", ""range_vs_atr14"", ""range_vs_range20""]",3,2,True,337,44,"{""0"": 1, ""1"": 99, ""2"": 400, ""3"": 0}",0.15,"[0.015009759672486033, 0.1726043842598029, 0.06919934695283236]",2,2,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,stress,G4_VOLUME_CONFIRMATION,"[""volume_ratio5_prior"", ""volume_ratio20_prior"", ""volume_chg1_pct""]",3,2,True,305,44,"{""0"": 45, ""1"": 150, ""2"": 296, ""3"": 9}",,,2,2,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,oos,G1_PULLBACK,"[""pullback_from_high5_pct"", ""fade_after_surge_score"", ""inv_close_pos5"", ""inv_ret_d1_pct""]",4,3,True,101,23,"{""0"": 7, ""1"": 33, ""2"": 111, ""3"": 101, ""4"": 0}",,,2,3,True,False
AAP,d0590baf8fedec06fe7300c12122c9ac76e6bf85bc571e612360e00f68473c52,train_1,oos,G2_VOLATILITY,"[""single_up_day5_pct"", ""atr14_pct"", ""realized_vol20_pct"", ""bb_width20_pct""]",4,3,True,144,23,"{""0"": 0, ""1"": 0, ""2"": 108, ""3"": 139, ""4"": 5}",,,2,3,True,False
