candidate_id,ticker,boil_check,event_off_drop,combined_classification,event_contribution,off_estimated_score,threshold,first_signal_price,current_price,current_price_timestamp,unrealized_return_pct
stage3:BTBT:363898884d44,BTBT,PASS,true,DROP_BY_EVENT,11.81,1.8183667536363866,1.911257702358741,1.64,1.6950000524520874,2026-07-10T19:59:53.001495+00:00,3.353661734883384
stage3:BMA:0c978464f9dd,BMA,PASS,true,DROP_BY_EVENT,10.24,1.96499025677927,2.8483915860441122,91.65,94.80000305175781,2026-07-10T19:59:53.001495+00:00,3.4369918731672833
stage3:BMI:07d4ee0f7841,BMI,PASS,true,DROP_BY_EVENT,5.17,1.9366429893359431,2.4293027201134647,147.08,144.3699951171875,2026-07-10T19:59:53.001495+00:00,-1.8425379948412535
stage3:CRS:8695c9ce3320,CRS,PASS,false,SURVIVE_BOTH,4.38,4.660072469611355,2.5574757832651467,600.8599853515625,578.7999877929688,2026-07-10T19:59:53.001495+00:00,-3.6714040036609275
stage3:BCS:5e7da5a74b01,BCS,PASS,false,SURVIVE_BOTH,1.85,4.930297327115024,3.3016768173756628,27.6625,27.469999313354492,2026-07-10T19:59:53.001495+00:00,-0.6958904171550317
stage3:BNTX:d667608bc166,BNTX,FAIL,true,DROP_BY_BOTH,5.04,1.1417946894515518,1.9606991235700824,94.0,91.4749984741211,2026-07-10T19:59:53.001495+00:00,-2.6861718360413844
stage3:ALGT:aec5dd5b1dc1,ALGT,PASS,false,SURVIVE_BOTH,0.0,5.5972934959001375,2.2937281833052667,110.0,111.12999725341797,2026-07-10T19:59:53.001495+00:00,1.027270230379962
stage2:CMC:4f6ee2739add,CMC,PASS,true,DROP_BY_EVENT,3.37,1.0534528541320283,2.390547721639751,61.58,62.654998779296875,2026-07-10T19:59:53.001495+00:00,1.7456946724535127
stage3:BN:d264957fe5f6,BN,PASS,false,SURVIVE_BOTH,-0.37,4.331113918326717,2.6480219613592295,43.5,43.744998931884766,2026-07-10T19:59:53.001495+00:00,0.5632159353672783
stage3:BWXT:f195725cb792,BWXT,PASS,true,DROP_BY_EVENT,2.78,1.010050482430009,2.015809174011457,186.21,185.9149932861328,2026-07-10T19:59:53.001495+00:00,-0.1584268910730824
stage3:ADMA:42437a3ee595,ADMA,PASS,false,SURVIVE_BOTH,0.58,2.750618323184098,2.179290624723338,9.22,9.074999809265137,2026-07-10T19:59:53.001495+00:00,-1.5726701815061195
stage3:BB:f1bdfe7f8ad9,BB,PASS,false,SURVIVE_BOTH,0.0,3.2909034677771114,2.791951174195162,11.04,10.96500015258789,2026-07-10T19:59:53.001495+00:00,-0.6793464439502572
stage3:ACMR:44c1e02681c4,ACMR,PASS,true,DROP_BY_EVENT,1.4,1.5604492192365194,1.672152226421145,107.05000305175781,102.98999786376953,2026-07-10T19:59:53.001495+00:00,-3.7926250091046665
stage3:ANET:fe220620802b,ANET,PASS,false,SURVIVE_BOTH,0.0,3.025097065320651,2.639090277958454,164.5,186.97000122070312,2026-07-10T19:59:53.001495+00:00,13.659575210153886
stage3:ARKW:296c057b4ef7,ARKW,PASS,false,SURVIVE_BOTH,0.0,2.841173787968283,2.563383325529843,146.255,148.44000244140625,2026-07-10T19:59:53.001495+00:00,1.493967687536335
stage3:CBRL:677767a0b6a9,CBRL,PASS,false,SURVIVE_BOTH,0.0,2.8169195450210114,1.904703742771071,49.0455,50.439998626708984,2026-07-10T19:59:53.001495+00:00,2.843275380430388
stage3:CRK:997177aa687b,CRK,PASS,false,SURVIVE_BOTH,-0.69,3.2280791126613466,1.6845297732650655,12.98799991607666,12.904999732971191,2026-07-10T19:59:53.001495+00:00,-0.6390528460254341
stage3:AEIS:6e26f08a7c6d,AEIS,PASS,false,SURVIVE_BOTH,0.0,2.445473023580007,1.6391176454145713,290.12,307.8900146484375,2026-07-10T19:59:53.001495+00:00,6.125056751839764
