all_feature_and,bilateral,domain_max_origin_train,domain_min_origin_train,fallback_applied_any_generation,fallback_event_count,feature,feature_definition,finite_high,finite_low,high_norm,high_value,low_norm,low_value,min_width_pass,model_hash,near_full_noise_gene,origin_train_label,ticker,width_norm
True,True,27.1284363325927,-5.665723776231268,True,15,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.9620607898276607,25.884251799798683,0.025553751739176248,-4.827709950315584,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.9365070380884845
True,True,32.65306420356988,-14.757711055508082,True,11,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.7818283279258615,22.30937609096565,0.23812593799712245,-3.467975725769376,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.5437023899287391
True,True,5.0,0.0,True,18,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.6361793236884545,3.1808966184422727,0.28034631486200484,1.4017315743100243,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.3558330088264497
True,True,4.0,0.0,True,27,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.7715957630639485,3.086383052255794,0.05994263321107433,0.2397705328442973,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.7116531298528742
True,True,1.0,0.0178567018960003,True,15,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.7688686076149862,0.7729958519876129,0.20356447533900524,0.21778618708226122,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.565304132275981
True,True,17.829459370130074,0.0,True,31,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.4434386213644917,7.906270882764699,0.07341983973355229,1.3090360494908322,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.3700187816309394
True,True,27.1284363325927,-1.4634132725769855,True,19,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.9337580570654257,25.234456662653116,0.12454158433108971,2.097460976207089,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.809216472734336
True,True,28.220133160713026,0.0,True,18,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.6931041789630463,19.55949222458384,0.013384541289159073,0.37771353747513065,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,False,train_2,ADMA,0.6797196376738872
True,True,30.926994154796294,-16.30996511474182,True,19,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.5277790853611937,8.620714043778964,0.1315876660839629,-10.094163891560083,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.3961914192772308
True,True,30.926994154796294,-16.30996511474182,True,19,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.517961580918687,8.15696498629977,0.14372151901972932,-9.52099757465072,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.37424006189895775
True,True,30.926994154796294,-16.30996511474182,True,24,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.6324546708610297,13.565270412549776,0.23395405717946538,-5.258686844812223,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.3985006136815643
True,True,30.926994154796294,-16.30996511474182,True,20,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.8382137096828416,23.284701748715015,0.1764567211003007,-7.97468616729067,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.661756988582541
True,True,30.926994154796294,-16.30996511474182,True,16,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.5627583588248614,10.273028559660272,0.15088170854518548,-9.182771993674574,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.4118766502796759
True,True,53.44978154959592,-19.98069269733318,True,16,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.651272021867792,27.842520732175164,0.07859687515031319,-14.209286880719006,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.5726751467174788
True,True,5.0,0.0,True,15,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.8627579990028273,4.313789995014137,0.2992094853574452,1.496047426787226,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.5635485136453822
True,True,4.0,0.0,True,17,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.9081661277277984,3.6326645109111935,0.12354976420535818,0.4941990568214327,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.7846163635224401
True,True,0.995744745787234,0.0043291043992098,True,25,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.965274481264042,0.9613173233570924,0.19606598384701857,0.1987119875292757,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.7692084974170235
True,True,29.07756919719633,0.0815287897338645,True,22,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.5029831319712145,14.666048008643225,0.005913490375408607,0.25299659560835286,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.49706964159580586
True,True,30.926994154796294,-1.9702059486923047,True,20,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.7756115381993526,23.54524202602639,0.2097366766439835,4.929543471905504,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.565874861555369
True,True,30.926994154796294,0.0,True,18,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.533097926276627,16.487116449891268,0.018431689238516204,0.5700367453426124,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,False,train_3,ADMA,0.5146662370381108
True,True,11.795187455882616,-8.942126355421454,True,21,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.6072749943682565,3.6511257725509925,0.2521636547675094,-3.71292951470227,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.3551113396007471
True,True,11.795187455882616,-8.942126355421454,True,19,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.7877992242535181,7.39471337822566,0.12234550837233785,-6.405009154900755,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.6654537158811803
True,True,11.795187455882616,-8.942126355421454,True,16,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.8951659852149543,9.621211593186231,0.102681293886132,-6.812792141553997,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.7924846913288223
True,True,11.795187455882616,-8.942126355421454,True,21,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.7850066091527517,7.33680204252688,0.2159588681680224,-4.463719535887129,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.5690477409847292
True,True,11.795187455882616,-8.942126355421454,True,21,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.8487997220965907,8.659699844643232,0.2994195470164329,-2.7329692477031715,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.5493801750801578
True,True,19.70579250604483,-15.620173956650683,True,17,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.8003374773790422,12.652520928079687,0.4596521666491333,0.6174830669019276,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.3406853107299089
True,True,5.0,0.0,True,20,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.6415898531575921,3.2079492657879607,0.5235461918452866,2.6177309592264333,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.11804366131230548
True,True,4.0,0.0,True,20,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,0.8148414628058825,3.25936585122353,0.09187234788847844,0.36748939155391375,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.7229691149174041
True,True,0.9952379871030804,0.0018695573684033,True,11,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.9501038640114398,0.9456727408462964,0.4362339394790482,0.43521058082567754,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.5138699245323916
True,True,21.984898608220416,0.0442487996956453,True,24,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.6782060231237722,14.924529651086583,0.013261650904536966,0.3352180380749966,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.6649443722192352
True,True,11.795187455882616,-2.301928791084118,True,22,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.8292592755557537,9.388235615300761,0.12440056279361571,-0.5482395961944326,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.7048587127621381
True,True,16.1156061799955,0.0,True,17,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.9707119088240204,15.64361083683961,0.04797611356438979,0.773164152250446,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,False,train_1,CRS,0.9227357952596306
True,True,14.737462465178396,-7.250672473237907,True,18,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.6818852139150057,7.742711622836103,0.08173916573710631,-5.453380667256839,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.6001460481778994
True,True,14.737462465178396,-7.250672473237907,True,22,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.7883475965996396,10.08362085917115,0.06618196536425548,-5.795454488319064,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.7221656312353841
True,True,14.737462465178396,-7.250672473237907,True,17,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.800035452306693,10.340615007598577,0.06353537105568187,-5.853648161103225,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.7365000812510112
True,True,14.737462465178396,-7.250672473237907,True,18,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.7200980418670178,8.58294044022343,0.19370585110427604,-2.9914420807963094,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.5263921907627417
True,True,14.737462465178396,-7.250672473237907,True,14,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.7385440793788571,8.988534402112842,0.16483964192339604,-3.6261561834260503,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.5737044374554611
True,True,23.380951654761905,-10.31777899699523,True,13,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.6702684039490104,12.26941541206562,0.10022969051894443,-6.940165652888346,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.570038713430066
True,True,5.0,0.0,True,15,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.774495515902142,3.8724775795107105,0.07262298844526859,0.36311494222634294,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.7018725274568735
True,True,4.0,0.0,True,28,days_since_high5,D-5~D-1 고가 최고점 이후 거래일 수(0=D-1),True,True,1.0,4.0,0.18519248548377437,0.7407699419350975,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.8148075145162257
True,True,0.9963856872476048,0.0143540990088155,True,15,close_pos5,D-1 close의 D-5~D-1 high/low 범위 내 위치(0~1),True,True,0.5341915622335732,0.5389470872928115,0.014089134489367591,0.02819007412831906,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.5201024277442057
True,True,14.753338925328595,0.0270510795477241,True,20,pullback_from_high5_pct,D-5~D-1 최고가 대비 D-1 close 하락률(%),True,True,0.7984490498375139,11.78524161764519,0.24022537838063712,3.5646791494426115,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.5582236714568767
True,True,14.737462465178396,-0.0882706451706405,True,20,single_up_day5_pct,D-5~D-1 최대 단일 일수익률(%),True,True,0.4992161799153173,7.312975202621841,0.04789820336138374,0.6218553343304579,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.4513179765539336
True,True,15.798827266871106,0.0,True,21,fade_after_surge_score,초반 최대상승률 + 최근 2일 음의 누적수익률 절대값,True,True,0.7229582966321966,11.421893249643436,0.2725961890855533,4.306700104969991,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,False,train_2,CRS,0.4503621075466433
True,True,15.684068240794623,-11.107559188681382,True,19,ret_d5_pct,D-6 close 대비 D-5 close 수익률(%),True,True,0.7984524787971926,10.284282143394591,0.41998891447476144,0.14462733243648884,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.37846356432243117
True,True,15.684068240794623,-11.107559188681382,True,21,ret_d4_pct,D-5 close 대비 D-4 close 수익률(%),True,True,0.8441456363217198,11.50847619586808,0.26626157262209116,-3.973978336203947,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.5778840636996286
True,True,15.684068240794623,-11.107559188681382,True,21,ret_d3_pct,D-4 close 대비 D-3 close 수익률(%),True,True,0.8337794564091098,11.230749365782518,0.2674017026302241,-3.9434323978048837,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.5663777537788857
True,True,15.684068240794623,-11.107559188681382,True,18,ret_d2_pct,D-3 close 대비 D-2 close 수익률(%),True,True,0.6354698345732881,5.917711861876903,0.13379232267908944,-7.523045126538984,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.5016775118941986
True,True,15.684068240794623,-11.107559188681382,True,12,ret_d1_pct,D-2 close 대비 D-1 close 수익률(%),True,True,0.7229741246780316,8.262094200843975,0.1722208781684934,-6.493481585213929,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.5507532465095382
True,True,20.05760914979424,-17.182111210019524,True,26,cumulative_ret5_pct,D-6 close 대비 D-1 close 누적수익률(%),True,True,0.980052515755302,19.31477041463989,0.2781899982046838,-6.822393469980007,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.7018625175506181
True,True,5.0,0.0,True,22,up_days5,D-5~D-1 양의 일수익률 일수,True,True,0.8035754823351358,4.017877411675679,0.16192874139139452,0.8096437069569726,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,False,train_3,CRS,0.6416467409437412
