ticker,date,regime,position_independent_daily_evaluation,holding_state_ignored_for_candidate_generation,feature_cutoff,label_2d3pct,status
AA,2020-06-16,stress,True,True,D-1,0,ELIGIBLE
AA,2020-06-17,stress,True,True,D-1,1,ELIGIBLE
AA,2020-06-18,stress,True,True,D-1,1,ELIGIBLE
AA,2020-06-19,stress,True,True,D-1,0,ELIGIBLE
AA,2020-06-22,stress,True,True,D-1,1,ELIGIBLE
AA,2020-06-23,stress,True,True,D-1,0,ELIGIBLE
AA,2020-06-24,stress,True,True,D-1,0,ELIGIBLE
AA,2020-06-25,stress,True,True,D-1,1,ELIGIBLE
AA,2020-06-26,stress,True,True,D-1,0,ELIGIBLE
AA,2020-06-29,stress,True,True,D-1,1,ELIGIBLE
AA,2020-06-30,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-01,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-02,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-06,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-07,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-08,stress,True,True,D-1,0,ELIGIBLE
AA,2020-07-09,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-10,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-13,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-14,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-15,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-16,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-17,stress,True,True,D-1,0,ELIGIBLE
AA,2020-07-20,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-21,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-22,stress,True,True,D-1,0,ELIGIBLE
AA,2020-07-23,stress,True,True,D-1,0,ELIGIBLE
AA,2020-07-24,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-27,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-28,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-29,stress,True,True,D-1,0,ELIGIBLE
AA,2020-07-30,stress,True,True,D-1,1,ELIGIBLE
AA,2020-07-31,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-03,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-04,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-05,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-06,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-07,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-10,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-11,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-12,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-13,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-14,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-17,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-18,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-19,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-20,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-21,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-24,stress,True,True,D-1,1,ELIGIBLE
AA,2020-08-25,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-26,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-27,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-28,stress,True,True,D-1,0,ELIGIBLE
AA,2020-08-31,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-01,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-02,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-03,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-04,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-08,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-09,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-10,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-11,stress,True,True,D-1,1,ELIGIBLE
AA,2020-09-14,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-15,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-16,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-17,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-18,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-21,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-22,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-23,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-24,stress,True,True,D-1,1,ELIGIBLE
AA,2020-09-25,stress,True,True,D-1,1,ELIGIBLE
AA,2020-09-28,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-29,stress,True,True,D-1,0,ELIGIBLE
AA,2020-09-30,stress,True,True,D-1,0,ELIGIBLE
AA,2020-10-01,stress,True,True,D-1,1,ELIGIBLE
AA,2020-10-02,stress,True,True,D-1,1,ELIGIBLE
AA,2020-10-05,stress,True,True,D-1,1,ELIGIBLE
AA,2020-10-06,stress,True,True,D-1,1,ELIGIBLE
AA,2020-10-07,stress,True,True,D-1,1,ELIGIBLE
