all_min_width_pass,bilateral_gene_pass,model_hash,near_full_gene_count,oos_precision,origin_train_label,stress_precision,strict_all_feature_and,survivor,thin_sample_rejected,ticker,train_precision,train_to_oos_precision_gap,train_to_stress_precision_gap,weighted_sum_path_present,symbol_hhi_oos_passed_count,candidate_count,survivor_candidate_count,survivor_symbol_count,worker_error_count,configured_workers,observed_unique_worker_pids,previous_oos_whipsaw_mean,current_oos_target_tp_off_whipsaw_mean
True,True,ac8ea95f880583d8948e0605c4b0dad23276eba3ee8b1a7505e3355260bde9c6,0,0.5789473684210527,train_1,0.25,True,False,False,ADMA,0.9545454545454546,0.37559808612440193,0.7045454545454546,False,,,,,,,,,
True,True,cc82434e56fa34c572ca0bd43a55dcd5426b28a51a6d16f25c0227349daedb30,0,0.4594594594594595,train_2,0.5161290322580645,True,False,False,ADMA,0.84,0.3805405405405405,0.32387096774193547,False,,,,,,,,,
True,True,39ebd5670166adc0209f255949728dab7d5ec61d1ed423eb549cacdb7426ac5a,0,0.7,train_3,0.41818181818181815,True,False,False,ADMA,0.9,0.20000000000000007,0.48181818181818187,False,,,,,,,,,
True,True,705cf173f74cfedc2ad0aed4e83e5e53a58f27af3e66baade4bd07dcb55eac40,0,0.36363636363636365,train_1,0.2608695652173913,True,False,False,CRS,0.8636363636363636,0.5,0.6027667984189724,False,,,,,,,,,
True,True,701882086091e3a6bd67e5dadfb99145c45e5f55c5f7c493f4e3d7fcccb4b98a,0,0.5789473684210527,train_2,0.47619047619047616,True,False,False,CRS,0.9047619047619048,0.3258145363408521,0.4285714285714286,False,,,,,,,,,
True,True,6e93484a372d9bb64b42e7ab8474f6454f2faceb9d5510d403d0ad6b70d1984e,0,0.55,train_3,0.5365853658536586,True,False,False,CRS,1.0,0.44999999999999996,0.46341463414634143,False,,,,,,,,,
True,True,e0c83226c51c983757198bf6959911adc69de0570645e22c862edfac0dab51f9,0,0.5833333333333334,train_1,0.43243243243243246,True,False,False,ALGT,0.9090909090909091,0.3257575757575757,0.4766584766584766,False,,,,,,,,,
True,True,e3e169f11714be92bbfdee2fb58fe8c9727e132f00d8d9314c90c131ad1b86cb,0,0.6666666666666666,train_2,0.29411764705882354,True,False,False,ALGT,0.75,0.08333333333333337,0.45588235294117646,False,,,,,,,,,
True,True,f55eca6eb60ab371e841edb2496ffe68d55c5a05d435fd20f3ae18eea3503f31,0,0.6363636363636364,train_3,0.32432432432432434,True,False,False,ALGT,0.9523809523809523,0.316017316017316,0.628056628056628,False,,,,,,,,,
True,True,e4a02f26e2329ea8e02bea51b78f5a6516da116f0e6c385747f0133207e35a7e,0,0.75,train_1,0.4666666666666667,True,False,False,AEIS,0.9523809523809523,0.20238095238095233,0.48571428571428565,False,,,,,,,,,
True,True,c5203390d0bf536f7fa99ddbc9bf5e9d5cc16a654c873bc23948e0c1bf29f5f1,0,0.3333333333333333,train_2,0.2,True,False,False,AEIS,0.85,0.5166666666666666,0.6499999999999999,False,,,,,,,,,
True,True,193f4bc63ab65d55328c337ff4674d75124b5f1254cd4e983851c8055feff8df,0,0.47058823529411764,train_3,0.41935483870967744,True,False,False,AEIS,0.9583333333333334,0.48774509803921573,0.538978494623656,False,,,,,,,,,
True,True,a7c0c0e013271ae9e8ee7f02181e4723e3133deb6a8ac18dff7660a0cbfb9dab,0,0.3333333333333333,train_1,0.44,True,False,False,ARKW,0.8695652173913043,0.536231884057971,0.4295652173913043,False,,,,,,,,,
True,True,1a94ba8ef2ba69345feeb1b37dfde24d136305a693759bb04dab9d06917495d1,0,0.125,train_2,0.28125,True,False,False,ARKW,0.9047619047619048,0.7797619047619048,0.6235119047619048,False,,,,,,,,,
True,True,2aeeee72c05bfc236565a76c01ca1ccaf175e5671a9a95caae12d63f751caeb7,0,0.1724137931034483,train_3,0.2972972972972973,True,False,False,ARKW,0.8260869565217391,0.6536731634182908,0.5287896592244419,False,,,,,,,,,
True,True,ef1ca878bb129ac5018ae2657c2d654b5fc186ab134734cc8a4a3c64db8261bc,0,0.6363636363636364,train_1,0.2926829268292683,True,False,False,CBRL,0.85,0.21363636363636362,0.5573170731707318,False,,,,,,,,,
