ticker,earnings_rows_total,first_earnings_date,last_earnings_date,sample_period_events,sample_events_with_surprise,label_rows,rows_with_next_earnings,rows_with_last_earnings
AAP,99,2002-02-20,2026-08-13,26,25,1503,1503,1503
POWI,94,2002-04-25,2026-08-06,26,25,1503,1503,1503
