feature,AAP_mi_bits,POWI_mi_bits,ticker_mean_mi_bits,ticker_min_mi_bits,null_mean_bits,null_p95_bits,bias_adjusted_mi_bits,empirical_p
within_5d_before_earnings,0.0044578943821,0.00926173315221,0.00685981376715,0.0044578943821,0.000815925148481,0.00224887577889,0.00604388861867,0.00990099009901
within_3d_before_earnings,0.00321297224977,0.00906512061986,0.00613904643482,0.00321297224977,0.000818100171656,0.00224356619901,0.00532094626316,0.00990099009901
within_10d_before_earnings,0.00269531517736,0.0103780126994,0.00653666393836,0.00269531517736,0.00138108194207,0.00325301483364,0.00515558199629,0.00990099009901
days_to_next_clip90,0.0234025353647,0.00566151708642,0.0145320262256,0.00566151708642,0.00599190005841,0.0172878658051,0.00854012616717,0.0891089108911
within_10d_after_earnings,0.00690538855364,0.000109848656916,0.00350761860528,0.000109848656916,0.00127083046209,0.00317500462666,0.00223678814318,0.019801980198
within_20d_after_earnings,0.00726714387719,0.000795810119527,0.00403147699836,0.000795810119527,0.00189538696761,0.0039463199535,0.00213609003074,0.029702970297
within_5d_after_earnings,0.00463866096454,0.000572535960656,0.0026055984626,0.000572535960656,0.000977676216603,0.00271279528528,0.00162792224599,0.0792079207921
within_3d_after_earnings,0.00398932751261,0.0000199526031403,0.00200464005788,0.0000199526031403,0.000845395844266,0.00247103350953,0.00115924421361,0.0990099009901
within_1d_after_earnings,0.00165979340337,0.000439455619966,0.00104962451167,0.000439455619966,0.000733787623166,0.00214545654557,0.000315836888502,0.237623762376
within_1d_before_earnings,0.0000124872577709,0.00136840589533,0.000690446576549,0.0000124872577709,0.000531137898547,0.00167062800092,0.000159308678002,0.267326732673
days_since_last_clip90,0,0.0028105877889,0.00140529389445,0,0.00546231551455,0.0154377895497,0,0.732673267327
nearest_earnings_distance,0,0,0,0,0.00597330613929,0.0178430525252,0,1
within_20d_before_earnings,0.00144601268875,0.00172019461971,0.00158310365423,0.00144601268875,0.00188529649368,0.00412901260675,0,0.544554455446
last_surprise_pct_clip,0,0.00459385334391,0.00229692667195,0,0.0129954215832,0.0267928180197,0,0.950495049505
last_surprise_sign,0.0000438829073098,0.000604670549255,0.000324276728282,0.0000438829073098,0.00126186443613,0.00311272109363,0,0.80198019802
days_since_surprise_clip90,0,0.0028105877889,0.00140529389445,0,0.00546231551455,0.0154377895497,0,0.732673267327
surprise_decay_30d,0.0384988115224,0.00703532523498,0.0227670683787,0.00703532523498,0.0288779768363,0.043464920957,0,0.722772277228
