rank93,ticker,candidate_id,stage,bucket,rule_hash_short,live26,eval_ok,eval_reason,should_buy,final_score,threshold,ratio,ratio_lt_1_05,ratio_lt_1_10,ratio_lt_1_15,ratio_lt_1_25,core_positive_count,core_ma,core_macd,core_rsi,core_bb,core_volume,top1_component,top1_share_pct,top2_components,top2_share_pct,top2_ge_80,top2_ge_90,top2_ge_95,bb_rsi_only_pass,history_status,exit_n,exit_avg_pnl_pct,exit_win_rate_pct,exit_avg_mae_pct,exit_avg_mfe_pct,exit_min_pnl_pct,stop_loss_n,time_out_n,take_profit_n,trailing_n,breakeven_stop_n,stop_timeout_pct,exit_avg_pnl_lt_0,exit_win_rate_lt_45,exit_stop_timeout_gt_80,symptom1_low_ratio,symptom2_concentrated,symptom3_weak_exit,symptom_count,symptom_labels
1,CAPR,stage3:CAPR:a51d615a0ff1,stage3,A_core,a51d615a0ff1,True,True,,True,3.725824,2.159376,1.725418,False,False,False,False,1,0.000000,0.000000,0.907312,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,94,1.793588,58.510638,-7.345816,10.510970,-38.935472,5,36,10,9,33,43.617021,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
2,CDE,stage3:CDE:ceb9fe0512dc,stage3,A_core,ceb9fe0512dc,True,True,,True,3.259063,2.707639,1.203655,False,False,False,True,2,0.000000,0.000000,1.550441,1.708623,0.000000,bb,52.426801,bb+rsi,100.000000,True,True,True,True,OK,80,2.412705,45.000000,-6.650303,11.467966,-13.970599,28,38,0,12,0,82.500000,False,False,True,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
3,BBIO,stage3:BBIO:82c4a7aa36a9,stage3,A_core,82c4a7aa36a9,False,True,,False,0.298348,2.674370,0.111558,True,True,True,True,2,0.333088,0.000000,0.000000,0.000000,1.752941,volume,84.032432,volume+ma_align,100.000000,True,True,True,False,OK,77,1.959374,53.246753,-6.701950,10.465387,-12.884476,11,7,2,54,0,23.376623,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
4,CSIQ,stage3:CSIQ:030ce2015af8,stage3,A_core,030ce2015af8,False,True,,False,-10.195372,1.504194,-6.777961,True,True,True,True,1,0.000000,0.000000,0.196962,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,77,0.400315,46.753247,-8.318118,8.750069,-25.121947,11,28,18,17,0,50.649351,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
5,BOIL,stage3:BOIL:9044dc2c67a3,stage3,A_core,9044dc2c67a3,True,True,,True,2.709283,2.183173,1.240984,False,False,False,True,2,0.000000,0.000000,0.515996,2.000000,0.000000,bb,79.491381,bb+rsi,100.000000,True,True,True,True,OK,55,1.154632,67.272727,-8.452663,11.468218,-26.746655,15,3,13,0,23,32.727273,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
6,ANET,stage3:ANET:fe220620802b,stage3,A_core,fe220620802b,True,True,,True,3.025097,2.639090,1.146265,False,False,True,True,2,1.314850,0.000000,1.710248,0.000000,0.000000,rsi,56.535295,rsi+ma_align,100.000000,True,True,True,False,OK,81,1.857233,72.839506,-4.104022,7.217198,-13.000139,14,3,19,12,32,20.987654,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
7,AMD,stage3:AMD:a01b055a1d13,stage3,A_core,a01b055a1d13,False,True,,False,0.998032,2.874841,0.347161,True,True,True,True,2,1.328499,0.000000,1.730555,0.000000,0.000000,rsi,56.571573,rsi+ma_align,100.000000,True,True,True,False,OK,60,1.459316,63.333333,-5.005243,8.314846,-14.641321,14,2,0,44,0,26.666667,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
8,FIX,stage2:FIX:cab7d458767d,stage2,A_core,cab7d458767d,True,True,,False,1.682654,2.137243,0.787301,True,True,True,True,1,0.000000,0.000000,1.682654,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,105,3.797589,80.952381,-3.241616,7.935252,-9.516248,7,39,0,14,44,43.809524,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
9,ALGT,stage2:ALGT:402f72d48c3c,stage2,A_core,402f72d48c3c,True,True,,True,3.099850,2.333673,1.328314,False,False,False,False,1,0.244985,0.000000,0.000000,0.000000,0.000000,ma_align,100.000000,ma_align,100.000000,True,True,True,False,OK,61,2.631303,70.491803,-3.635740,7.940558,-15.552525,2,4,4,35,15,9.836066,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
10,CMC,stage2:CMC:4f6ee2739add,stage2,A_core,4f6ee2739add,True,True,,True,6.982740,2.390548,2.920979,False,False,False,False,1,0.000000,0.000000,1.049190,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,81,2.642429,86.419753,-3.372579,5.707476,-11.499712,6,4,46,0,23,12.345679,False,False,False,False,True,False,1,TOP2_CONCENTRATION_GE_90
11,AEVA,stage3:AEVA:3c4e598fa5c7,stage3,watch,3c4e598fa5c7,False,True,,False,0.000000,1.788755,0.000000,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,53,-4.451634,39.622642,-13.570667,14.129089,-25.854439,13,13,0,26,0,49.056604,True,True,False,True,False,True,2,LOW_RATIO_LT_1_25|WEAK_EXIT_HISTORY
12,AAOI,stage3:AAOI:5fa4b9dea9eb,stage3,watch,5fa4b9dea9eb,False,True,,False,-4.164314,3.046127,-1.367085,True,True,True,True,1,0.000000,0.000000,1.927329,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,67,0.669119,49.253731,-10.380718,14.352425,-29.425807,13,7,19,21,0,29.850746,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
13,BE,stage3:BE:b07b2e49fef8,stage3,B_stable,b07b2e49fef8,False,True,,False,1.913902,2.305643,0.830095,True,True,True,True,1,0.000000,0.000000,1.157635,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,50,2.790074,46.000000,-9.115327,15.344200,-21.890761,10,9,15,14,0,38.000000,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
14,CENX,stage3:CENX:53d7b0caa6a3,stage3,B_stable,53d7b0caa6a3,False,True,,False,0.270757,2.480296,0.109163,True,True,True,True,1,0.000000,0.000000,1.446767,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,48,2.424046,43.750000,-9.557539,13.498952,-18.362372,17,17,6,7,0,70.833333,False,True,False,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
15,AVAV,stage3:AVAV:3d66945d7c65,stage3,C_momentum,3d66945d7c65,False,True,,False,0.526898,1.500000,0.351265,True,True,True,True,1,0.000000,0.000000,1.154160,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,42,3.690652,59.523810,-7.181411,12.659650,-20.017964,14,15,0,12,0,69.047619,False,False,False,True,True,False,2,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90
16,CRMD,stage3:CRMD:1a48a9a1b768,stage3,B_stable,1a48a9a1b768,False,True,,False,-8.414821,1.743212,-4.827192,True,True,True,True,2,2.000000,0.000000,1.443881,0.000000,0.000000,ma_align,58.074020,ma_align+rsi,100.000000,True,True,True,False,OK,60,-0.317939,38.333333,-8.670254,11.105739,-44.585997,8,47,0,5,0,91.666667,True,True,True,True,True,True,3,LOW_RATIO_LT_1_25|TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
17,CVNA,stage3:CVNA:8d8594e95b89,stage3,B_stable,8d8594e95b89,False,True,,True,8.737079,1.500000,5.824720,False,False,False,False,1,0.000000,0.000000,1.132772,0.000000,0.000000,rsi,100.000000,rsi,100.000000,True,True,True,False,OK,84,-0.825667,48.809524,-7.207647,12.973593,-21.658110,41,2,0,8,32,51.190476,True,False,False,False,True,True,2,TOP2_CONCENTRATION_GE_90|WEAK_EXIT_HISTORY
18,AMSC,stage3:AMSC:57bf3f342f43,stage3,C_momentum,57bf3f342f43,False,True,,False,0.000000,1.741521,0.000000,True,True,True,True,0,0.000000,0.000000,0.000000,0.000000,0.000000,,UNKNOWN,,UNKNOWN,False,False,False,False,OK,72,1.980070,48.611111,-7.021073,15.463746,-27.274197,14,4,0,52,0,25.000000,False,False,False,True,False,False,1,LOW_RATIO_LT_1_25
