scope,stage,cut,cut_definition,metric,metric_label,expected_bad_direction,rule_n,ticker_n,sparse_rule_n,other_rule_n,sparse_ticker_n,other_ticker_n,sparse_mean,other_mean,difference_sparse_minus_other,difference_ci_low,difference_ci_high,cluster_one_sided_p,bootstrap_valid_reps,trade_weighted_sparse_mean,trade_weighted_other_mean,trade_weighted_difference,nominal_sparse_worse,fdr_q,fdr_sparse_worse,is_pnl_difference,is_pnl_ci_high,is_pnl_fdr_q,is_pnl_fdr_sparse_worse,is_selected_direction_sparse_worse,validation_after_is_direction
FROZEN_INCREMENTAL,stage2,TOP2_GE90,top2_weight_share_pct >= 90,avg_pnl_pct,평균 PnL,LOWER_BAD,9,9,1,8,1,8,2.3092624905292634,2.251858195464325,0.05740429506493827,-0.9442679549790091,1.1519398428496892,0.5381813602074578,3254,2.3092624905292634,2.432645393554452,-0.12338290302518873,False,1.0,False,0.036890176190952584,0.2826985957263567,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,TOP2_GE90,top2_weight_share_pct >= 90,win_rate_pct,승률,LOWER_BAD,9,9,1,8,1,8,61.40350877192983,70.50162017953913,-9.098111407609302,-17.030605295181477,-0.6010643219341687,0.041574665361600094,3340,61.403508771929836,71.91392978482446,-10.510421012894625,True,0.08314933072320019,False,0.036890176190952584,0.2826985957263567,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,TOP2_GE90,top2_weight_share_pct >= 90,p05_pnl_pct,PnL 5% 분위,LOWER_BAD,9,9,1,8,1,8,-7.963458031968,-8.565111298029812,0.6016532660618124,-1.3392838780050895,2.874720758293729,0.6886763587295153,3311,-7.963458031968,-8.25504623607163,0.29158820410362996,False,1.0,False,0.036890176190952584,0.2826985957263567,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,TOP2_GE90,top2_weight_share_pct >= 90,tail10_mean_pnl_pct,하위 10% 평균 PnL,LOWER_BAD,9,9,1,8,1,8,-8.577602158168334,-9.54109580438459,0.9634936462162553,-0.7250819202472373,2.95335327604022,0.8133254312873905,3292,-8.577602158168334,-9.269657226718067,0.6920550685497329,False,1.0,False,0.036890176190952584,0.2826985957263567,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,TOP2_GE90,top2_weight_share_pct >= 90,worst_mae_pct,worst MAE,LOWER_BAD,9,9,1,8,1,8,-18.172585687,-16.069319512742503,-2.1032661742574987,-5.437254754121251,1.9578603001799983,0.17112257385997487,3276,-18.172585687,-16.91867955746761,-1.2539061295323926,False,0.34224514771994974,False,0.036890176190952584,0.2826985957263567,0.7563862486313562,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,avg_pnl_pct,평균 PnL,LOWER_BAD,9,9,1,8,1,8,2.3092624905292634,2.251858195464325,0.05740429506493827,-0.9373933229229892,1.1264329114767635,0.5381813602074578,3273,2.3092624905292634,2.432645393554452,-0.12338290302518873,False,1.0,False,0.0858939392571898,0.3376729815462445,0.7780906083587329,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,win_rate_pct,승률,LOWER_BAD,9,9,1,8,1,8,61.40350877192983,70.50162017953913,-9.098111407609302,-17.395625417507212,-0.9851673541489188,0.041574665361600094,3273,61.403508771929836,71.91392978482446,-10.510421012894625,True,0.08314933072320019,False,0.0858939392571898,0.3376729815462445,0.7780906083587329,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,p05_pnl_pct,PnL 5% 분위,LOWER_BAD,9,9,1,8,1,8,-7.963458031968,-8.565111298029812,0.6016532660618124,-1.4294147959310552,2.8194184871513137,0.6886763587295153,3226,-7.963458031968,-8.25504623607163,0.29158820410362996,False,1.0,False,0.0858939392571898,0.3376729815462445,0.7780906083587329,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,tail10_mean_pnl_pct,하위 10% 평균 PnL,LOWER_BAD,9,9,1,8,1,8,-8.577602158168334,-9.54109580438459,0.9634936462162553,-0.7406727746995074,2.8635486313122644,0.8133254312873905,3267,-8.577602158168334,-9.269657226718067,0.6920550685497329,False,1.0,False,0.0858939392571898,0.3376729815462445,0.7780906083587329,False,False,False
FROZEN_INCREMENTAL,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,worst_mae_pct,worst MAE,LOWER_BAD,9,9,1,8,1,8,-18.172585687,-16.069319512742503,-2.1032661742574987,-5.586949382890073,1.7963004707939403,0.17112257385997487,3320,-18.172585687,-16.91867955746761,-1.2539061295323926,False,0.34224514771994974,False,0.0858939392571898,0.3376729815462445,0.7780906083587329,False,False,False
