type,feature_or_pair,discovery_auc,discovery_risk_difference,validation_auc,validation_risk_difference,validation_ci_low,validation_fdr_q,note
PAIR_NOT_GATE_ROBUST,stored_is_expectancy_pct AND stored_is_validation_fitness_gap,,0.210756458231302,,0.13374999999999998,-0.09413424758803715,0.3394432788562182,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_validation_expectancy_pct OR stored_validation_fitness,,0.14307707902907407,,0.12132352941176472,-0.09408745004182545,0.3551840341369108,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_validation_fitness OR stored_is_validation_fitness_gap,,0.1161017673570863,,0.0960960960960961,-0.12139818491208168,0.41356908445516033,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,is_expectancy_per_sqrt_trade OR stored_validation_expectancy_pct,,0.19771316284828055,,0.27564102564102566,-0.37623456790123455,0.41356908445516033,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,is_expectancy_per_sqrt_trade OR stored_is_validation_fitness_gap,,0.18124100320829473,,0.27564102564102566,-0.3950617283950617,0.41356908445516033,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_is_expectancy_pct OR stored_validation_expectancy_pct,,0.2052930666927294,,0.5185185185185185,0.4125,0.6097560975609755,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_is_expectancy_pct OR stored_is_validation_fitness_gap,,0.18959827601745602,,0.5185185185185185,0.4182802000312549,0.6097560975609755,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_is_expectancy_pct AND is_expectancy_per_sqrt_trade,,0.2125397112814487,,0.014705882352941124,-0.2721302700922266,0.6772861746591007,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,is_expectancy_per_sqrt_trade OR stored_validation_fitness,,0.19124675958429965,,0.012499999999999956,-0.5584849683544304,0.7797270955165692,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_is_expectancy_pct OR is_expectancy_per_sqrt_trade,,0.19665846708977086,,-0.0487062404870624,-0.3976833976833976,0.7797270955165692,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
PAIR_NOT_GATE_ROBUST,stored_is_expectancy_pct OR stored_validation_fitness,,0.19520301063121165,,,,1.0,broad frozen FDR/CI failure; existing-gate survivor CI failure; stage direction inconsistency
LEAKAGE_FEATURE_EXCLUDED,eval_worst_mae_sample_adjusted_residual_pct,,,,,,,outcome-derived target component; prohibited as a static predictor
