path,path_kind,type,risk,size_bytes,size_human,file_count,recent_modified_utc,days_since_modified,reachable,reachable_from,reference_count,last_reference_trace,git_tracked,git_last_commit_date,git_last_commit,protected_reason,decision_reason
docs/LR8D_PIT_UNIVERSE_BIAS_PROBE_DESIGN.md,file,DOCUMENTATION_OR_NOTE,REVIEW,15387,15.03KiB,1,2026-06-09T20:51:52.267427+00:00,30.71,False,,0,none in active import/literal graph,True,2026-06-09T20:53:44+00:00,5dd5800,,documentation/history value requires review
docs/LR8D_PIT_UNIVERSE_BIAS_PROBE_REPORT.md,file,DOCUMENTATION_OR_NOTE,REVIEW,7540,7.36KiB,1,2026-06-09T20:58:44.721040+00:00,30.705,False,,0,none in active import/literal graph,True,2026-06-09T20:58:49+00:00,56b719e,,documentation/history value requires review
docs/LR8D_POINT_IN_TIME_NEXT_RUN_DESIGN.md,file,DOCUMENTATION_OR_NOTE,REVIEW,16036,15.66KiB,1,2026-06-09T20:45:42.992775+00:00,30.714,False,,0,none in active import/literal graph,True,2026-06-09T20:45:46+00:00,5472679,,documentation/history value requires review
docs/PIPELINE.md,file,DOCUMENTATION_OR_NOTE,REVIEW,5958,5.82KiB,1,2026-06-03T19:32:40.945232+00:00,36.765,False,,0,none in active import/literal graph,True,2026-06-03T19:34:06+00:00,4e91573,,documentation/history value requires review
docs/PROJECT_STRUCTURE.md,file,DOCUMENTATION_OR_NOTE,REVIEW,3263,3.19KiB,1,2026-06-14T02:18:27.782663+00:00,26.483,False,,0,none in active import/literal graph,True,2026-06-14T02:18:32+00:00,c979b7c,,documentation/history value requires review
docs/SPEC_final.md,file,DOCUMENTATION_OR_NOTE,REVIEW,15127,14.77KiB,1,2026-06-03T17:26:22.151359+00:00,36.853,False,,0,none in active import/literal graph,True,2026-06-03T17:26:55+00:00,d087bcd,,documentation/history value requires review
engine/central/init.py,file,UNREACHED_ENGINE_MODULE,REVIEW,161,161.00B,1,2026-06-17T04:25:57.247902+00:00,23.395,False,,0,none in active import/literal graph,True,2026-06-17T04:29:28+00:00,e2ea646,,engine module not reached; dynamic/manual use remains possible
engine/central/parameters_adapter.py,file,UNREACHED_ENGINE_MODULE,REVIEW,15272,14.91KiB,1,2026-06-19T05:40:58.114505+00:00,21.343,False,,0,none in active import/literal graph,True,2026-06-19T05:43:01+00:00,dca127d,,engine module not reached; dynamic/manual use remains possible
engine/central/parameters_cli.py,file,UNREACHED_ENGINE_MODULE,REVIEW,6813,6.65KiB,1,2026-06-19T05:41:14.778475+00:00,21.343,False,,0,none in active import/literal graph,True,2026-06-19T05:43:01+00:00,dca127d,,engine module not reached; dynamic/manual use remains possible
engine/central/stage2_grid18_multiseg_runner.py,file,UNREACHED_ENGINE_MODULE,REVIEW,18834,18.39KiB,1,2026-06-20T02:31:34.989161+00:00,20.474,False,,0,none in active import/literal graph,True,2026-06-20T02:42:07+00:00,c01fad0,,engine module not reached; dynamic/manual use remains possible
engine/learning/execution_mode_ga_gate.py,file,UNREACHED_ENGINE_MODULE,REVIEW,6892,6.73KiB,1,2026-06-09T21:20:28.602814+00:00,30.69,False,,0,none in active import/literal graph,True,2026-06-09T21:21:16+00:00,f495351,,engine module not reached; dynamic/manual use remains possible
engine/live/elite_pullback_replay.py,file,UNREACHED_ENGINE_MODULE,REVIEW,29500,28.81KiB,1,2026-06-30T19:49:14.927313+00:00,9.754,False,,0,none in active import/literal graph,True,2026-06-30T19:50:35+00:00,f44a398,,engine module not reached; dynamic/manual use remains possible
engine/live/elite_shadow_mark_to_market.py,file,UNREACHED_ENGINE_MODULE,REVIEW,9112,8.90KiB,1,2026-07-02T15:20:14.925916+00:00,7.94,False,,0,none in active import/literal graph,True,2026-07-02T15:21:20+00:00,36a73a0,,engine module not reached; dynamic/manual use remains possible
engine/live/per_ticker_news.py,file,UNREACHED_ENGINE_MODULE,REVIEW,13118,12.81KiB,1,2026-05-26T18:10:33.695482+00:00,44.822,False,,0,none in active import/literal graph,True,2026-05-27T06:00:27+00:00,f304f9c,,engine module not reached; dynamic/manual use remains possible
engine/live/real_focus_news_refresh.py,file,UNREACHED_ENGINE_MODULE,REVIEW,9943,9.71KiB,1,2026-07-08T07:48:18.367875+00:00,2.254,False,,0,none in active import/literal graph,True,2026-07-08T07:50:11+00:00,b1f8341,,engine module not reached; dynamic/manual use remains possible
engine/live/s2_auto_trader.py,file,UNREACHED_ENGINE_MODULE,REVIEW,27452,26.81KiB,1,2026-07-08T06:18:55.756480+00:00,2.316,False,,0,none in active import/literal graph,True,2026-07-08T06:21:18+00:00,75faf9a,,engine module not reached; dynamic/manual use remains possible
engine/market/av_adapter.py,file,UNREACHED_ENGINE_MODULE,REVIEW,8929,8.72KiB,1,2026-05-28T10:33:24.765830+00:00,43.14,False,,0,none in active import/literal graph,True,2026-05-29T08:43:39+00:00,a6dcd08,,engine module not reached; dynamic/manual use remains possible
engine/pipeline/batch.py,file,UNREACHED_ENGINE_MODULE,REVIEW,15477,15.11KiB,1,2026-06-03T22:27:36.892358+00:00,36.644,False,,0,none in active import/literal graph,True,2026-06-03T22:43:02+00:00,414a183,,engine module not reached; dynamic/manual use remains possible
engine/pipeline/full_training.py,file,UNREACHED_ENGINE_MODULE,REVIEW,16216,15.84KiB,1,2026-06-03T22:26:43.074409+00:00,36.644,False,,0,none in active import/literal graph,True,2026-06-03T22:43:02+00:00,414a183,,engine module not reached; dynamic/manual use remains possible
