split,block_effective_count_le,sample_sufficient,blocked_n,blocked_candidate_n,blocked_avg_pnl_pct,blocked_win_rate_pct,blocked_avg_mae_pct,blocked_avg_mfe_pct,kept_n,kept_candidate_n,kept_avg_pnl_pct,kept_win_rate_pct,kept_avg_mae_pct,kept_avg_mfe_pct,all_avg_pnl_pct,all_win_rate_pct,pnl_diff_blocked_minus_kept_pctp,win_diff_blocked_minus_kept_pctp,kept_avg_pnl_delta_vs_all_pctp,kept_win_delta_vs_all_pctp,significant_collapse,pnl_diff_ci_low,pnl_diff_ci_high,win_diff_ci_low,win_diff_ci_high,bootstrap_valid_reps
IS,0,True,549,38,1.63696607,54.64480874,-7.16426016,11.23868384,30508,93,1.04159809,54.17923168,-6.41843435,8.48896873,1.05212251,54.18746176,0.59536798,0.46557707,-0.01052442,-0.00823009,False,-0.56324712,2.47061698,-5.80315868,9.61591417,2000
IS,1,True,7918,88,1.74194767,57.22404648,-6.78154865,9.81430912,23139,93,0.81606929,53.14836423,-6.31187483,8.10068697,1.05212251,54.18746176,0.92587838,4.07568224,-0.23605323,-1.03909753,False,0.35371401,1.54008766,0.73640914,7.51292531,2000
IS,2,True,25499,93,1.19054545,55.05706106,-6.53650464,8.87197652,5558,87,0.41706558,50.19791292,-5.95042140,7.00341240,1.05212251,54.18746176,0.77347987,4.85914814,-0.63505694,-3.98954885,False,0.31250106,1.17626784,1.46949391,7.94559637,2000
IS,3,False,30607,93,1.05997193,54.24902800,-6.44295955,8.56623841,450,56,0.51824001,50.00000000,-5.66024612,6.58808092,1.05212251,54.18746176,0.54173192,4.24902800,-0.53388250,-4.18746176,False,-0.45267199,1.67849479,-1.97312192,10.53877290,2000
IS,4,False,31045,93,1.05256122,54.19552263,-6.43193152,8.53890108,12,10,-0.08283941,33.33333333,-5.62165870,5.10926496,1.05212251,54.18746176,1.13540063,20.86218930,-1.13496193,-20.85412843,False,-4.73208212,7.88796245,-12.87763351,54.48870683,2000
OOS,0,False,314,37,3.70611549,64.01273885,-6.19980511,12.00826415,12601,93,3.08453052,61.27291485,-6.36681773,10.49562987,3.09964300,61.33952768,0.62158497,2.73982401,-0.01511248,-0.06661283,False,-2.25236156,3.24110842,-4.38955746,9.14409116,2000
OOS,1,True,4324,92,3.76056698,62.30342276,-6.46561649,11.48422456,8591,93,2.76698844,60.85438249,-6.31098630,10.05333953,3.09964300,61.33952768,0.99357854,1.44904026,-0.33265456,-0.48514519,False,0.05059411,1.92171048,-1.88976614,4.75753291,2000
OOS,2,True,10884,93,3.22226144,61.60418964,-6.43066358,10.78411709,2031,87,2.44253856,59.92122107,-5.99885114,9.18350396,3.09964300,61.33952768,0.77972289,1.68296856,-0.65710444,-1.41830661,False,-0.09805668,1.61114959,-2.73935995,5.91351525,2000
OOS,3,False,12700,93,3.09931144,61.31496063,-6.37078153,10.55278256,215,47,3.11922852,62.79069767,-5.88876074,9.32878332,3.09964300,61.33952768,-0.01991708,-1.47573704,0.01958552,1.45116999,False,-2.43315989,2.15389895,-12.47577335,9.10787632,2000
OOS,4,False,12910,93,3.10347805,61.35553834,-6.36074677,10.53613077,5,4,-6.80244634,20.00000000,-11.55363751,0.91574629,3.09964300,61.33952768,9.90592439,41.35553834,-9.90208934,-41.33952768,False,0.84305629,21.29022695,-37.62062716,62.77746063,1963
