type,stage,cut,metric,is_difference,internal_holdout_difference,internal_holdout_fdr_q,frozen_difference,frozen_ci_low,frozen_ci_high,frozen_fdr_q,incremental_difference,incremental_ci_low,incremental_ci_high,note
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,ACTIVE_EXACT_LE2,avg_pnl_pct,-0.0078470111372137,-0.8954425082325923,2.3312290051345655e-15,,,,1.0,,,,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,ACTIVE_MATERIAL_LE2,avg_pnl_pct,0.0257825306027417,-0.8555138691685453,2.0672847543155305e-15,,,,1.0,,,,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,TOP2_GE80,avg_pnl_pct,0.0166202584992269,-0.3244859383492198,0.0057044191169827,-0.0340281044340193,-0.8454630549693755,0.8211288942124352,0.9408596273767248,0.0574042950649382,-0.9551779862631552,1.1411324454697729,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,TOP2_GE90,avg_pnl_pct,0.0368901761909525,-0.59090832626961,0.0002878397173774,-0.0340281044340193,-0.8477578992594464,0.7758822064145483,0.9408596273767248,0.0574042950649382,-0.9442679549790092,1.1519398428496892,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,avg_pnl_pct,0.0858939392571898,-0.5983249499978256,6.029189673052828e-05,-0.0340281044340193,-0.8576784225474152,0.786382760551753,0.9408596273767248,0.0574042950649382,-0.9373933229229892,1.1264329114767635,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,avg_pnl_pct,0.0433407802706322,-0.6438457153163435,0.0002878397173774,-0.0340281044340193,-0.8532115999590604,0.7746760096272806,0.9408596273767248,0.0574042950649382,-1.003125244633543,1.1288298356478466,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,avg_pnl_pct,0.0257825306027417,-0.8555138691685453,2.0672847543155305e-15,,,,1.0,,,,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
INTERNAL_HOLDOUT_ONLY_PNL_ARTIFACT,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,avg_pnl_pct,0.0257825306027417,-0.8555138691685453,2.0672847543155305e-15,,,,1.0,,,,Stage2 internal holdout에서는 열위였지만 IS discovery에서 방향이 없고 frozen 평균 PnL에서 재현되지 않음
FROZEN_WIN_RATE_SINGLE_RULE_ARTIFACT,stage2,TOP2_GE80,win_rate_pct,0.3223997706063244,-2.586276964123357,0.1218740539668285,-9.328255091121513,-15.564709471715766,-2.83896825280584,0.014964325089314,-9.098111407609302,-17.231188370427546,-1.0084869955469562,frozen Stage2 sparse group가 1개 rule뿐이며 기존 게이트 통과 순증군에서 robust 조건 미충족
FROZEN_WIN_RATE_SINGLE_RULE_ARTIFACT,stage2,TOP2_GE90,win_rate_pct,2.2628300389407485,-4.120118022568505,0.2961401085069869,-9.328255091121513,-15.585526784945776,-3.2755896032150997,0.014964325089314,-9.098111407609302,-17.030605295181477,-0.6010643219341687,frozen Stage2 sparse group가 1개 rule뿐이며 기존 게이트 통과 순증군에서 robust 조건 미충족
FROZEN_WIN_RATE_SINGLE_RULE_ARTIFACT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,win_rate_pct,2.4266104086112392,-4.959455930303797,0.1218740539668285,-9.328255091121513,-15.436129280560506,-3.1499865373455846,0.014964325089314,-9.098111407609302,-17.395625417507212,-0.9851673541489188,frozen Stage2 sparse group가 1개 rule뿐이며 기존 게이트 통과 순증군에서 robust 조건 미충족
FROZEN_WIN_RATE_SINGLE_RULE_ARTIFACT,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,win_rate_pct,3.1153548677970235,-3.867084531809781,0.2961401085069869,-9.328255091121513,-15.230305760301972,-3.193692403694142,0.014964325089314,-9.098111407609302,-17.499922572995057,-0.5330772877154892,frozen Stage2 sparse group가 1개 rule뿐이며 기존 게이트 통과 순증군에서 robust 조건 미충족
NO_ROBUST_STRUCTURE_CUT,ALL,NONE,ALL,,,,,,,,,,,5개 성과 metric 전체에서 IS·frozen·순증군을 동시에 통과한 cut 0개
