candidate_id,stage,ticker,canonical_trade_rows,canonical_score_threshold_rows,canonical_component_rows,canonical_core_component_rows,canonical_top2_possible_rows,canonical_outcome_rows,canonical_full_ce_snapshot_rows,canonical_period_n,canonical_any_history,canonical_full_ce_backtestable,live93_full_point_snapshot,dashboard_full_point_snapshot,live_slots_ratio_point_snapshot,shadow_ratio_outcome_rows,strategy_ratio_outcome_rows,any_full_decomposed_snapshot,historical_full_ce_backtestable,is_dynamic_only_vs_v3,ce_threshold_backtestable_for_candidate,snapshot_quality_verdict,elite_shadow_open_ratio_snapshot,elite_shadow_state_event_n,durable_full_historical_entry_snapshot_n,systemwide_threshold_validation_ready
stage3:ANET:fe220620802b,stage3,ANET,81,0,0,0,0,81,0,4,True,False,True,True,True,6,1,True,False,True,False,POINT_SNAPSHOT_PLUS_RATIO_OUTCOME_NO_COMPONENTS,False,12,0,False
stage3:BB:f1bdfe7f8ad9,stage3,BB,46,0,0,0,0,46,0,4,True,False,True,True,True,4,0,True,False,True,False,POINT_SNAPSHOT_PLUS_RATIO_OUTCOME_NO_COMPONENTS,False,7,0,False
stage3:BOIL:9044dc2c67a3,stage3,BOIL,55,0,0,0,0,55,0,4,True,False,True,False,False,0,0,True,False,False,False,POINT_SNAPSHOT_ONLY,True,1,0,False
stage3:BTE:4ba9af200f79,stage3,BTE,29,0,0,0,0,29,0,4,True,False,True,True,False,0,0,True,False,False,False,POINT_SNAPSHOT_ONLY,False,0,0,False
stage3:CDE:ceb9fe0512dc,stage3,CDE,80,0,0,0,0,80,0,4,True,False,True,False,False,10,0,True,False,True,False,POINT_SNAPSHOT_PLUS_RATIO_OUTCOME_NO_COMPONENTS,False,19,0,False
stage3:CE:998b0b638c66,stage3,CE,79,0,0,0,0,79,0,4,True,False,True,False,False,1,0,True,False,True,False,POINT_SNAPSHOT_PLUS_RATIO_OUTCOME_NO_COMPONENTS,True,3,0,False
stage3:CWK:2970595abcd4,stage3,CWK,78,0,0,0,0,78,0,4,True,False,True,False,False,0,0,True,False,False,False,POINT_SNAPSHOT_ONLY,False,0,0,False
