ticker,live_hash,entry_hash,weight_volume_surge,volume_surge_ratio,train_days,train_surge_days,train_surge_rate_pct,selected_entry_count,selected_entry_surge_count,selected_entry_max_volume_ratio,entry_train_expectancy_pct,entry_train_trade_count,entry_pool_rank,entry_selected_rank
AMBA,5e057e3cfc2d,0790cc7d3d06,0.00000000,1.20000000,250,52,20.80000000,21,8,3.09777697,4.34782202,21,56,16
BILL,eb2fe6599396,48582c83ac80,0.00257146,1.90577578,250,9,3.60000000,21,2,2.91152061,4.81305745,21,31,7
BNTX,d667608bc166,7e85db4e0692,0.00000000,2.50000000,250,3,1.20000000,22,0,1.90576096,4.52070297,22,33,10
BOIL,9044dc2c67a3,5e5a7b98d720,0.00000000,2.50000000,250,0,0.00000000,19,0,1.63527908,6.45162684,19,85,17
CCL,82d5bafb7e78,628af2efd2cd,0.00000000,1.98550645,250,3,1.20000000,20,0,1.76041588,5.95597292,20,19,11
CGC,650b7578c8c7,5f7442838f66,0.00000000,2.29377818,250,4,1.60000000,20,0,1.29685689,5.56033743,20,29,5
CHWY,a46752a05345,4f1010ffe329,0.00000000,1.96740035,250,9,3.60000000,20,2,2.75758966,7.43566797,20,26,5
CRMD,1a48a9a1b768,d0a13852cd63,0.00000000,1.38371247,250,40,16.00000000,21,3,2.76356813,5.38621697,21,75,12
