method,metric,estimate,ci_low,ci_high,candidate_n,bootstrap_valid_reps,controls,window,candidate_coverage,strata_n,strata,stratum,note
candidate_level_ols_bootstrap,avg_mfe_pct,0.6007126344082556,-2.1097471493534727,3.7159397209138563,93.0,9977.0,stage|vol_group|exit_strategy|direction|max_holding_days|IS_volatility|IS_ATR|log_trade_n,FROZEN_OOS,,,,,
exact_strata,avg_mfe_pct,1.3597363987890314,0.2428167890765263,2.4105823530111072,,,,FROZEN_OOS,44.0,4.0,stage|vol_group|exit_strategy|direction,,
candidate_level_ols_bootstrap,avg_pnl_pct,1.5304639539362646,-1.3411860589783857,4.8329284287248395,93.0,9983.0,stage|vol_group|exit_strategy|direction|max_holding_days|IS_volatility|IS_ATR|log_trade_n,POST_GENE_TRAIN_OOS,,,,,
exact_strata,avg_pnl_pct,1.7283527878240337,0.6346151370812734,2.6751618624415943,,,,POST_GENE_TRAIN_OOS,44.0,4.0,stage|vol_group|exit_strategy|direction,,
candidate_level_ols_bootstrap,win_rate_pct,10.346003772061895,-2.408637250578857,24.404213367788966,93.0,9984.0,stage|vol_group|exit_strategy|direction|max_holding_days|IS_volatility|IS_ATR|log_trade_n,POST_GENE_TRAIN_OOS,,,,,
exact_strata,win_rate_pct,11.943239193132063,7.39138010399402,16.2473877038662,,,,POST_GENE_TRAIN_OOS,44.0,4.0,stage|vol_group|exit_strategy|direction,,
candidate_level_ols_bootstrap,avg_mae_pct,0.8710230982500351,-1.265180018203642,2.743108560003953,93.0,9980.0,stage|vol_group|exit_strategy|direction|max_holding_days|IS_volatility|IS_ATR|log_trade_n,POST_GENE_TRAIN_OOS,,,,,
exact_strata,avg_mae_pct,0.6520233392639629,-0.19013403646349258,1.593251976095686,,,,POST_GENE_TRAIN_OOS,44.0,4.0,stage|vol_group|exit_strategy|direction,,
candidate_level_ols_bootstrap,avg_mfe_pct,0.4799600888930019,-2.0317383658807424,3.2237139561179524,93.0,9977.0,stage|vol_group|exit_strategy|direction|max_holding_days|IS_volatility|IS_ATR|log_trade_n,POST_GENE_TRAIN_OOS,,,,,
exact_strata,avg_mfe_pct,0.8979292609465812,-0.3341925061553894,2.0484833886082607,,,,POST_GENE_TRAIN_OOS,44.0,4.0,stage|vol_group|exit_strategy|direction,,
realized_exit_reason_descriptive,avg_pnl_pct,-0.8660591996232383,-1.8376205722716898,0.14640628998686944,,,,FROZEN_OOS,32.0,,,breakeven_stop,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,win_rate_pct,6.272071698719969,-1.2899140470200163,13.814355048519177,,,,FROZEN_OOS,32.0,,,breakeven_stop,post-entry outcome stratum; not causal control
realized_exit_reason_descriptive,avg_mae_pct,0.9937229372065728,0.5888159116001023,1.3779192815194807,,,,FROZEN_OOS,32.0,,,breakeven_stop,post-entry outcome stratum; not causal control
