ticker,candidate_id,shadow_entry_n,shadow_low_ratio_n,shadow_low_ratio_rate_pct,shadow_ratio_min,shadow_ratio_max,shadow_component_entry_snapshot_n,live_order_intent_n,live_submitted_intent_n,live_order_time_ratio_available,live_order_time_components_available,point_snapshot_ratio,point_snapshot_threshold_excess_pct,point_snapshot_positive_component_n,point_snapshot_top2_components,point_snapshot_top2_share_pct,point_snapshot_technical_core_only,point_snapshot_ce_verdict,historical_entry_ce_verdict
ANET,stage3:ANET:fe220620802b,6,5,83.33333333333334,1.1462650939174404,1.9041019957862004,0,3,1,False,False,1.1462650939174404,14.626509391744037,2,rsi+ma_align,100.0,True,CE_LIKE_LOW_RATIO_AND_TOP2_CONCENTRATED,PARTIAL_LOW_RATIO_CONFIRMED_COMPONENT_UNKNOWN
BB,stage3:BB:f1bdfe7f8ad9,4,4,100.0,1.1787109667939601,1.1787109667939601,0,2,1,False,False,1.1787109667939601,17.871096679396015,2,rsi+ma_align,100.0,True,CE_LIKE_LOW_RATIO_AND_TOP2_CONCENTRATED,PARTIAL_LOW_RATIO_CONFIRMED_COMPONENT_UNKNOWN
