scenario,candidate_count,stage2_count,stage3_count,zero_candidate_risk
ORIGIN_TOTAL,17071,1162,15909,False
V3_WEIGHTLESS_BLOCK_ONLY_PASS,12580,862,11718,False
V3_WEIGHTLESS_BLOCK_ONLY_FAIL,4491,300,4191,False
V3_NEW_CAPTURE_VS_V2,524,32,492,False
COMBINED_STATIC_PASS,2126,796,1330,False
COMBINED_STATIC_HOLD,220,66,154,False
COMBINED_STATIC_FAIL,14725,300,14425,False
COMBINED_ELITE_DENY_BEFORE_DEDUP_SELECTED,85,10,75,False
