snapshot_class,snapshot_source,snapshot_time_utc,snapshot_time_kst,candidate_id,ticker,score,raw_score,threshold,ratio,score_minus_threshold,threshold_excess_pct,ratio_lt_1_25,component_ma_align,component_macd,component_rsi,component_bb,component_volume,component_news,component_news_topics,component_events,positive_component_n,positive_component_sum,top1_component,top1_share_pct,top2_components,top2_share_pct,technical_core_sum,news_event_bonus_sum,technical_core_only,ce_low_ratio,ce_top2_concentrated,ce_point_snapshot_verdict,entry_time_equivalent
POINT_IN_TIME_SIGNAL_NOT_ENTRY_TIME,real_dashboard_buy_candidates.json,2026-07-10T10:01:09.313612+00:00,2026-07-10T19:01:09.313612+09:00,stage3:ANET:fe220620802b,ANET,3.025097065320651,3.025097065320651,2.639090277958454,1.1462650939174404,0.38600678736219685,14.626509391744037,True,1.3148495229628994,0.0,1.7102475423577514,0.0,0.0,0.0,0.0,0.0,2,3.025097065320651,rsi,56.5352947501693,rsi+ma_align,100.0,3.025097065320651,0.0,True,True,True,CE_LIKE_LOW_RATIO_AND_TOP2_CONCENTRATED,False
POINT_IN_TIME_SIGNAL_NOT_ENTRY_TIME,real_dashboard_buy_candidates.json,2026-07-10T10:01:09.313612+00:00,2026-07-10T19:01:09.313612+09:00,stage3:BB:f1bdfe7f8ad9,BB,3.2909034677771114,3.2909034677771114,2.791951174195162,1.1787109667939601,0.4989522935819495,17.871096679396015,True,1.5405218465937318,0.0,1.7503816211833794,0.0,0.0,0.0,0.0,0.0,2,3.2909034677771114,rsi,53.188482686357865,rsi+ma_align,100.0,3.2909034677771114,0.0,True,True,True,CE_LIKE_LOW_RATIO_AND_TOP2_CONCENTRATED,False
