scope,stage,cut,cut_definition,group,rule_n,ticker_n,trade_n_sum,mean_rule_avg_pnl_pct,median_rule_avg_pnl_pct,mean_rule_win_rate_pct,mean_rule_p05_pnl_pct,mean_rule_tail10_pnl_pct,mean_rule_worst_mae_pct
IS_DISCOVERY,stage2,ACTIVE_EXACT_LE2,active_exact_count <= 2,SPARSE,7,2,310,2.605390635366226,2.6518921247038465,76.78447064085363,-5.73775469671422,-6.094634086254824,-9.414551716723368
IS_DISCOVERY,stage2,ACTIVE_EXACT_LE2,active_exact_count <= 2,OTHER,1155,324,57651,2.61323764650344,2.495965041409686,70.26191823944083,-6.891753592877443,-7.547313946284886,-13.711127172162906
IS_DISCOVERY,stage2,ACTIVE_MATERIAL_LE2,active_material_count <= 2,SPARSE,8,3,349,2.6387954014411363,2.676134686167469,75.84025796459306,-5.649314282490671,-5.971823301985511,-9.767523412358392
IS_DISCOVERY,stage2,ACTIVE_MATERIAL_LE2,active_material_count <= 2,OTHER,1154,324,57612,2.6130128708383946,2.495928191942334,70.26281178277588,-6.893366697045511,-7.549424142241716,-13.712403430300132
IS_DISCOVERY,stage2,TOP2_GE80,top2_weight_share_pct >= 80,SPARSE,109,57,5017,2.628251590670157,2.5382748823335555,70.59336817511927,-6.662343483966755,-7.368468875327612,-13.401295625050768
IS_DISCOVERY,stage2,TOP2_GE80,top2_weight_share_pct >= 80,OTHER,1053,307,52944,2.61163133217093,2.4911183781803996,70.27096840451294,-6.90782929050149,-7.556169932718059,-13.714636773727149
IS_DISCOVERY,stage2,TOP2_GE90,top2_weight_share_pct >= 90,SPARSE,26,17,1128,2.6492551259139057,2.7224064344771746,72.51340945376663,-6.370627118293727,-6.746809156195486,-12.216762988116576
IS_DISCOVERY,stage2,TOP2_GE90,top2_weight_share_pct >= 90,OTHER,1136,322,56833,2.612364949722953,2.495114855253439,70.25057941482588,-6.896569874625712,-7.556683986357167,-13.718853792406854
IS_DISCOVERY,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,SPARSE,38,23,1674,2.6962753906059533,2.628295740081684,72.64846554244333,-6.474396136247854,-7.175508123588888,-12.925777768597793
IS_DISCOVERY,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,OTHER,1124,319,56287,2.6103814513487635,2.494218255477406,70.2218551338321,-6.8986767166130125,-7.5508369553971955,-13.710920098450625
IS_DISCOVERY,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,SPARSE,19,11,817,2.6558224853772536,2.700377247631091,73.36562605415845,-5.51669371644512,-5.988929613545932,-11.023777430090256
IS_DISCOVERY,stage2,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,OTHER,1143,323,57144,2.6124817051066214,2.495891342474983,70.25027118636143,-6.907543746314949,-7.564322295630316,-13.729485542164046
IS_DISCOVERY,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,SPARSE,8,3,349,2.6387954014411363,2.676134686167469,75.84025796459306,-5.649314282490671,-5.971823301985511,-9.767523412358392
IS_DISCOVERY,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,OTHER,1154,324,57612,2.6130128708383946,2.495928191942334,70.26281178277588,-6.893366697045511,-7.549424142241716,-13.712403430300132
IS_DISCOVERY,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,SPARSE,8,3,349,2.6387954014411363,2.676134686167469,75.84025796459306,-5.649314282490671,-5.971823301985511,-9.767523412358392
IS_DISCOVERY,stage2,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,OTHER,1154,324,57612,2.6130128708383946,2.495928191942334,70.26281178277588,-6.893366697045511,-7.549424142241716,-13.712403430300132
IS_DISCOVERY,stage3,ACTIVE_EXACT_LE2,active_exact_count <= 2,SPARSE,42,11,1326,2.2005192154740665,1.5717625218548612,58.836681784409,-7.981350760574365,-8.970857555072952,-14.613034947778038
IS_DISCOVERY,stage3,ACTIVE_EXACT_LE2,active_exact_count <= 2,OTHER,15854,269,728421,1.8833360731107585,1.6785441631326914,57.337508113683484,-9.493464378585111,-10.205260753691334,-17.11166818718568
IS_DISCOVERY,stage3,ACTIVE_MATERIAL_LE2,active_material_count <= 2,SPARSE,69,15,2110,2.0481175555023494,2.4463393464765506,58.44988954512393,-9.402472827406969,-10.182019653926119,-15.167648601196149
IS_DISCOVERY,stage3,ACTIVE_MATERIAL_LE2,active_material_count <= 2,OTHER,15827,269,727637,1.883459392103255,1.6782286441203849,57.33663687942563,-9.489848383454943,-10.20208634929011,-17.113512804319573
IS_DISCOVERY,stage3,TOP2_GE80,top2_weight_share_pct >= 80,SPARSE,1001,95,39170,1.891127571852188,1.7670879826580845,57.54023213785943,-9.909079815077158,-10.608997919966392,-16.66913858725684
IS_DISCOVERY,stage3,TOP2_GE80,top2_weight_share_pct >= 80,OTHER,14895,269,690577,1.883706828514524,1.6725786730851648,57.32811157430586,-9.4612696942021,-10.174647404394033,-17.13436234854678
IS_DISCOVERY,stage3,TOP2_GE90,top2_weight_share_pct >= 90,SPARSE,192,29,6795,2.075946729261796,2.0780818900877165,58.71223745753108,-9.819685650152946,-10.429338332361853,-15.810180343107133
IS_DISCOVERY,stage3,TOP2_GE90,top2_weight_share_pct >= 90,OTHER,15704,269,722952,1.881829478994499,1.6747696748501688,57.324709925970275,-9.485431822796938,-10.19921975589162,-17.120897878347673
IS_DISCOVERY,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,SPARSE,317,48,11747,1.9748155352302559,1.7905816453695707,59.126915273379325,-9.609692170831817,-10.34489300312114,-15.706190714183927
IS_DISCOVERY,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE80,active_exact_count <= 3 and top2_weight_share_pct >= 80,OTHER,15579,269,718000,1.88232976349444,1.6761679085448395,57.30513910569496,-9.487022823793492,-10.199091656996346,-17.133530550808917
IS_DISCOVERY,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,SPARSE,129,23,4414,2.3036529573527518,2.0749127306644817,58.89019686186484,-8.460950493199114,-9.117580562438324,-14.186842137331174
IS_DISCOVERY,stage3,ACTIVE_EXACT_LE3_AND_TOP2_GE90,active_exact_count <= 3 and top2_weight_share_pct >= 90,OTHER,15767,269,725333,1.8807420992357058,1.6757215252700137,57.32879805125277,-9.497884085521013,-10.210871574413709,-17.12894223832896
IS_DISCOVERY,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,SPARSE,69,15,2110,2.0481175555023494,2.4463393464765506,58.44988954512393,-9.402472827406969,-10.182019653926119,-15.167648601196149
IS_DISCOVERY,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE80,active_material_count <= 2 and top2_weight_share_pct >= 80,OTHER,15827,269,727637,1.883459392103255,1.6782286441203849,57.33663687942563,-9.489848383454943,-10.20208634929011,-17.113512804319573
IS_DISCOVERY,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,SPARSE,69,15,2110,2.0481175555023494,2.4463393464765506,58.44988954512393,-9.402472827406969,-10.182019653926119,-15.167648601196149
IS_DISCOVERY,stage3,ACTIVE_MATERIAL_LE2_AND_TOP2_GE90,active_material_count <= 2 and top2_weight_share_pct >= 90,OTHER,15827,269,727637,1.883459392103255,1.6782286441203849,57.33663687942563,-9.489848383454943,-10.20208634929011,-17.113512804319573
INTERNAL_HOLDOUT,stage2,ACTIVE_EXACT_LE2,active_exact_count <= 2,SPARSE,7,2,86,1.4091043570804478,1.3347136935553934,67.76556776556777,-4.698560457299753,-4.967994841364484,-8.288224091194715
INTERNAL_HOLDOUT,stage2,ACTIVE_EXACT_LE2,active_exact_count <= 2,OTHER,1055,308,14014,2.30454686531304,1.9669656777790574,68.325554201381,-5.755725275561499,-6.362951166437042,-9.618150453318414
INTERNAL_HOLDOUT,stage2,ACTIVE_MATERIAL_LE2,active_material_count <= 2,SPARSE,8,3,102,1.4495753816395234,1.3469822205065687,64.7636217948718,-4.66947675089398,-4.918000691808563,-8.376921050605475
INTERNAL_HOLDOUT,stage2,ACTIVE_MATERIAL_LE2,active_material_count <= 2,OTHER,1054,308,13998,2.3050892508080687,1.9672245272257647,68.34887066646769,-5.756949027430102,-6.364654116647213,-9.618739021332493
