scope,status,candidate_count,scope_total,rate_pct
ALL,PASS,12580,17071,73.69222658309414
ALL,FAIL,4491,17071,26.307773416905867
stage2,PASS,862,1162,74.18244406196214
stage2,FAIL,300,1162,25.817555938037867
stage3,PASS,11718,15909,73.65642089383367
stage3,FAIL,4191,15909,26.34357910616632
